Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Make protos is broken on current master when running in alpine based buildenv container,FAB-14275,37852,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,sykesm,sykesm,sykesm,21/Feb/19 6:32 AM,20/Mar/19 3:19 PM,28/Oct/23 3:05 AM,20/Mar/19 3:19 PM,v2.0.0,,,,,v2.0.0,,,,fabric-build,,,,,0,build,,,,"When our build environment was based on ubuntu, we were using the GNU. coreutils with lots of extra-fancy helper thingies available to us that don't exist in the ""standard"" unix core utility set that's available in busy box or some BSD variants (eh, macOS - not that it matters here).

The protobuf compilation script that we use in fabric uses {{dirname}} with multiple paths as arguments and this does not work in busy box.

{code}
++ for dir in $PROTO_ROOT_DIRS
+++ echo '-path /go/src/github.com/hyperledger/fabric/protos -prune -o '
++ find /go/src/github.com/hyperledger/fabric -path /go/src/github.com/hyperledger/fabric/protos -prune -o -path /go/src/github.com/hyperledger/fabric/vendor -prune -o -path /go/src/github.com/hyperledger/fabric/.build -prune -o -path /go/src/github.com/hyperledger/fabric/core/chaincode/shim/java -prune -o -name '*.proto' -exec readlink -f '{}' ';'
+ ROOTLESS_PROTO_FILES='/go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/statedb/statecouchdb/msgs/msgs.proto
/go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/statedb/stateleveldb/msgs/storage.proto
/go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/pvtstatepurgemgmt/pvtdata_key.proto
/go/src/github.com/hyperledger/fabric/core/ledger/pvtdatastorage/persistent_msgs.proto
/go/src/github.com/hyperledger/fabric/core/comm/testdata/grpc/test.proto
/go/src/github.com/hyperledger/fabric/common/tools/protolator/testprotos/sample.proto
/go/src/github.com/hyperledger/fabric/common/grpclogging/testpb/echo.proto
/go/src/github.com/hyperledger/fabric/common/grpcmetrics/testpb/echo.proto
/go/src/github.com/hyperledger/fabric/idemix/idemix.proto'
++ dirname /go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/statedb/statecouchdb/msgs/msgs.proto /go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/statedb/stateleveldb/msgs/storage.proto /go/src/github.com/hyperledger/fabric/core/ledger/kvledger/txmgmt/pvtstatepurgemgmt/pvtdata_key.proto /go/src/github.com/hyperledger/fabric/core/ledger/pvtdatastorage/persistent_msgs.proto /go/src/github.com/hyperledger/fabric/core/comm/testdata/grpc/test.proto /go/src/github.com/hyperledger/fabric/common/tools/protolator/testprotos/sample.proto /go/src/github.com/hyperledger/fabric/common/grpclogging/testpb/echo.proto /go/src/github.com/hyperledger/fabric/common/grpcmetrics/testpb/echo.proto /go/src/github.com/hyperledger/fabric/idemix/idemix.proto
++ sort
++ uniq
BusyBox v1.29.3 (2019-01-24 07:45:07 UTC) multi-call binary.

Usage: dirname FILENAME

Strip non-directory suffix from FILENAME
+ ROOTLESS_PROTO_DIRS=
{code}

We need to fix the script (and set the pipefail option).",,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cq7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sykesm,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"21/Feb/19 7:27 AM;sykesm;remote:   https://gerrit.hyperledger.org/r/29428 [FAB-14275] fix compile_protos.sh
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Ginkgo and Gomega to drive unit tests,FAB-14276,37853,36696,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,bpbuch,bpbuch,bpbuch,21/Feb/19 6:34 AM,20/Mar/19 11:16 PM,28/Oct/23 3:05 AM,20/Mar/19 11:16 PM,,,,,,,,,,,,,,,0,,,,,"The unit tests should match the patterns created in the Fabric project. For example, [chaincode|https://github.com/hyperledger/fabric/tree/master/core/chaincode] uses the chaincode_test package and Ginkgo/Gomega to drive unit tests.  Private functions can still be tested using the same package for test if necessary. ",,bpbuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cqf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bpbuch,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"08/Mar/19 12:12 AM;bpbuch;https://gerrit.hyperledger.org/r/#/c/29895/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add locking to core/chaincode/persistence,FAB-14277,37854,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,,wlahti,wlahti,21/Feb/19 7:18 AM,09/May/19 8:19 PM,28/Oct/23 3:05 AM,09/May/19 8:19 PM,,,,,,v2.0.0,,,,,,,,,0,,,,,,,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i00cqn:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etcdraft Flaky UT: lagged node can catch up using snapshot,FAB-14278,37855,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,guoger,guoger,guoger,21/Feb/19 11:05 AM,19/Mar/19 7:57 PM,28/Oct/23 3:05 AM,22/Feb/19 8:41 PM,,,,,,,,,,fabric-orderer,,,,,0,ci-flake,,,,https://jenkins.hyperledger.org/job/fabric-verify-unit-tests-x86_64/9147/consoleFull,,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-13371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cqv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"21/Feb/19 11:09 AM;guoger;https://gerrit.hyperledger.org/r/c/29431/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorrect fabric_version prometheus metric comes form orderer,FAB-14280,37857,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,mastersingh24,fedyiv,fedyiv,21/Feb/19 5:01 PM,24/Feb/19 6:06 AM,28/Oct/23 3:05 AM,23/Feb/19 11:54 PM,,,,,,v1.4.1,v2.0.0,,,,,,,,0,,,,,"Hello!

I have fabric 1.4.0 network and when Operational Service is switched on for peers and orderers *fabric_version* metric is incorrect for orderer. It does not have *version* label.

 

Expected result is that it should show actual fabric version instead of being empty

!image-2019-02-21-10-56-36-597.png!",,fedyiv,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Feb/19 4:56 PM;fedyiv;image-2019-02-21-10-56-36-597.png;https://jira.hyperledger.org/secure/attachment/16854/image-2019-02-21-10-56-36-597.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00crb:",,,,Unset,Unset,,,,"1.  Ensure operational service is activated in orderer configuration and set it to prometheus mode
2. Open http://orderer.example.com:PORT/metrics
3. Locate fabric_version metric and check is is in following form

# HELP fabric_version The active version of Fabric.
# TYPE fabric_version gauge
fabric_version{version=""""} 1
",,Unset,,,,,,Unset,,Unset,,(Please add usage information),fedyiv,mastersingh24,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"23/Feb/19 9:05 PM;mastersingh24;1.4.1 - https://gerrit.hyperledger.org/r/29501
master -  https://gerrit.hyperledger.org/r/29502;;;","24/Feb/19 6:06 AM;mastersingh24;Thanks for reporting this [~fedyiv].
This fix is in both master (2.0.0) and release-1.4 (will ship in 1.4.1);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Arbitrary Precision for Token Quantity,FAB-14281,37859,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,angelo.decaro,angelo.decaro,angelo.decaro,21/Feb/19 6:35 PM,28/Feb/19 10:09 PM,28/Oct/23 3:05 AM,26/Feb/19 6:36 PM,,,,,,,,,,,,,,,0,,,,,"Currently fabtoken supports uint64 type for quantity. In certain use-cases this poses a limit. 

This story proposes to enhance fabtoken to be able to handle arbitrary precision numbers, precision that can be customised during initialisation of fabtoken (via lifyccile).

The quantity field will be converted from uint64 to string. Supported encodings will be all provided by [https://golang.org/pkg/math/big/#Int.SetString.] Therefore, a client invoking the prover peer to assemble a token transaction, can use any format supported by [https://golang.org/pkg/math/big/#Int.SetString.] The prover peer will use the hex representation to represent quantities in the token transaction. Though, quantities in token transactions can be represented by using any format supported by [https://golang.org/pkg/math/big/#Int.SetString.]

This is also the approach used by Ethereum.

 ",,angelo.decaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-13209,,,No,,Unset,No,,,"1|i00crr:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),angelo.decaro,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"21/Feb/19 6:42 PM;angelo.decaro;https://gerrit.hyperledger.org/r/#/c/29356/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
clean up prover.proto,FAB-14282,37860,37248,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,KaoutarEL,KaoutarEL,KaoutarEL,21/Feb/19 6:42 PM,12/Mar/19 5:52 PM,28/Oct/23 3:05 AM,12/Mar/19 5:52 PM,,,,,,,,,,,,,,,0,,,,,,,KaoutarEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00crz:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),KaoutarEL,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 1:03 AM;KaoutarEL;https://gerrit.hyperledger.org/r/#/c/29443/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational documentation,FAB-14284,37862,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,KaoutarEL,KaoutarEL,KaoutarEL,21/Feb/19 6:55 PM,03/Dec/19 3:16 AM,28/Oct/23 3:05 AM,09/Apr/19 11:20 PM,v2.0.0,,,,,,,,,fabric-docs,,,,,0,,,,,"

Fabtoken operational documentation includes:

*     A description of what is FabToken
*     A description of how to use FabToken
*     A description of the end-to-end flows

",,KaoutarEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11144,,,No,,Unset,No,,,"1|i00csf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),KaoutarEL,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"21/Feb/19 6:58 PM;KaoutarEL;https://gerrit.hyperledger.org/r/#/c/29266/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptual documentation,FAB-14285,37863,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,KaoutarEL,KaoutarEL,21/Feb/19 6:55 PM,03/Dec/19 3:16 AM,28/Oct/23 3:05 AM,14/Mar/19 6:13 AM,,,,,,,,,,fabric-docs,,,,,0,,,,,,,KaoutarEL,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11144,,,No,,Unset,No,,,"1|i00csn:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),KaoutarEL,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Mar/19 6:13 AM;pandrejko;Covered by FAB-14284;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial,FAB-14286,37864,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,KaoutarEL,KaoutarEL,21/Feb/19 6:55 PM,03/Dec/19 3:16 AM,28/Oct/23 3:05 AM,14/Mar/19 6:13 AM,,,,,,,,,,fabric-docs,,,,,0,,,,,,,KaoutarEL,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11144,,,No,,Unset,No,,,"1|i00csv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),KaoutarEL,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Mar/19 6:12 AM;pandrejko;Covered by FAB-14284;;;","14/Mar/19 6:13 AM;pandrejko;Covered by FAB-14284;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid formatted token transactions should be rejected,FAB-14287,37865,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,bur,angelo.decaro,angelo.decaro,21/Feb/19 7:35 PM,11/Mar/19 10:51 PM,28/Oct/23 3:05 AM,11/Mar/19 10:51 PM,,,,,,,,,,,,,,,0,,,,,,,angelo.decaro,bur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-14001,,,No,,Unset,No,,,"1|i00ct3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),angelo.decaro,bur,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"21/Feb/19 10:51 PM;bur;https://gerrit.hyperledger.org/r/#/c/29436/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockCommitHash (finalize logging),FAB-14288,37869,,Story,In CR Review,FAB,Fabric,software,denyeart,,,Medium,,denyeart,Senthil1,Senthil1,21/Feb/19 9:46 PM,27/Jan/20 11:39 PM,28/Oct/23 3:05 AM,,,,,,,v1.1.2,v1.4.2,v2.0.0,,fabric-ledger,,,,,0,,,,,"To ensure that all peers are in a consistent state, we need a way to summarise the current state at each peer at a given block height. Toward this summarization of state, we introduce a BlockCommitHash per block which consists of
 # transaction validation code
 # updateBatch 
 # previous block's BlockCommitHash

Challenges:
 * Hash needs to be computed in a deterministic way
 * As previous block's hash is used (i.e., cumulative hashing), the starting block number must be same on all peers",,denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00wur:4i",,,,No,Unset,v2.x,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Nov/19 11:33 PM;denyeart;I'll look at the final log subtask.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deterministic Conversion of UpdateBatch to Bytes for Hash Computation ,FAB-14289,37870,37869,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,Senthil1,Senthil1,21/Feb/19 9:50 PM,01/Mar/19 4:00 AM,28/Oct/23 3:05 AM,01/Mar/19 4:00 AM,,,,,,v1.1.2,,,,,,,,,0,,,,,"The updateBatch consists 
 # publicUpdates
 # hashedUpdates
 # privateUpdates

As privateUpdates could be different on different peers, it should not be included in the constructed bytes. Only publicUpdates and hashedUpdates must be present. Further, we need to ensure that such computation is deterministic across peers. ",,denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ctr:",,,,Unset,Unset,v2.x,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/Mar/19 4:00 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/29319/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compute BlockCommitHash and Store it in the BlockStore,FAB-14290,37871,37869,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,Senthil1,Senthil1,Senthil1,21/Feb/19 9:53 PM,27/Feb/19 1:33 PM,28/Oct/23 3:05 AM,27/Feb/19 1:33 PM,,,,,,v1.1.2,,,,,,,,,0,,,,,"In the ledger coordinator, i.e., kvledger, we should retrieve the updateBatchBytes, transaction validation code and the previous BlockCommitHash to compute the current BlockCommitHash. ",,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ctz:",,,,Unset,Unset,v2.x,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Senthil1,,,,,,,,,,,release-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-vipererize gossip election,FAB-14291,37873,32906,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,hagarm,hagarm,hagarm,21/Feb/19 10:50 PM,06/Apr/19 5:37 PM,28/Oct/23 3:05 AM,26/Feb/19 4:39 PM,,,,,,,,,,fabric-gossip,,,,,0,hygiene,,,,"Inject configuration of election via struct, and not through viper getter invocations.

Have the viper config at higher levels.",,hagarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cu7:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hagarm,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/Feb/19 12:30 AM;hagarm;https://gerrit.hyperledger.org/r/#/c/29437/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
