Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Git Code Review),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Invalidate quote/nested policy string,FAB-11922,33603,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Won't Do,diizuka,diizuka,diizuka,10/Sep/18 4:12 PM,23/Jan/20 7:34 AM,28/Oct/23 3:03 AM,23/Jan/20 7:34 AM,v1.1.0,v1.2.0,v1.3.0,,,Future,,,,,fabric-crypto,,,,0,stale-item,,,,,"Change endorsement policy string disallow quote(‘) and escape(\),
except for principal definition quotes (e.g. ‘A.member’).

In current endorsement policy manual:
https://hyperledger-fabric.readthedocs.io/en/release-1.3/endorsement-policies.html ,
there are no quotes nor escapes to define policy string,
except for principal definition.

But current implementation permits quotes/escapes.
e.g. the following 3 policies are same meaning:
  outof(1, outof(1, 'A.member', 'B.member'))
  outof(1, 'outof(1, \'A.member\', \'B.member\')')
  outof(1, 'outof(1, \\\'A.member\\\', \\\'B.member\\\')')

Current implementation permits complex policy definition,
which is hard to understand for human. Also, administrator may
write policy definition which contains quotes/escapes intentionally,
current implementation does not check them,
this results unexpected policy checking.

This is because calling govaluate’s Evaluate() method 3 times.
Each time Evaluate() is called, quote/escape is removed,
so (nested) quoted/escaped policy string may be valid,

Calling Evaluate() only 1 time solve this problem,
because quoted and/or escaped policy string become invalid.
",,ales,denyeart,diizuka,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq2f:",,,,Unset,Unset,,,"Set endorsement policy
  outof(1, 'outof(1, \'A.member\', \'B.member\')')
or
  outof(1, 'outof(1, \\\'A.member\\\', \\\'B.member\\\')')

These are treated as:
  outof(1, outof(1, 'A.member', 'B.member'))

This specification is hard to understand for human.",,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,denyeart,diizuka,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Sep/18 1:23 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/26185/;;;","04/Dec/18 5:32 AM;denyeart;[~ales] Would you recommend v1.4.0 or v2.0.0 for this fix?;;;","04/Dec/18 6:29 PM;ales;To be honest I don't see it as a problem - the parser doesn't fail when the string contains extra escape sequences: that's not bad. I'm inclined to return because WAD - thoughts?;;;","04/Dec/18 6:48 PM;denyeart;Ok, I've returned the bug to the reporter. [~diizuka] can you explain why you think this is required? Otherwise can you close?;;;","08/Jan/19 4:48 PM;diizuka;I understand that permitting extra escape sequence is not problem. I'll close this issue.

Instead, I posted FAB-13548, to support policy string error correction for administrator.
If policy string is wrong, It shows an error location (offset from head of policy string).

;;;","23/Jan/20 7:34 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Code hygiene: remove unused functions,FAB-11925,33621,28450,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,ales,ales,10/Sep/18 11:29 PM,12/Sep/18 4:20 AM,28/Oct/23 3:03 AM,12/Sep/18 4:20 AM,,,,,,,,,,,,,,,0,,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq5b:",,,,Unset,Unset,Sprint 6 - NextGen Endorseme 2,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT - TestNoTLSCertificate fails intermittently,FAB-11927,33624,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,harsha544,harsha544,10/Sep/18 11:55 PM,11/Sep/18 1:18 PM,28/Oct/23 3:03 AM,11/Sep/18 1:18 PM,v1.3.0,,,,,v1.3.0,,,,,fabric-build,fabric-ci,,,0,orderer,,,,,"make unit-test on ppc64le fails at
*13:25:24* {color:#cdcd00}unit-tests_1  |{color} ]*13:25:24* {color:#cdcd00}unit-tests_1  |{color} 2018-09-10 07:52:38.694 UTC [test] updateStubInMapping -> INFO 04c Allocating a new stub for node 4 with endpoint of 127.0.0.1:34231*13:25:24* {color:#cdcd00}unit-tests_1  |{color} 2018-09-10 07:52:38.694 UTC [test] updateStubInMapping -> INFO 04d Deactivating node 4 with endpoint of 127.0.0.1:34231 due to TLS certificate change*13:25:24* {color:#cdcd00}unit-tests_1  |{color} --- FAIL: TestNoTLSCertificate (0.33s)*13:25:24* {color:#cdcd00}unit-tests_1  |{color} panic: runtime error: invalid memory address or nil pointer dereference [recovered]*13:25:24* {color:#cdcd00}unit-tests_1  |{color} 	panic: runtime error: invalid memory address or nil pointer dereference*13:25:24* {color:#cdcd00}unit-tests_1  |{color} [signal SIGSEGV: segmentation violation code=0x1 addr=0x170 pc=0x10685b68]*13:25:24* {color:#cdcd00}unit-tests_1  |{color} 
which is coming from

[https://github.com/hyperledger/fabric/blob/master/orderer/common/cluster/comm_test.go#L504] 


FWIW logs are here  [https://jenkins.hyperledger.org/sandbox/job/fabric-daily-ppc64le/2/consoleFull]{color:#444444}  {color}",,denyeart,harsha544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq5z:",,,,Unset,Unset,,,make unit-test,,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,harsha544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Sep/18 12:13 PM;harsha544;https://gerrit.hyperledger.org/r/#/c/26204/;;;","11/Sep/18 1:18 PM;denyeart;[https://gerrit.hyperledger.org/r/#/c/26204/] merged.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add ability to get attributes from Idemix credential in chaincode,FAB-11928,33626,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,skarim,skarim,skarim,11/Sep/18 2:12 AM,12/Jan/19 4:23 AM,28/Oct/23 3:03 AM,15/Sep/18 12:08 PM,,,,,,v1.3.0,,,,,,,,,0,,,,,,"Add a new function in the chaincode library that allows the caller get back attribute values from an Idemix Credential. Currently only two attributes are supported for Idemix, they are 'ou' and 'role'.

Chaincode can continue to use the GetAttributeValue function to get back values for attributes. For Idemix, the only attributes that are going to be available will be 'ou' and 'role'.

Also, the cid and attrmgr code was moved down to the shim to make it easier for chaincode writers by removing extra dependencies they have to import.",,JonathanLevi,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12075,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq6f:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),JonathanLevi,skarim,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"11/Sep/18 2:27 AM;skarim;https://gerrit.hyperledger.org/r/26199;;;","15/Sep/18 12:09 PM;JonathanLevi;Thank you;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code hygiene for key-level shim capabilities,FAB-11929,33627,33225,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,ales,ales,ales,11/Sep/18 2:39 AM,11/Sep/18 2:58 AM,28/Oct/23 3:03 AM,11/Sep/18 2:58 AM,,,,,,,,,,,,,,,0,,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq6n:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide metrics for the endorser service / endpoint,FAB-11930,33629,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,,mastersingh24,mastersingh24,11/Sep/18 3:07 AM,12/Jan/19 1:10 AM,28/Oct/23 3:03 AM,12/Jan/19 1:10 AM,,,,,,,,,,,fabric-peer,,,,0,operations,,,,,,,mastersingh24,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-13088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-3388,,,No,,Unset,No,,,"1|hzzq73:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19/Nov/18 8:51 AM;muralisr;[~wlahti] Some error/failure metrics users frequently encounter that would be good to capture
{code:java}
core/endorser
---------------
proposal validation failure - https://github.com/hyperledger/fabric/blob/master/core/endorser/endorser.go#L343
user chaincode ACL failure - https://github.com/hyperledger/fabric/blob/release-1.3/core/endorser/endorser.go#L385
chaincode instantiation failure -  https://github.com/hyperledger/fabric/blob/master/core/endorser/endorser.go#L179
endorsement failure - https://github.com/hyperledger/fabric/blob/master/core/endorser/plugin_endorser.go#L187
dup tx (in addition to legit user retries this will also help replay attack detection) - https://github.com/hyperledger/fabric/blob/release-1.3/core/endorser/endorser.go#L377

core/chaincode
--------------
chaincode startup failure - https://github.com/hyperledger/fabric/blob/master/core/chaincode/container_runtime.go#L78
chaincode launch timeout - https://github.com/hyperledger/fabric/blob/master/core/chaincode/runtime_launcher.go#L65
chaincode execute timeout - https://github.com/hyperledger/fabric/blob/master/core/chaincode/handler.go#L1152
{code};;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide channel metrics (committer/ledger),FAB-11931,33631,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,mastersingh24,mastersingh24,11/Sep/18 3:12 AM,10/Jan/19 3:50 AM,28/Oct/23 3:04 AM,10/Jan/19 3:50 AM,,,,,,v1.4.0,,,,,fabric-peer,,,,0,operations,,,,,"Committer/Ledger metrics of interest (including labels for grouping/filtering):

Block Height (Gauge)
 - by channel

Block validation time (H)
 - by channel

State validation time (H)
 - by channel

Block storage commit time (H)
 - by channel

State DB commit time (H)
 - by channel

State DB Write lock time (H) - lower priority - think more about how this will be used
 - by channel

State DB Write lock wait time (H) - lower priority - think more about how this will be used
 - by channel

Transaction commit count (C)
 - by channel
 - by transaction type
 - by chaincode
 - by valid/invalidation code
 - by num private data collections
 - by private data available/missing

CouchDB API time (H) - note- also includes a count implicitly since it is a histogram.
 - by channel
 - by database
 - by success/failure/timeout
 - by API name",,AdnanChoudhury,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-3388,,,No,,Unset,No,,,"1|hzzezz:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),AdnanChoudhury,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide chaincode metrics,FAB-11935,33636,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,mastersingh24,mastersingh24,11/Sep/18 3:18 AM,10/Dec/18 11:39 PM,28/Oct/23 3:04 AM,10/Dec/18 11:39 PM,,,,,,v1.4.0,,,,,,,,,0,operations,,,,,,,mastersingh24,sykesm,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-3388,,,No,,Unset,No,,,"1|hzzq7b:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,sykesm,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Oct/18 12:52 AM;sykesm;Basic metrics need to be surfaced for each operation initiated by the chaincode against the peer.  These should include queries, updates, and chaincode invocations.

Since communication between the peer and chaincode is done with a gRPC service, we should be able to rely on server side stream interceptors to obtain counts and response time metrics. If, for some reason that does not work, we can instrument the handler.

Tasks should be created for each metric.;;;","08/Nov/18 11:58 PM;sykesm;We also need to have tasks to record how long it takes to launch chaincode and, when complete, whether or not it's successful. That should be a single histogram with labels.
All metrics for chaincode should include a chaincode name that includes its version; this string will need to be sanitized for use with Statsd and Prometheus. (Find a transform that works and consider a separate task that puts it into the statsd namer to keep people from having to concern themselves with it.)

Decided we're going to instrument metrics into HandleTransaction of the handler: received (count), completed (count), time (histogram). All have labels for the message type, channel, and chaincode; The completed and histogram also contain the response type (error or not).;;;","28/Nov/18 6:25 AM;wlahti;As [~muralisr] mentioned [here|https://jira.hyperledger.org/browse/FAB-11930?focusedCommentId=53565&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-53565], a few other chaincode metrics:

{code}
chaincode startup failure - https://github.com/hyperledger/fabric/blob/master/core/chaincode/container_runtime.go#L78
chaincode launch timeout - https://github.com/hyperledger/fabric/blob/master/core/chaincode/runtime_launcher.go#L65
chaincode execute timeout - https://github.com/hyperledger/fabric/blob/master/core/chaincode/handler.go#L1152
{code};;;","08/Dec/18 8:21 AM;sykesm;[~wlahti] is this done?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide channel metrics (orderer),FAB-11936,33637,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,mastersingh24,mastersingh24,11/Sep/18 3:21 AM,12/Jan/19 1:03 AM,28/Oct/23 3:04 AM,11/Jan/19 1:03 AM,,,,,,,,,,,fabric-orderer,,,,0,operations,,,,,,,jyellick,mastersingh24,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-3388,,,No,,Unset,No,,,"1|hzzq7r:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,mastersingh24,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/Nov/18 6:46 AM;jyellick;This is largely covered by https://jira.hyperledger.org/browse/FAB-9568, https://jira.hyperledger.org/browse/FAB-9570, and https://jira.hyperledger.org/browse/FAB-613

Though I would suggest that we we also add some metrics for ""Solo"" and ""Raft"".;;;","11/Jan/19 12:24 AM;sykesm;[~jyellick] - Is this story still pending and actionable or should we close it?

I can't tell if this is done or not.;;;","11/Jan/19 1:03 AM;jyellick;I think we can call this one closed, if [~mastersingh24] disagrees, maybe we can re-open with more detail.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide Raft-specific metrics,FAB-11937,33638,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,adarshsaraf123,mastersingh24,mastersingh24,11/Sep/18 3:21 AM,03/Mar/19 9:58 PM,28/Oct/23 3:04 AM,17/Feb/19 5:17 AM,,,,,,v2.0.0,,,,,fabric-orderer,,,,0,ipm-planned,operations,raft,,," # Cluster size (per channel): statically computed from consenter set
 # Is_leader(per channel): if the current node is the raft leader (0 or 1)
 # Leader changes (per channel): number of leader changes seen on this node
 # Proposal failures (per channel): if {{Propose}} or {{ProposeConfChange}} fails, this is inc’ed
 # Block number of latest committed block (per channel)
 # Block number of latest snapshot (per channel)",,adarshsaraf123,guoger,kchristidis,mastersingh24,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11863,FAB-14077,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-3388,,,No,,Unset,No,,,"1|hzzq7w:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adarshsaraf123,guoger,kchristidis,mastersingh24,yacovm,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Nov/18 12:41 AM;kchristidis;Reference CR on how to do the instrumentation: [https://gerrit.hyperledger.org/r/c/27496/];;;","29/Nov/18 12:45 AM;kchristidis;Per [~wlahti]:

{quote}Since that CR was merged, we've switched our coding style a little for the histograms:

Instead of:

{code:java}
h.Metrics.ShimRequestDuration.With(
		""type"", msg.Type.String(),
		""channel"", msg.ChannelId,
		""chaincode"", chaincodeName,
		""success"", strconv.FormatBool(resp.Type != pb.ChaincodeMessage_ERROR),
	).Observe(float64(duration) / float64(time.Second))
{code}

We're using:

{code:java}
h.Metrics.ShimRequestDuration.With(
		""type"", msg.Type.String(),
		""channel"", msg.ChannelId,
		""chaincode"", chaincodeName,
		""success"", strconv.FormatBool(resp.Type != pb.ChaincodeMessage_ERROR),
	).Observe(time.Since(startTime).Seconds())
{code}
{quote};;;","04/Feb/19 3:23 AM;adarshsaraf123;[~kchristidis][~guoger]
In the list of metrics mentioned above, 2. Node IDs and 7. Reachable Nodes do not seem to be float values. For 7, we could make it to be the number of reachable nodes. However, making 2 the number of nodes does not make sense since we already have the quorum size in 3. Should 2 then be the max node id per channel? ;;;","04/Feb/19 5:07 AM;kchristidis;Good observation! Reachable/quorum/max nodes seems like a good idea to me.;;;","04/Feb/19 12:39 PM;guoger;[~adarshsaraf123]
By
bq. Node IDs (per channel)
I meant *this* node ID

Number of reachable nodes LGTM!;;;","04/Feb/19 11:01 PM;kchristidis;Updated the description per [~adarshsaraf123]'s and [~guoger]'s comments.

[~guoger]: How do we get a count of the reachable nodes? [~yacovm] commented on that.;;;","04/Feb/19 11:16 PM;adarshsaraf123;Renamed 3. Quorum size to Cluster Size to avoid confusion with the meaning of the word quorum implying that the metric we are providing is the minimum number of nodes necessary for the cluster to function correctly.  ;;;","16/Feb/19 4:20 PM;adarshsaraf123;https://gerrit.hyperledger.org/r/#/c/29153/;;;",,,,,,,,,,,,,,,,,,,,,,,,,
cluster test sometimes fails on PPC,FAB-11938,33639,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,11/Sep/18 4:23 AM,11/Sep/18 12:36 PM,28/Oct/23 3:04 AM,11/Sep/18 12:36 PM,v1.3.0,,,,,v1.3.0,,,,,fabric-orderer,,,,0,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzq9z:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit test failed: runtime panic on ,FAB-11939,33641,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,huikang,huikang,11/Sep/18 12:48 PM,23/Jan/20 7:34 AM,28/Oct/23 3:04 AM,23/Jan/20 7:34 AM,,,,,,,,,,,fabric-ledger,,,,0,stale-item,,,,,"hi,

when I run make unit-test, the test failed at the following step.

 
{quote}```

unit-tests_1  | 2018-09-11 03:31:09.903 UTC [kvledger] Open -> DEBU 107f Open() opening kvledger: ledger1

unit-tests_1  | 2018-09-11 03:31:09.903 UTC [ledgermgmt] Close -> INFO 1080 Closing ledger mgmt

unit-tests_1  | 2018-09-11 03:31:09.903 UTC [ledgermgmt] Close -> INFO 1081 ledger mgmt closed

unit-tests_1  | --- FAIL: TestV11 (0.11s)

        Error Trace:    test_helper.go:45: 

unit-tes                v11_test.go:25

unit-tesError:          Received unexpected error:

unit-tes                LedgerID does not exist

unit-tes                github.com/hyperledger/fabric/core/ledger/kvledger.init

unit-tes                /opt/gopath/src/github.com/hyperledger/fabric/core/ledger/kvledger/kv_ledger_provider.go:33

unit-tes                github.com/hyperledger/fabric/core/ledger/ledgermgmt.init

unit-tes                <autogenerated>:1

unit-tes                github.com/hyperledger/fabric/core/ledger/kvledger/tests.init

unit-tes                <autogenerated>:1

unit-tes                main.init

unit-tes                <autogenerated>:1

unit-tes                runtime.main

unit-tes                /opt/go/src/runtime/proc.go:186

unit-tes                runtime.goexit

unit-tes                /opt/go/src/runtime/asm_amd64.s:2361

unit-tesTest:           TestV11 

unit-tests_1  | panic: runtime error: invalid memory address or nil pointer dereference [recovered]

unit-tests_1  | panic: runtime error: invalid memory address or nil pointer dereference

unit-tests_1  | [signal SIGSEGV: segmentation violation code=0x1 addr=0x48 pc=0x10c84bf]
{quote}
 ",,huikang,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzqaf:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),huikang,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/20 7:34 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
