Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add gossip support for new type of messages related to leader election.,FAB-1286,13621,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,gennadyl,C0rWin,C0rWin,06/Dec/16 7:36 PM,21/Jul/18 3:54 AM,28/Oct/23 2:58 AM,31/Jan/17 11:27 PM,,,,,fabric-gossip,,,,0,gossip,,,,,,,,Because nature of the new gossip leader election message is not immutable there is additional logic has to be added to provide support for dissemination of leader election message type.,,C0rWin,gennadyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx7tb:",,,,Unset,,Sprint 6 - Gossip,Sprint 7 - Gossip,Sprint 8 - Gossip,Sprint 9 - Gossip,Sprint 10 - Gossip,,,,,,,,,,Unset,,,,,,,,,,,C0rWin,gennadyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"26/Jan/17 7:09 PM;gennadyl;https://gerrit.hyperledger.org/r/#/c/4119/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write down document describing gossip based leader election.,FAB-1287,13622,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,gennadyl,C0rWin,C0rWin,06/Dec/16 7:44 PM,21/Jul/18 3:56 AM,28/Oct/23 2:58 AM,07/Feb/17 8:14 PM,,,,,fabric-gossip,,,,0,gossip,,,,,,,,"In order to make clear what are the guaranties leader election based on the gossip will provide and to communicate the actual algorithm need to provide high level description plus pseudo code of the proposed solution.

Document will include assumption it requires from gossip layer and also will clarify expectations and guaranties leader election will provide. ",,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Jan/17 10:17 PM;gennadyl;Gossip Leader election.docx;https://jira.hyperledger.org/secure/attachment/10365/Gossip+Leader+election.docx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-290,,,,,,,,,"1|hzx70n:",,,,Unset,,Sprint 6 - Gossip,Sprint 7 - Gossip,Sprint 8 - Gossip,Sprint 9 - Gossip,Sprint 10 - Gossip,,,,,,,,,,Unset,,,,,,,,,,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expose gossip API for system chain code.,FAB-1288,13623,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,C0rWin,C0rWin,06/Dec/16 9:07 PM,21/Jul/18 3:56 AM,28/Oct/23 2:58 AM,09/Jan/17 4:16 PM,,,,,fabric-gossip,,,,0,gossip,,,,,,,,"In order to allow chain code to leverage gossip capabilities, we need to expose and design API for system chain code usages. Such that it will allow to broadcast messages and receive messages from gossip communication layer.",,C0rWin,mastersingh24,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Dec/16 10:06 PM;C0rWin;Screen Shot 2016-12-12 at 15.05.56.png;https://jira.hyperledger.org/secure/attachment/10308/Screen+Shot+2016-12-12+at+15.05.56.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-290,,,,,,,,,"1|hzx7zz:",,,,Unset,,Sprint 6 - Gossip,Sprint 7 - Gossip,Sprint 8 - Gossip,Sprint 9 - Gossip,,,,,,,,,,,Unset,,,,,,,,,,,C0rWin,mastersingh24,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"11/Dec/16 10:32 PM;C0rWin;https://gerrit.hyperledger.org/r/#/c/3175/;;;","12/Dec/16 8:19 PM;mastersingh24;[~C0rWin] [~muralisr] Can we add some details / diagrams on the overall flow of how things are supposed to work in terms of connecting to the orderer, posting to gossip, committing blocks, etc?  Without some type of flow diagram, it is really hard to review any of these changes.  If there is an external document, that's fine but please add a link to this requires and/or create a higher level epic which brings all of these together;;;","12/Dec/16 9:23 PM;C0rWin;[~mastersingh24] There is no new functionality added, the whole design and component interactions remained the same. All intent of current item and attached commit is to expose current gossip implementation in form of single static instance e.g. singleton, such that CSCC will be easily exposed to it. Moreover it provides decoupling facade for future work described here: FAB-1356.

For example now writting CSCC join function might look like:

{code}
func joinChain(blockBytes []byte) ([]byte, error) {
    if blockBytes == nil {
        return nil, fmt.Errorf(""Genesis block must not be nil."")
    }

    block, err := getBlockFromBlockBytes(blockBytes)
    if err != nil {
        return nil, fmt.Errorf(""Failed to reconstruct the genesis block, %s"", err)
    }

    // We cache the genesis block here so that we can do the work until
    // we get the config transaction back from the orderer, at which time, we
    // follow the normal commit flow via updateConfigBlock call.
    peer.CacheConfigBlock(block)

    committer := // Initialize committer here

    service.GetGossipService().JoinChannel(committer, block)

    return nil, nil
}
{code};;;","12/Dec/16 9:28 PM;mastersingh24;fair point - perhaps I should have asked for this on an earlier change set  / JIRA entry.    But I still think it would be helpful to have a flow diagram somewhere that we could reference to understand the change where gossip actually handles committing of blocks;;;","12/Dec/16 9:43 PM;C0rWin;Agree will work to sketch something, there is diagram in FAB-1038 which might explain the interaction with gossip.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expose the ability to query whenever it was choosen to be a leader for system chaincode.,FAB-1289,13624,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,,C0rWin,C0rWin,06/Dec/16 9:10 PM,05/Aug/18 10:37 PM,28/Oct/23 2:58 AM,20/Jul/18 11:05 PM,,,Future,,fabric-gossip,,,,0,gossip,,,,,,,,Gossip & Leader election layer has to expose the API to provide chain code with ability to ask whenever current peer is chosen to be a leader.,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-290,,,,,,,,,"1|hzxfjz:",,,,Unset,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move gossip proto files under protos folder.,FAB-1290,13625,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,C0rWin,C0rWin,06/Dec/16 11:28 PM,21/Jul/18 3:56 AM,28/Oct/23 2:58 AM,07/Feb/17 8:14 PM,,,,,fabric-gossip,,,,0,gossip,,,,,,,,Need to consolidate all gossip protobuf related files under project protos folder.,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-290,,,,,,,,,"1|hzx70v:",,,,Unset,,Sprint 6 - Gossip,Sprint 7 - Gossip,Sprint 8 - Gossip,Sprint 9 - Gossip,Sprint 10 - Gossip,,,,,,,,,,Unset,,,,,,,,,,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add savepont to state database,FAB-1291,13626,12902,Sub-task,Closed,FAB,Fabric,software,denyeart,,,High,Done,balaji.viswanathan,denyeart,denyeart,07/Dec/16 1:07 AM,20/Jul/18 11:10 PM,28/Oct/23 2:58 AM,09/Dec/16 12:15 AM,,,,,fabric-ledger,,,,0,ledger,,,,,,,,Add savepoint to state database so that upon recovery we know the latest state that was written and can recovery from there.,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxfk7:",,,,,,Sprint 7 - Ledger,,,,,,,,,,,,,,,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossip pull refactoring,FAB-1292,13627,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,07/Dec/16 1:23 AM,20/Jul/18 11:10 PM,28/Oct/23 2:58 AM,28/Dec/16 6:38 PM,,,,,,,,,0,,,,,,,,,"In order to sync immutable entities in gossip one needs to implement an entire interface (the pullAdapter in gossip/algo/pull.go) and keep an in-memory store of messages that are synced using the pull mechanism.
This is cumbersome.  It would be good to be able to have a container class that holds the messages and also implementes the pull adapter, and can be instantiated for any type of immutable gossip message.",,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-290,,,,,,,,,"1|hzxfkf:",,,,,,Sprint 6 - Gossip,,,,,,,,,,,,,,,,,,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use chain ID to create chaincode objects,FAB-1295,13702,,Task,Closed,FAB,Fabric,software,denyeart,,,High,Done,muralisr,muralisr,muralisr,07/Dec/16 9:20 AM,20/Jul/18 11:10 PM,28/Oct/23 2:58 AM,10/Dec/16 8:20 AM,,,,,fabric-peer,,,,0,,,,,,,,,"Chaincode objects are
* containers
* images
* system chaincodes

Using chain ID as part of the namespace naturally provides instantiation of chaincodes across chains. This is especially important for system chaincodes for which the code is inbuilt into the fabric (this was anticipated in the notion of ""instance"" for system chaincodes (see core/container/inproccontroller/inproccontroller.go)",,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-37,,,,,,,,,"1|hzxfkv:",,,,,,Sprint 7 - Endorser,,,,,,,,,,,,,,,,,,,,,,,,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable BDD tests to run outside of Vagrant env,FAB-1296,13703,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,sanchezl,sanchezl,sanchezl,08/Dec/16 2:01 AM,21/Jul/18 3:55 AM,28/Oct/23 2:58 AM,16/Jan/17 6:13 AM,,,,,,,,,0,,,,,,,,,"BDD tests make assumptions about networking the that prevent them from running successfully outside of the Vagrant environment.

Update the BDD tests to allow them to be run natively without Vagrant on any Linux/macOS environment.",,sanchezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxfl3:",,,,Unset,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,sanchezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"08/Dec/16 11:46 PM;sanchezl;Current BDD test framework does not start up docker images with exposed ports.
Instead, it relies on the fact that, on Linux, the docker daemon creates a bridge network for each new docker network and that network is then reachable from the host.
e.g:
{code}
vagrant@hyperledger-devenv $ docker network ls
NETWORK ID          NAME                                       DRIVER              SCOPE
0b27fbe815f1        2a53e202bd5211e6891408002790a540_default   bridge              local               
08b4d7b23046        bridge                                     bridge              local               
fc18e2f3079a        host                                       host                local               
faa1279a798d        none                                       null                local               
 
vagrant@hyperledger-devenv $ ifconfig br-0b27fbe815f1
br-0b27fbe815f1 Link encap:Ethernet  HWaddr 02:42:51:7b:11:90  
          inet addr:172.20.0.1  Bcast:0.0.0.0  Mask:255.255.0.0

{code}

On macOS these bridge networks are created, but they are hidden and not routable from the host.

As part of this item I will do the following:
# Have the docker-compose.yml files map the exposed ports to the local host.
# The ports will be mapped to a random local port so that:
## Multiple docker containers can expose the same port at the same time.
## The ports will not conflict with the Vagrant forwarded ports.
# The BDD tests framework will be updated to use the mapped host and port for the exposed ports.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add tests to excercise multichain in chaincode framework,FAB-1297,13704,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,muralisr,muralisr,muralisr,08/Dec/16 3:54 AM,20/Jul/18 11:10 PM,28/Oct/23 2:58 AM,10/Dec/16 8:19 AM,,,,,fabric-peer,,,,0,,,,,,,,,FAB-1295 added chainID to the chaincode namespace so chaincodes can be launched per chain. This task adds tests to excercise that feature.,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-37,,,,,,,,,"1|hzxe9z:",,,,,,Sprint 7 - Endorser,,,,,,,,,,,,,,,,,,,,,,,,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove queueing concept from Broadcast,FAB-1298,13705,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,08/Dec/16 5:54 AM,21/Jul/18 3:54 AM,28/Oct/23 2:58 AM,04/Jan/17 3:32 AM,,,,,fabric-orderer,,,,0,common-components,,,,,,,,"The broadcast API suffers from a deficiency today, that it immediately returns success/failure before the request has actually entered consensus.

The desired behavior would be to return success only after the request has entered consensus, but, this poses a problem when the broadcast queue overflows.  In the event that the broadcast queue overflows, incoming requests should be rejected to alert the client to slow down.

This results in the situation of:
1. Wait until after the queue drains to return the failure (which will not throttle the client and not provide immediate feedback, this is bad)
2. Return the success before the queue drains (which will not inform the client if for whatever reason the consensus system never actually accepts the request)

Since these options both have drawbacks and are mutually exclusive, a different solution is required.

This story is to add windowing to the broadcast API to mirror the deliver API.  If the client knows how big the buffer is at the server, then the client can delay sending new messages until it receives the success/failure after processing the queue.  If the client violates the protocol and overflows the queue, the client can be dismissed as malicious and hung-up on.",,bcbrock,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-686,,,,,,,,,"1|hzxflb:",,,,Unset,,Sprint 7 - consensus,,,,,,,,,,,,,2.0,Unset,,,,,,,,,,,bcbrock,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"14/Dec/16 12:35 AM;jyellick;Per some feedback from [~bcbrock] it sounds like we can rely on gRPC to do our windowing for us, so I am repurposing this story for removing the queue and windowing from broadcast.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support orderer multichain restart,FAB-1299,13706,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,08/Dec/16 6:26 AM,21/Jul/18 3:55 AM,28/Oct/23 2:58 AM,14/Jan/17 8:05 AM,,,,,fabric-orderer,,,,0,common-components,,,,,,,,"The multichain work introduced a significant amount of state tracking and updating on a per chain basis.  This state needs to be stored in such a way that when the orderer restarts, it can restart all of the chains which were created and do so with their correct config.

This should additionally support whatever metadata that a consenter needs for restart, such as in the kafka case the last offset committed.",,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-686,,,,,,,,,"1|hzxflj:",,,,Unset,,Sprint 9 - consensus,,,,,,,,,,,,,4.0,Unset,,,,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide metrics for the common orderer service endpoints,FAB-1300,13707,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,jyellick,jyellick,08/Dec/16 6:55 AM,14/Dec/18 1:17 AM,28/Oct/23 2:58 AM,14/Dec/18 1:17 AM,,,v1.4.0,,fabric-orderer,,,,0,common-components,operations,,,,,,,"In order to assess the health of the ordering service, we should expose basic metrics about the state of the ordering network like number of clients connected, transaction rates, chains and chain heights, etc.",,jyellick,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-3388,,,,,,,,,"1|hzzq7j:",,,,Unset,,,,,,,,,,,,,,,5.0,Unset,,,,,,,,,,,jyellick,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Mar/17 11:02 PM;scottz;Refer also to FAB-841, for more perspective.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
