Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Implement configuration change detection into discovery support,FAB-6739,22808,19464,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,24/Oct/17 7:08 PM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,10/Apr/18 5:21 PM,,,,,,,,,,fabric-peer,,,,0,,,,,,,"The discovery service needs to know when configuration changes, when chaincode upgrades are made, when new chaincodes are instantiated, etc. ",,yacovm,yuanlv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzykmn:",,,,,,May2018 - NextGen Endorsement,,,,,,,,,,,,,,,,yacovm,yuanlv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Mar/18 9:02 AM;yuanlv;Is this issue need to process, I want to know more detail about this issue.;;;","25/Mar/18 4:16 PM;yacovm;Hey, sorry - this item was already sort of done, I just need to synchronize the JIRA with the reality... ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use SKI as well as RawSubject to uniquely identity root certificates,FAB-6740,22810,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,mastersingh24,mastersingh24,24/Oct/17 9:17 PM,11/Aug/19 6:44 PM,28/Oct/23 3:01 AM,11/Aug/19 6:44 PM,,,,,,,Future,,,fabric-orderer,fabric-peer,,,0,,,,,,,"The GRPCServer.SetClientRootCAs() function currently eliminates duplicate root certificates by using a map with a key based on the RawSubject.   While it should not be the case that we should end up with duplicate subjects nor should it be the case that the root certificate for an org should differ across channels, it is possible for this to happen.  So we need a better way to uniquely key root certificates.  

SubjectKeyIdentifier should be unique across root certificates.  It's not a mandatory field so we'll need to maintain two maps but if SKI exists we won't add it to the RawSubject map.",,denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzykn3:",,,,Unset,,,,,,,Unset,,,,,,,,,,,denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24/Oct/17 9:52 PM;mastersingh24;Will defer this to 1.2.  If it turns out to be an issue for 1.1, we can mark it as a bug and fix.;;;","23/Mar/18 2:07 PM;denyeart;Many issues were bulk moved from v1.0 or v1.1 to v1.2 as part of a cleanup effort, and many of these issues are not high priority or actually intended to be worked for v1.2.  This issue is being bulk moved to Future.  If the issue is indeed high priority for v1.2 and/or very low effort, please move back to v1.2 and add a comment to indicate rationale.;;;","11/Aug/19 6:44 PM;mastersingh24;Has not proven to be an issue to date;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deprecate gossip metadata to use only the existing Properties,FAB-6741,22811,19464,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,24/Oct/17 9:46 PM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,10/Apr/18 5:21 PM,v1.2.0,,,,,,v1.2.0,,,fabric-gossip,,,,0,,,,,,,"The gossip channel metadata serializes a uint64 that specifies the ledger height.
It's not extensible since it's not proto or anything of the sort.'

In v1.1 we extended the stateInfo message with a new field called properties which is a proto field and is extensible. 

Now, for v1.2 it is time to deprecate the old metadata and use only the Properties.

As a result, peers in v1.0 won't be able to speak in channel context with peers in v1.2 onwards.",,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyknb:",,,,,,May2018 - NextGen Endorsement,,,,,,,,,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Launcher,FAB-6742,22814,,Epic,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,dongming,dongming,dongming,24/Oct/17 11:12 PM,26/Feb/20 10:49 PM,28/Oct/23 3:01 AM,08/Aug/19 5:46 AM,,,,,,,,,,fabric-quality,,,,0,,,,,,,"This is the epic for all Network Launcher enhancement.

The network launcher locates in [https://github.com/hyperledger/fabric-test] under directory tools/NL. ",,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,Unset,ghx-label-1,,Network Launcher (NL),Done,,,Unset,,,,"1|hzx30h:",,,,Unset,Unset,,,,,,,,,,,,,,,,,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peer panics when hash of pvt data doesn't match hash in public data,FAB-6744,22816,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Done,C0rWin,bstasyszyn,bstasyszyn,24/Oct/17 11:50 PM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,26/Oct/17 8:08 PM,,,,,,,,,,fabric-gossip,,,,0,,,,,,,"Steps to reproduce:
-	Create a chaincode that invokes PutPrivateData on a collection, key, and random value (generated inside the chaincode)
-	Invoke the chaincode on at least two peers (the random value will be different for each of the endorsers)

One (or both) of the peers panics:

peer0.example.com     | 2017-10-24 13:49:34.730 UTC [gossip/state] commitBlock -> ERRO 07a Got error while committing(Hash of pvt data for collection [mapcc6:col3] does not match with the corresponding hash in the public data. 
peer0.example.com     | 					public hash = [[]byte{0xdc, 0xda, 0xe3, 0xac, 0xb8, 0x97, 0xb3, 0x68, 0x1e, 0x96, 0xc9, 0x15, 0x4e, 0xfa, 0x6c, 0x83, 0x99, 0x85, 0x43, 0x84, 0x2d, 0x49, 0x17, 0xa8, 0x9e, 0xeb, 0xc, 0xdd, 0xdb, 0x90, 0x7d, 0xf8}], pvt data hash = [[]byte{0xd3, 0x9e, 0xe0, 0xe1, 0xc9, 0x5d, 0x94, 0xc0, 0x31, 0xc4, 0x30, 0x9f, 0x8d, 0xed, 0xbb, 0x40, 0xb7, 0xb6, 0x8c, 0xc4, 0xb1, 0x5f, 0xa1, 0xb6, 0x26, 0x9f, 0x80, 0x22, 0xfe, 0xcd, 0x7c, 0xcf}]
peer0.example.com     | commit failed
peer0.example.com     | github.com/hyperledger/fabric/gossip/privdata.(*coordinator).StoreBlock
peer0.example.com     | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/privdata/coordinator.go:209
peer0.example.com     | github.com/hyperledger/fabric/gossip/state.(*GossipStateProviderImpl).commitBlock
peer0.example.com     | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/state/state.go:773
peer0.example.com     | github.com/hyperledger/fabric/gossip/state.(*GossipStateProviderImpl).deliverPayloads
peer0.example.com     | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/state/state.go:557
peer0.example.com     | runtime.goexit
peer0.example.com     | 	/opt/go/src/runtime/asm_amd64.s:2337
peer0.example.com     | github.com/hyperledger/fabric/gossip/state.(*GossipStateProviderImpl).commitBlock
peer0.example.com     | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/state/state.go:774
peer0.example.com     | github.com/hyperledger/fabric/gossip/state.(*GossipStateProviderImpl).deliverPayloads
peer0.example.com     | 	/opt/gopath/src/github.com/hyperledger/fabric/gossip/state/state.go:557
peer0.example.com     | runtime.goexit
peer0.example.com     | 	/opt/go/src/runtime/asm_amd64.s:2337)
",,bstasyszyn,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Oct/17 5:20 AM;bstasyszyn;peerlogs.log;https://jira.hyperledger.org/secure/attachment/12813/peerlogs.log",,,,,,,,,,,,,FAB-1151,,,,,,,,,"1|hzyknz:",,,,,,,,,,,,,,,,,,,,,,bstasyszyn,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"26/Oct/17 7:06 AM;C0rWin;https://gerrit.hyperledger.org/r/#/c/14865/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panic on modification of root config group,FAB-6746,22821,21238,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,25/Oct/17 12:37 AM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,30/Jan/18 12:15 AM,,,,,,,v1.1.0,,,,,,,0,,,,,,,[~jeffgarratt] managed to recreate this in the bdd tests.  The zero length path occurs only for the root config group element (other elements in the root are not affected).,,denyeart,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzykov:",,,,,,,,,,,,,,,,,,,,,,denyeart,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"28/Oct/17 12:26 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/14795/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configtxgen/localconfig unable to read V1.1 sample profiles,FAB-6747,22823,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,wlahti,wlahti,wlahti,25/Oct/17 1:54 AM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,26/Oct/17 8:00 PM,,,,,,,,,,fabric-tools,,,,0,configtxgen,,,,,,"localconfig.go's Load function:
{code:java}
func Load(profile string) *Profile {code}
is unable to read in the sample V1.1 profiles due to the period in the profile name as defined in sampleconfig/configtx.yaml (e.g. SampleSingleMSPChannelV1.1). The V1.1 sample profiles should be updated to use underscores instead so Viper is able to read them in as expected.",,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzykp3:",,,,,,,,,,,,,,,,,,,,,,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"25/Oct/17 2:05 AM;wlahti;https://gerrit.hyperledger.org/r/#/c/14813/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MessageSet in Gossip communication layer,FAB-6749,22827,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,grapebaba,grapebaba,25/Oct/17 10:45 AM,21/Jul/18 3:49 AM,28/Oct/23 3:01 AM,25/Oct/17 7:53 PM,,,,,,,Abandoned,,,fabric-gossip,,,,0,,,,,,,"Unless I am missing something, Gossip layer right now just expose interfaces only send one message in one send round. Shall we consider introduce features sending multiple messages in one send round?

In my mind, define a new type of gossip message 'messageSet'  which contains a slice of messages, may not need interface change. [~C0rWin] [~yacovm]",,C0rWin,grapebaba,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzykpz:",,,,Unset,,,,,,,Unset,,,,,,,,,,,C0rWin,grapebaba,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Oct/17 3:47 PM;yacovm;Don't see the point in doing that:
* You can always create a message that aggregates smaller messages
* When you send a message to a peer, it is queued into a buffer for transmission. 

So, to send n messages you can just iterate and invoke Send() n times. 

By the way, there are no real rounds as you mentioned since we work in the real world in which time advances asynchronously and not synchronously :) ;;;","25/Oct/17 3:58 PM;grapebaba;Yeah, I noted we have a batch emit and buffer the messages in channel, iterate and invoke Send() n times. How about aggregates these messages and invoke Send() one time? I am not sure if the latter one can reduce time since I don't test it.

 ;;;","25/Oct/17 4:03 PM;yacovm;Don't see how we really reduce time by doing this. We're saving here nano-seconds in the ""green path"" where buffers are not full.
In any case you'll need a for loop down the path path to put the batch of messages into the channels that act as queues, so I don't see how we save code in the macro level ;;;","25/Oct/17 4:40 PM;C0rWin;{quote} 
Yeah, I noted we have a batch emit and buffer the messages in channel, iterate and invoke Send() n times. How about aggregates these messages and invoke Send() one time? I am not sure if the latter one can reduce time since I don't test it.
{quote}

You can aggregate those messages into one message and use regular Send API, for example you can have recursive messages which will include many other messages and call Send(). I'm not convinced you need another API to support this functionality.;;;","25/Oct/17 4:41 PM;grapebaba;My point is network transfer overhead, may send 1 big message through grpc connection better than parallel send 100 small messages through that connection. However I have no real test results.:P;;;","25/Oct/17 4:47 PM;grapebaba;[~C0rWin]agree. Actually in my origin description I said we don't need API change, however rather than leave this to top level user, we may do that underlying make them transparent.;;;","25/Oct/17 4:53 PM;C0rWin;[~grapebaba] gossip is the communication middleware with internal API so not sure about top level users, since it's not exposed externally. Only Fabric components which requires broadcasting functionality. I wouldn't go with any API changes at the moment unless there is an explicit profiling results showing usefulness of such optimization or specific use case. ;;;","25/Oct/17 5:26 PM;grapebaba;That's fine. It indeed need profiling result support.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need a way to automate knowing if the node.js shim requires updating and/or republishing to NPM,FAB-6750,22828,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,davidkel,davidkel,25/Oct/17 7:46 PM,30/Jul/19 11:59 AM,28/Oct/23 3:01 AM,30/Jul/19 11:59 AM,v1.1.0,,,,,,Future,,,fabric-peer,,,,0,build-system,node,,,,,"Changes made to the protocols can have impact on the shims. As the node.js shim is built outside of the main fabric build, changes can occur which could break the shim and require changes. 
This happened recently where a change was made to the GetState protocol but the shim wasn't updated and there was no indication that there was now a break in the shim.

As the shim publishes an unstable version to NPM which reflects changes to it, there is also the scenario where if a .proto file required by the shim is changed, a new unstable NPM module would need to be published as the build. The proto files are not part of the shim code base but rather pull them from the fabric code base.
Maybe the fabric-chaincode-node build could be kicked off whenever a change to the .proto files are detected ?",,davidkel,denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzykqf:",,,,Unset,,,,,,,Unset,,,,,,,,,,,davidkel,denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Mar/18 2:07 PM;denyeart;Many issues were bulk moved from v1.0 or v1.1 to v1.2 as part of a cleanup effort, and many of these issues are not high priority or actually intended to be worked for v1.2.  This issue is being bulk moved to Future.  If the issue is indeed high priority for v1.2 and/or very low effort, please move back to v1.2 and add a comment to indicate rationale.;;;","30/Jul/19 11:59 AM;mastersingh24;No activity in a year or more;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove encshim wrapper for encryption,FAB-6751,22829,13135,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,denyeart,denyeart,25/Oct/17 8:06 PM,20/Jul/18 11:14 PM,28/Oct/23 3:01 AM,30/Oct/17 3:16 AM,,,,,,,v1.1.0,,,fabric-crypto,,,,0,,,,,,,"The new encryption library provides two different capabilities that are called in two different ways:

1) Ability to directly Encrypt() and Decrypt() in chaincode

2) Ability to call PutState()/GetState() with a encshim to put/get encrypted values, for example:

es.With(ent).PutState(args[0], b)

 

Then encshim wrapper is confusing and unnecessary in my opinion, I prefer to directly expose Encrypt() and Decrypt() only.  This will be more intuitive for chaincode developers, and less for Fabric to maintain.  I would suggest to remove encshim and update the example to demonstrate direct Encrypt() and Decrypt().  

One chaincode data pattern is to encrypt certain fields in JSON but not others (for queryability of non-confidential fields).  Again, the explicit Encrypt() will provide the chaincode author with full control and flexibility to do these types of things, while encshim will not.",,denyeart,JonathanLevi,Nishi,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzykzr:",,,,,,Sprint 10 - Crypto,,,,,,,,,,,,,,,,denyeart,JonathanLevi,Nishi,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Oct/17 8:20 AM;JonathanLevi;""Then encshim wrapper is confusing and unnecessary in my opinion, I prefer to directly expose Encrypt() and Decrypt() only. ""

Thanks [~ales] and [~denyeart]: do you want to propose this changes to the related document in https://jira.hyperledger.org/browse/FAB-5727 and see if there's consensus around these ?

 ;;;","29/Oct/17 9:03 AM;denyeart;[~JonathanLevi] Thanks - maintainers proposed and reviewed this change, with buy-in from crypto team, system test, and doc.  I've updated FAB-5727 to reflect this change.;;;","29/Oct/17 9:04 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/14917/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netcomposer: Utility to bootstrap Fabric networks,FAB-6752,22830,,Story,Closed,FAB,Fabric,software,denyeart,,,Low,Won't Do,jeroiraz,jeroiraz,jeroiraz,25/Oct/17 10:23 PM,23/Jan/20 7:14 AM,28/Oct/23 3:01 AM,23/Jan/20 7:14 AM,,,,,,,,,,,,,,0,bootstrap,stale-item,utility,,,,"Bootstrapping a HF network involves a considerable effort and the task is prone to error, people asking for collaboration regarding this task are frequently seen in the HF chat.

While the e2e sample is a great starting point, it relies on a fixed network configuration i.e. fixed amount of organizations, peers, etc. Changing the configuration might be hard to accomplish for a developer who is not yet familiar with HF.

On the other hand, we already count with a tool that simplifies the creation of required credentials just by providing a simple configuration file. But it does not provide support for the configuration of docker files.

We’ve implemented this utility to simplify our daily work in a research project where we test the changes introduced to the Fabric against different HF networks (different organizations and peers, ordering service implementations and db providers). As we found this tool really useful we would like to share with the open community.

This utility is useful when getting started with HF and for bootstrapping development/testing HF networks based on customized HF images. A simple configuration file looks like the following one:
     DOCKER_NS: hyperledger
     ARCH: x86_64
     VERSION: 1.0.2

    network:                ""samplenet""
     domain:                 ""samplenet.com""

    ordererType:            ""solo""

    db:
         provider:   ""goleveldb""

    ordererNodes:           1
     peerOrganizations:      1
     peersPerOrganization:   2
     usersPerOrganization:   1

    logLevel:               ""debug""
     tlsEnabled:             true
     chaincodesPath:    ""./sample-chaincodes""

 

*Build configuration files (credentials also generated)*:    netcomposer -config samplenet.yaml
 *Start the network*:    docker-compose -f ./samplenet/docker-compose.yaml up -d

All containers are up and running, no need to deal with certificates nor docker configuration files. CLI peer is also ready to install, instantiate and invoke chaincodes.

Note: Required crypto material is generated by cryptogen tool.

 

Current source code: [https://github.com/ibm-silvergate/netcomposer]

 ",,baohua,jeroiraz,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288000,144000,,0%,288000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx39z:",,,,Unset,,,,,,,Unset,,,,,,,,,,,baohua,jeroiraz,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/Nov/17 2:35 PM;baohua;This tools is interesting and suggest to contribute to the fabric project as some fabric-bootstrap-tool (there's already a composer one for different scope).;;;","23/Jan/20 7:14 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
