Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add extraction of endorsement policy for key level endorsement to core/cclifecycle,FAB-11378,32369,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,yacovm,yacovm,yacovm,28/Jul/18 7:18 PM,11/Feb/19 5:21 PM,28/Oct/23 3:03 AM,11/Feb/19 5:21 PM,,,,,,,,,Future,,,fabric-peer,,,,,0,,,,,,,"The cclifecycle has a method which returns chaincode metadata based on the chaincode name and the channel name.

 

An additional method should be introduced which returns back endorsement policies based on  keys of a specific chaincode in a given channel.",,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11374,,,No,,Unset,No,,,"1|hzzkn3:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add state based endorsement support to the discovery protobuf ,FAB-11380,32371,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,yacovm,yacovm,yacovm,28/Jul/18 8:08 PM,11/May/19 10:38 PM,28/Oct/23 3:03 AM,11/May/19 10:38 PM,,,,,,,,,Future,,,,,,,,0,,,,,,,"The discovery protobuf has a message which defines a chaincode call inside a chaincode invocation chain:


{code:java}
// ChaincodeCall defines a call to a chaincode.
// It may have collections that are related to the chaincode
 
message ChaincodeCall {

string name = 1;

repeated string collection_names = 2;
 
} 
{code}

We should add to it a sequence of keys to specify the keys being used in the chaincode invocation.",,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11374,,,No,,Unset,No,,,"1|hzzknb:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Jul/18 11:51 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/24915/;;;","03/Aug/18 2:57 AM;yacovm;Reverting this due to the decision in the last maintainer call to not implement this in v1.3;;;","03/Aug/18 2:59 AM;yacovm;https://gerrit.hyperledger.org/r/#/c/25069/;;;",,,,,,,,,,,,,,,,,,,,,,,,
Implement state based endorsement support in discovery service,FAB-11381,32372,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,yacovm,yacovm,yacovm,28/Jul/18 8:15 PM,11/May/19 10:37 PM,28/Oct/23 3:03 AM,11/May/19 10:37 PM,,,,,,,,,Future,,,fabric-peer,,,,,0,,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11374,,,No,,Unset,No,,,"1|hzzknj:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State based endorsements operations flow,FAB-11382,32373,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,yacovm,yacovm,28/Jul/18 9:59 PM,23/Jan/20 7:32 AM,28/Oct/23 3:03 AM,23/Jan/20 7:32 AM,,,,,,,,,Future,,,,,,,,0,stale-item,,,,,,"I think that ideally - the user should be oblivious of the fact that a chaincode has state based endorsement or not, and the discovery service can hint to the SDK in the endorsement descriptor given by the query response - whether the chaincode has state based endorsements or not.

That's because, since the discovery query (to obtain the set of endorsers for the chaincode) happens before the actual chaincode execution - the discovery service can't foresee the keys the chaincode execution would update (without executing the chaincode itself ;) )

Therefore, if the SDK sees a hint in the endorsement descriptor returned by the peer - it would know that it would need to send to the peer a subsequent query after the endorsement of the proposal, in which it would specify the keys in the write-set that are changed, in order for the discovery service to compute a new endorsement descriptor that satisfies the combination of the endorsement policies of these keys.

The discovery service would extract the endorsement policies for the keys, convert them to the discovery representation of endorsement policies, and then combine them all to a policy that satisfies each policy in the combination.
 The endorsement descriptor returned from that 2nd discovery query would be derived from that combined policy.

This would mean that state-based endorsements transactions (that are sent to ordering) would require a discovery query beforehand, but I think that's a necessary evil considering the fact that in state based endorsements - anyone can change the owners of the key without the SDK to know, and thus - the peer set derived from the endorsement policy the SDK uses can be stale.

A way to make this more efficient, is for the SDK to cache endorsement descriptors per key, and optimistically reuse these descriptors and hope the key ownership hasn't changed.

Given that in some use cases - only filtered events are returned to the SDK, I don't think that parsing events and figuring out which key metadata has changed and invalid the cached per-key descriptors is the way to go.

 

Now, in any case - the SDK would need to pass the keys from the RWSet in order for endorsement descriptor to be calculated according to the following logic (taken from the playback):

!Capture.PNG!

 

This means, that if a key doesn't have an attached EP, or doesn't exist - the EP for that key to be taken into the computation of the combination of the EPs would be the chaincode's own EP.

 

Opinions?

[~ales]  [~mne] [~denyeart] [~mastersingh24] [~jyellick] [~C0rWin] [~rickr] [~harrisob@us.ibm.com]",,ales,ChanderGovindarajan,isaacwch,rickr,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Jul/18 10:08 PM;yacovm;Capture.PNG;https://jira.hyperledger.org/secure/attachment/15406/Capture.PNG",,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11374,,,No,,Unset,No,,,"1|hzzknr:",,,,Yes,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,ChanderGovindarajan,isaacwch,rickr,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Jul/18 10:29 PM;ales;[~yacovm], it makes sense to me. I'm only not sure about the caching part: under which conditions will the SDK evict stale cache entries?;;;","30/Jul/18 10:35 PM;yacovm;{quote}under which conditions will the SDK evict stale cache entries?
{quote}
The SDK should register to the events, and whenever the chaincode is upgraded - an event is put by LSCC, so it should then re-query the keys.;;;","30/Jul/18 10:47 PM;ales;Thing is, you don't need a chaincode upgrade to change a state-level endorsement policy - it can be done via chaincode.;;;","30/Jul/18 10:50 PM;yacovm;So maybe we can emit an event whenever the metadata is updated, or worst case we can fall back to a retry in case the transaction doesn't pass validation because of endorsement policy?;;;","30/Jul/18 10:54 PM;ales;It's certainly possible to track state-level EP changes since they generate a special rwset message. Could this be used to generate events or should the standard chaincode event infrastructure be used? Retry after cache entry flush is certainly an option otherwise.;;;","30/Jul/18 11:16 PM;yacovm;We have a problem in case of filtered events, that's why I proposed the events... would like other opinions if possible;;;","01/Aug/18 2:23 AM;rickr;How likely is it that when all said and done it would not be better to just get all endorsements possibly needed ? I understand that we would in some cases be getting more endorsemetns than needed. Could the chaincode writer not provide meta data that his chaincode will need to satisfy a set of endorsement policies (including the keys) and chaincodes that it will call. Discovery would inspect this and come up with the endorsements ?  Not understanding the use cases here maybe not possible but just wanted to float this by you;;;","01/Aug/18 2:24 AM;rickr;I guess the short way of putting that is just do the *_SHOT GUN _*approach! :)
;;;","23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,
"As a Fabric CLI user, I expect all commands to print their status on screen",FAB-11383,32378,,Story,Backlog,FAB,Fabric,software,denyeart,,,Lowest,,TopJohn,kchristidis,kchristidis,28/Jul/18 10:51 PM,15/Oct/19 12:24 PM,28/Oct/23 3:03 AM,,v1.2.0,,,,,,,,,,,fabric-peer,,,,,0,help-wanted,,,,,,"h2. What?

Perhaps this will be a non-issue when the CLI is eventually redesigned, but as things stand, there are certain operations that leave the user hanging as to whether their invocation was successful or not.

As an example, at the INFO log level, this is the only output a Fabric CLI user sees when they instantiate a chaincode:
{noformat}
2018-07-28 13:43:44.929 UTC [chaincodeCmd] checkChaincodeCmdParams -> INFO 001 Using default escc
2018-07-28 13:43:44.929 UTC [chaincodeCmd] checkChaincodeCmdParams -> INFO 002 Using default vscc
{noformat}
Or consider the case where they wish to sign a transaction (using peer channl signconfigtx):
{noformat}
2018-07-28 14:06:22.880 UTC [channelCmd] InitCmdFactory -> INFO 001 Endorser and orderer connections initialized
{noformat}
There is no information in either of these cases to let the users know whether the operation succeeded or not.
h2. How to fix this?

Add a log level message (INFO for success, ERROR for error) that prints the status of the operation.",,kchristidis,shitaibin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,No,Unset,,FAB-10734,,,No,,Unset,No,,,"1|hzzkov:",,,,No,Unset,,,(Please add steps to reproduce),,No,,,,,,Unset,,Unset,,(Please add usage information),kchristidis,shitaibin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Aug/19 8:35 PM;shitaibin;Hi, [~denyeart] and [~kchristidis], is the  expected log should like of installing a chaincode.

 

 
{code:java}
2019-07-17 06:34:51.542 UTC [chaincodeCmd] checkChaincodeCmdParams -> INFO 001 Using default escc
 2019-07-17 06:34:51.542 UTC [chaincodeCmd] checkChaincodeCmdParams -> INFO 002 Using default vscc
 2019-07-17 06:34:51.817 UTC [chaincodeCmd] install -> INFO 003 Installed remotely response:<status:200 payload:""OK"" >{code}
 

 

If that so, i want to fix this issue.;;;","13/Aug/19 6:23 PM;shitaibin;Instantiate chaincode needs a transaction. It would not slove the problem if just adding log message in `instantiate` or it's caller.

 

After adding log messages for proposal response and broadcasting transaction, users can know its successes and errors, but not whether the deployment succeeded or failed.

 

The CLI user should use another command to know the result:
{code:java}
root@7c6f4929058c:/opt/gopath/src/github.com/hyperledger/fabric/peer# peer chaincode list --instantiated -C mychannel
 use default log.
 Get instantiated chaincodes on channel mychannel:
 Name: mycc, Version: 1.0, Path: github.com/chaincode/chaincode_example02/go/, Escc: escc, Vscc: vscc
{code}
 ;;;",,,,,,,,,,,,,,,,,,,,,,,,,
CI incorrectly passes when build fails,FAB-11384,32379,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,rameshthoomu,ryjones,ryjones,29/Jul/18 12:06 AM,02/Dec/18 10:42 AM,28/Oct/23 3:03 AM,02/Dec/18 10:42 AM,,,,,,,,,v1.4.0,,,fabric-ci,,,,,0,ci,,,,,,"see logs here: [https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-verify-build-checks-x86_64/3435/console.log.gz]

 

[INFO] Uploading: https://nexus.hyperledger.org/content/repositories/releases/org/hyperledger/fabric/hyperledger-fabric-build/linux-amd64-d59a736/hyperledger-fabric-build-linux-amd64-d59a736.pom
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 6.944 s
[INFO] Finished at: 2018-07-28T15:02:57+00:00
[INFO] Final Memory: 12M/290M
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal org.apache.maven.plugins:maven-deploy-plugin:2.7:deploy-file (default-cli) on project standalone-pom: Failed to deploy artifacts: Could not transfer artifact org.hyperledger.fabric:hyperledger-fabric-build:tar.gz:linux-amd64-d59a736 from/to hyperledger-releases (https://nexus.hyperledger.org/content/repositories/releases/): Failed to transfer file: https://nexus.hyperledger.org/content/repositories/releases/org/hyperledger/fabric/hyperledger-fabric-build/linux-amd64-d59a736/hyperledger-fabric-build-linux-amd64-d59a736.tar.gz. Return code is: 400, ReasonPhrase: Bad Request. -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException
+ echo '-------> DONE <----------'
-------> DONE <----------
+ vote -m '""Succeeded, Run SmokeTest""' -l F1-VerifyBuild=+1 -l F2-DocBuild=+1
+ ssh -p 29418 hyperledger-jobbuilder@gerrit.hyperledger.org gerrit review 24839,1 --notify '""NONE""' -m '""Succeeded, Run SmokeTest""' -l F1-VerifyBuild=+1 -l F2-DocBuild=+1",,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzkp3:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/Sep/18 5:43 AM;denyeart;[~rameshthoomu] [~ryjones] Is this still an issue, or can it be closed?;;;","20/Sep/18 5:59 AM;ryjones;it would be pretty easy to test. Ramesh, write a shell script that fails and try it out. If it works correctly I'm fine with you closing this.;;;","02/Dec/18 10:42 AM;rameshthoomu;This change will remove code to publish images and binaries from verify build checks job. [https://gerrit.hyperledger.org/r/#/c/27851/]

Closing this issue as the code is no more there on the verify job.;;;",,,,,,,,,,,,,,,,,,,,,,,,
Disable private data integration tests,FAB-11385,32380,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Done,C0rWin,C0rWin,C0rWin,29/Jul/18 2:24 AM,29/Jul/18 9:39 PM,28/Oct/23 3:03 AM,29/Jul/18 6:01 PM,,,,,,,,,,,,,,,,,0,,,,,,,"Currently private data integration tests are intermittently fails preventing CRs to pass CI verification. See:  FAB-11327 and FAB-11329. 

Need to disable those tests to stop CI failures and both of FAB-11327 and FAB-11329 will be addressed.",,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not a security issue,,,,,,,,,FAB-11367,,,,,,,,,FAB-11327,FAB-11329,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,6e17b237216b3b99bffdcadb6774c16e766565d8,Unset,No,,,"1|hzzkpb:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Jul/18 2:28 AM;C0rWin;https://gerrit.hyperledger.org/r/24891;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Sync protobuf with proto 1.1,FAB-11386,32383,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,29/Jul/18 11:48 PM,30/Jul/18 11:44 AM,28/Oct/23 3:03 AM,30/Jul/18 11:44 AM,,,,,,,,,v1.3.0,,,,,,,,0,,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzkpz:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Jul/18 11:50 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/24917/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Fix num of params boundary check for cauthdsl,FAB-11387,32384,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,diizuka,diizuka,diizuka,30/Jul/18 11:27 AM,28/Nov/18 12:08 AM,28/Oct/23 3:03 AM,28/Nov/18 12:08 AM,v1.0.0,v1.1.0,v1.2.0,,,,,,v1.4.0,,,fabric-common,,,,,0,,,,,,," Assume N is a integer number.
 SignaturePolicy DSL string ""OutOf(N, sig1, ...)"" means that it is required for N signatures evaluate true.
 # Phenomenon
 On common/cauthdsl/policyparser.go, calling FromString() with SignaturePolicy DSL string:
   ""OutOf(0, 'A.member', 'B.member'"") is no error (wrong) - case A
   ""OutOf(1, 'A.member', 'B.member'"") is no error (correct)
   ""OutOf(2, 'A.member', 'B.member'"") is no error (correct)
   ""OutOf(3, 'A.member', 'B.member'"") is no error (wrong) - case B
   ""OutOf(4, 'A.member', 'B.member'"") is error (correct).
 # Cause
 Parameter boundary check on secoundPass() is wrong.
 ## In case A:
 Does not check lower boundary.
 ## In case B:
 At firstPass(), ""OutOf("" is transformed to ""OutOf(ID,"", so number of parameter increases by 1 on calling secondPass(). Boundary check on second pass does not consider it.
 # Fix
 ## To fix case A:
 Boundary check is not only for upper, but also for lower.
 Current: if t > n \{ return nil, ... }
 Fix: if t > n || t < 1 \{ return nil, ...}
 ## To fix case B:
 Fix num of parameter calculation considering ""ID""
 Current: var n int = len(args) - 1
 Fix: var n int = len(args) - 2",,denyeart,diizuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11046,,,FAB-11404,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzkq7:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,diizuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"11/Sep/18 1:24 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/25047/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
ledgerStore: Construct valid/invalid data set from the received pvt data of old blocks,FAB-11388,32386,32194,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,Senthil1,manish-sethi,manish-sethi,30/Jul/18 11:57 AM,12/Jun/20 12:30 AM,28/Oct/23 3:03 AM,15/Nov/18 9:52 PM,,,,,,,,,v1.4.0,,,fabric-ledger,,,,,0,,,,,,,"In the current implementation, ledger API for block commit accepts a block and associated private data. A new API to be added that would accept the pvt data only.

In the implementation
 - Check that the pvt data belongs to a block that is already committed
 - Check the hash of the pvt data write-set against the hash present in the corresponding block
 - Retrieve the hashed read set",,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11318,,,FAB-11765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwqfl:s",,,,Unset,Unset,To Do,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add java chaincode support to fabric-samples,FAB-11397,32408,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,gennadyl,gennadyl,gennadyl,30/Jul/18 9:57 PM,09/Sep/18 1:28 PM,28/Oct/23 3:03 AM,09/Sep/18 1:28 PM,v1.3.0,,,,,,,,v1.3.0,,,fabric-samples,,,,,0,,,,,,,Add java chaincode example02 to chaincodes folder in fabric-samples and update first-network scripts to support -l java switch,,gennadyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Yes,Unset,,FABCJ-7,,,No,,Unset,No,,,"1|hzzku7:",,,,No,Unset,,,(Please add steps to reproduce),,No,,,,,,Unset,,Unset,,(Please add usage information),gennadyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-6.11.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/tough-cookie-4.1.3,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/semver-6.3.1,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/grpc/grpc-js-1.8.17,dependabot/go_modules/high-throughput/application-go/google.golang.org/grpc-1.53.0,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/word-wrap-1.2.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-and-fabric-network-7.2.4,dependabot/go_modules/asset-transfer-basic/application-go/google.golang.org/grpc-1.53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
