Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Git Code Review),Outward issue link (Git Code Review),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Peer does not honor environment overrides with CORE_PEER_BCCSP_*,FAB-18168,45835,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,,sykesm,sykesm,18/Aug/20 1:55 AM,12/Oct/20 11:16 AM,28/Oct/23 3:09 AM,12/Oct/20 11:16 AM,v1.4.8,v2.2.0,,,,,,,,,,fabric-common,fabric-peer,,,0,,,,,,"After configuring the default provider to PKCS11 in {{core.yaml}}, setting {{CORE_PEER_BCCSP_DEFAULT=SW}} is not honored. This is yet another one of those side-effects of the interplay between configuration documents, mapstructure, and viper.",,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-17969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fmb:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevMode - Modify chaincode endorsement to support DevMode,FAB-18169,45836,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,dereckluo,dereckluo,dereckluo,18/Aug/20 5:25 AM,09/Sep/20 10:32 PM,28/Oct/23 3:09 AM,29/Aug/20 12:42 AM,,,,,,,v2.2.1,v2.3.0,,,,,,,,0,ipm,operator,,,,"In order to support DevMode with new lifecycle, chaincode endorsement info need to be slightly modified. 

As when developer running the DevMode, chaincode will be launched by developer, and it will not be installed and launched by peer. When `CachedChaincodeInfo`, `InstallInfo` will be missing when DevMode is enabled, and this behavior need to be handled and returned correctly. 

 

Acceptance:
 * Have correct behavior for `CachedChaincodeInfo` and `ChaincodeEndorsementInfo` when DevMode is enabled.
 * Have unit test coverage to test behavior of `ChaincodeEndorsementInfoSource` when DevMode is enabled.",,dereckluo,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18120,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00n2e:8znqzzzzzohe",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dereckluo,wlahti,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.2,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/Aug/20 5:42 AM;dereckluo;[https://github.com/hyperledger/fabric/pull/1688];;;","28/Aug/20 2:37 AM;wlahti;Merged into master. Determining if we should backport this along with the devmode integration test to release-2.2 before closing.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endorsement policy page discusses NodeSDK,FAB-18170,45837,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,harrisob@us.ibm.com,harrisob@us.ibm.com,18/Aug/20 7:45 AM,13/Jan/21 10:27 PM,28/Oct/23 3:09 AM,13/Jan/21 10:27 PM,v2.1.0,,,,,,,,,,,fabric-docs,,,,0,,,,,,"[https://hyperledger-fabric.readthedocs.io/en/release-2.2/endorsement-policies.html]

The following from the ""Setting chaincode-level endorsement policies"" is not currently valid
{quote}You can specify an endorsement policy for a chaincode using the Fabric SDKs. For an example, visit the [How to install and start your chaincode|https://hyperledger.github.io/fabric-sdk-node/master/tutorial-chaincode-lifecycle.html] in the Node.js SDK documentation.
{quote}
 

also locate ""or the SDK,"" to be removed

 

This support might be someday, there is talk of adding a ""fabric-admin""",,harrisob@us.ibm.com,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fmj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),harrisob@us.ibm.com,pandrejko,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.3,release-2.2,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"13/Jan/21 6:17 AM;pandrejko;PR: https://github.com/hyperledger/fabric/pull/2268;;;","13/Jan/21 10:27 PM;pandrejko;Merged;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certificate expiration - Allow looser matching on orderer TLS consenter certs,FAB-18171,45841,,Story,Closed,FAB,Fabric,software,denyeart,,,High,Done,yacovm,jyellick,jyellick,18/Aug/20 11:14 PM,22/Feb/22 12:40 PM,28/Oct/23 3:09 AM,25/Aug/20 10:32 PM,,,,,,,v1.4.9,v2.2.1,v2.3.0,,,fabric-orderer,,,,0,ipm,operator,,,,"排序者的群集服务通过 X.509 TLS 证书标识群集中的其他许可者。它执行一个字节，用于将提供给 TLS 连接的证书与从通道配置中知道的 TLS 证书进行比较。

不幸的是，这使得轮换证书变得非常具有挑战性，尤其是在处理良性过期而不是密钥泄露时。由于订购者可能是许多通道的成员，因此为了轮换排序者的TLS证书，通常必须停止，更改TLS证书，更改所有通道以识别新的TLS证书，然后重新启动。对于数十个或数百个通道的成员的订购者，通道配置更新可能需要相当长的时间，并且执行起来非常复杂（需要从多方收集签名等）。

如果 TLS 证书的私钥仍然安全，但只有颁发的证书即将过期，则应可以基于相同的公钥/私钥对颁发新的 TLS 证书，但具有新的有效到期日期。在这种情况下，我们可以通过放宽连接验证来避免通道配置更新和相关的复杂性，以仅检查证书的公钥，而不是整个证书字节集。这应该仍然是安全的，因为只有身份的所有者才能创建（和使用）具有相应公钥字节的新证书，并且它将允许排序器简单地使用新证书重新启动，而不是要求跨所有通道进行通道配置更新。

验收标准：我们应该能够启动基于 Raft 的网络（只有系统通道才可以），停止一个节点，使用相同的私钥续订其证书，然后重新启动该节点。节点应作为许可方集的一部分恢复同意，而无需重新配置通道。",,jyellick,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fn7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,yacovm,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.2,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"20/Aug/20 6:16 PM;yacovm;https://github.com/hyperledger/fabric/pull/1771;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allow looser matching on orderer TLS consenter certs,FAB-18172,45842,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,,jyellick,jyellick,18/Aug/20 11:15 PM,18/Aug/20 11:26 PM,28/Oct/23 3:09 AM,18/Aug/20 11:26 PM,,,,,,,v2.2.1,v3.0.0,,,,fabric-orderer,,,,0,ipm,,,,,"The orderer's cluster service identifies other consenters in the cluster by X.509 TLS certificate.  It performs a byte for byte comparison of the certificate presented to the TLS connection compared to the TLS certificate it is aware of from the channel configuration.

Unfortunately, this makes rotating certificates quite challenging, especially when dealing with benign expiration, rather than key compromise. Because an orderer may be a member of many channels, in order to rotate an orderer's TLS certificate, it must usually be stopped, have the TLS certificate changed, change all channels to recognize the new TLS certificate, and then be restarted. For an orderer which is a member of dozens or hundreds of channels, the channel config updates could take quite a while, and be quite complex to perform (requiring gathering signatures from multiple parties etc.).

In the case where the private key of the TLS certificate is still secure, but only the issued certificate is expiring, it should be possible to issue a new TLS certificate based on the same public/private keypair, but with a new valid expiration date. In this case, we can avoid the channel configuration updates and associated complexity by relaxing the connection validation to inspect only the public key of the certificate, and not the entire set of certificate bytes. This should still be safe as only the owner of the identity can create (and use) a new certificate with the corresponding public key bytes, and it will allow the orderer to simply be restarted with the new certificate, rather than requiring channel config updates across all channels.

Acceptance criteria: We should be able to start a Raft based network (system channel only is fine), stop one node, renew its certificate with the same private key, and restart that node. The node should resume consenting as part of the consenter set without channel reconfiguration.",,jyellick,mplisov,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fnf:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,mplisov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data privacy within a peer which has different users,FAB-18174,45904,,Bug,Closed,FAB,Fabric,software,denyeart,,,Highest,Won't Do,,Vgkmanju,Vgkmanju,19/Aug/20 8:07 PM,19/Aug/20 10:23 PM,28/Oct/23 3:09 AM,19/Aug/20 10:23 PM,,,,,,,,,,,,,,,,0,,,,,,"In hyperledger fabric, consider peer0.org1 contains 5 users. How can we maintain data privacy among these users?

Example: peer0.org1 has user1,  user2, user3, user4 and user5. All the users don't want to share their the data with others. If one of the user, took ledger backup of the peer, then that user will get all the data present in the ledger. In this case, how to maintain data privacy?

 ",,btl5037,Vgkmanju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fpn:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,Vgkmanju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19/Aug/20 10:23 PM;btl5037;This question is better suited for RocketChat (chat.hyperledger.org) or the Mailing List (fabric@lists.hyperledger.org). Jira is used for raising bugs, not general knowledge questions.

Thank you
 

 ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certificate expiration - Permit peer CLI to use expired certificates,FAB-18175,45908,,Story,Backlog,FAB,Fabric,software,denyeart,,,Medium,,,sstone1,sstone1,20/Aug/20 12:37 AM,14/Sep/20 11:28 PM,28/Oct/23 3:09 AM,,,,,,,,,,,,,fabric-cli,,,,0,ipm,operator,,,,"If your admin certificate expires, and you are not using NodeOU support, then you must submit a config update transaction using the old admin certificate to add the new admin certificate to your MSP definition on the channel. 

There is a setting on the orderer that stops the orderer from rejecting expired admin certificates, but the peer CLI rejects the use of expired admin certificates to submit the transaction. Some of the SDKs, for example the Node.js SDK, do not perform expiry checking and can be used to submit the transaction - however the SDKs cannot be used everywhere, unlike the CLI.

Can we get a flag/environment variable/etc on the peer CLI so it does not perform the expiry checks when submitting transactions?",,denyeart,sstone1,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18205,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fvc:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,sstone1,wlahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31/Aug/20 10:32 PM;wlahti;Note to implementer: we should also consider adding this to the configtx library.;;;","10/Sep/20 1:38 AM;denyeart;Due to the complex initialization path, having a config option to disable the peer CLI cert expiration check is not viable in the short term. Removing from v2.2.1.
Note that complete removal of cert expiration checks (without a config option) is fairly trivial, if somebody needs to build their own peer CLI binary in the short term.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide PKCS11 on docker images,FAB-18176,45909,,Story,Backlog,FAB,Fabric,software,denyeart,,,Medium,,,vieiramanoel,vieiramanoel,20/Aug/20 2:01 AM,20/Aug/20 12:34 PM,28/Oct/23 3:09 AM,,v1.4.6,v2.0.1,v2.1.0,,,,,,,,,,,,,1,,,,,,"Hello, I've been around a couple of years by now and there's one discussion I didn't understand until now:
For an enterprise environment, pkcs11 is highly necessary, yet we need to keep a fork in order to modify images and make sure compiled peer/orderer has been built with properly tags (as you can install lib on a start script the presence of the lib in the image is not in my concern here). 
Why can't we provide images built with pkcs11 in the fabric's registry? ",,btl5037,msarres,vieiramanoel,,,,,,,,,,,,,,,,,,,,,,FAB-6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01fqr:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,msarres,vieiramanoel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/Aug/20 12:34 PM;btl5037;I think the part that often goes missing is that the fabric registry is not a location for retrieving production ready images. The images in our registry are only meant to support the Fabric-Samples (https://github.com/hyperledger/fabric-samples) repo, and thus they only contain the necessary components for running these samples.

We document on the fabric-peer Dockerhub page that users should maintain their own images for production use cases or use cases outside the scope of Fabric-Samples. Invariably the question is why?

We do our best, but provide no guarantee that security patches will be applied to our open source images. With every release we update our images to the latest available software versions, but we provide no mitigations for unpatched security flaws. True production use cases are far more sensitive to timely security patches, and the only way to make sure the images are patched to an appropriate level for every use case, is for individual organizations to maintain their images themselves. If a critical CVE is published for something as simple as node.js, could your organization really wait a few weeks to a few months for open source to deliver you new images. For our images, we may not be sensitive to the CVE, because the images are for sample uses only, not production use cases.

 Hope this helps explain the reasoning behind why we don't publish additional images.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flake in registrar_test.go reveals bug in block_puller.go,FAB-18177,45911,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,tock,tock,tock,20/Aug/20 5:08 PM,23/Aug/20 11:44 PM,28/Oct/23 3:09 AM,23/Aug/20 11:44 PM,,,,,,,v2.x,,,,,fabric-orderer,,,,0,,,,,,"Both the registrar_test.go and the block_puller.go factory do not assign value to 

```go
cluster.BlockPuller{
   MaxPullBlockRetries
   ...
}
```

which may cause an endless loop [here|https://github.com/hyperledger/fabric/blob/3b62ca4080703c63e04c8d20b2c8ffe8fc79add3/orderer/common/cluster/deliver.go#L143]

Solution is to initialize a non zero value.
In addition, when a follower is started in registrar_test.go, it must be stopped, otherwise the go-routine will run until  the process exits.",,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-17712,,,No,,Unset,No,,,"1|i01fr7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,,,,,,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation for Channel Participation API,FAB-18178,45916,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,pandrejko,pandrejko,21/Aug/20 9:23 PM,04/Dec/20 4:39 AM,28/Oct/23 3:09 AM,04/Dec/20 4:39 AM,v2.3.0,,,,,,,,,,,fabric-docs,,,,0,,,,,,"In addition to documenting this new feature, we need to decide what to do about the all the existing documentation around the requirement for a system channel:

Key concepts:
 *  Capabilities capabilities_concept.md

 - Membership membership/membership.md
 - Blockchain network network/network.html
 - Policies policies/policies.md

Arch ref:
 - Defining capability requirements capability_requirements.rst

Command ref:
 - Configtxgen commands/configtxgen.md

Tutorials
 - Updating a channel configuration config_update.md
 - Creating a channel create_channel..md
 - Using configtx.yaml to build a channel configuration create_channel_config.md
 - Using the Fabric test network test_network.md
 -

Operations Guides
 - Channel configuration (configtx) configtx.rst
 - Migrating from Kafka to Raft kafka_raft_migration.md
 - Membership service providers msp.rst
 - Setting up an ordering node orderer_deploy.md
 - Configuring and operating a Raft ordering service raft_configuration.md
 -

Upgrading to the latest release
 - Upgrading to the latest release upgrade.rst
 - Enabling the new chaincode lifecycle enable_cc_lifecycle.md
 - Updating the capability level of a channel updating_capabilities.md
 - Considerations for getting to v2.x upgrade_to_newest_version.md

 

FAQ
 - Fabric-FAQ.html

 

------------------------------------

*Fabric v2.3 MVP doc*

*Concept*: TBD best effort

*Task*: Tutorials
 - New: Creating a channel create_channel..md
 - Potentially update: Using configtx.yaml to build a channel configuration create_channel_config.md

*Reference*: New CLI doc in the Command reference section (auto generated using similar pattern as peer chaincode CLI)

 ",,pandrejko,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-17712,,,No,,Unset,No,,,"1|i00wur:0iqs",,,,Unset,Unset,v2.x,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pandrejko,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Sep/20 6:43 PM;tock;Here us a link to the REST API design document: 

https://docs.google.com/document/d/1kYoicS_Z59gNvmuuB7VFZ6WsOL31C34dWMeOFQiIygA/edit?usp=sharing;;;","24/Sep/20 4:10 AM;pandrejko;From Will: {color:#1d1c1d}The peers will still join channels using the peer CLI. The orderers will create channels using the new API instead of the old way, which relied on {color}{{peer channel create}}{color:#1d1c1d} to trigger the channel creation using the system channel and then return the join block to the peer.{color};;;","14/Oct/20 4:48 AM;pandrejko;Google doc for proposed strategy:
https://docs.google.com/document/d/1OGDb43CNkBzHWVonPI5kphATWb_iOFV5Hc7rkDXsyX4/edit?usp=sharing;;;","09/Nov/20 10:06 PM;pandrejko;CR started here: https://github.com/hyperledger/fabric/pull/2081;;;","16/Nov/20 9:50 PM;pandrejko;There were issues with squashing the commits so a new PR was created with a single commit [https://github.com/hyperledger/fabric/pull/2127]
and merged.;;;","04/Dec/20 4:39 AM;pandrejko;{quote}
h1. Closing this issue as Remove references to system channel work is being covered by this Jira https://jira.hyperledger.org/browse/FAB-18342
{quote};;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Ledger Snapshot,FAB-18179,45917,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,joe-alewine,pandrejko,pandrejko,21/Aug/20 9:43 PM,16/Nov/20 12:57 PM,28/Oct/23 3:09 AM,16/Nov/20 12:57 PM,v2.3.0,,,,,,v2.x,,,,,fabric-docs,,,,0,,,,,,,,manish-sethi,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-106,,,No,,Unset,No,,,"1|i00wur:0idqxy",,,,Unset,Unset,v2.x,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,pandrejko,,,,,,,,,,,,,,,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"07/Oct/20 3:09 AM;pandrejko;Source content RFC: https://github.com/hyperledger/fabric-rfcs/pull/27/files

Demo from Contributors call: [https://wiki.hyperledger.org/download/attachments/31196145/20200819_contributors_meeting.mp4?api=v2]

 

Doc updates:
1. Command reference - Wenjian to submit updates for the new peer command [https://hyperledger-fabric.readthedocs.io/en/latest/command_ref.html]

2. Operations Guide

3. Identify other docs that are impacted. For example, peer key concept where it talks about how a peer joins a channel.;;;","08/Oct/20 6:27 AM;pandrejko;Google doc started here: https://docs.google.com/document/d/1FHogrxNgKQH8QDdXg9ICXdKlYvLUprqQLiOxf_w9QDU/edit?usp=sharing;;;","09/Nov/20 1:26 PM;manish-sethi;PR for snapshot operations guide - https://github.com/hyperledger/fabric/pull/2043
PR for snapshot commands reference doc - https://github.com/hyperledger/fabric/pull/2004;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snapshot test,FAB-18180,45918,,Epic,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,dongming,dongming,21/Aug/20 11:32 PM,11/Jan/21 1:31 AM,28/Oct/23 3:09 AM,11/Jan/21 1:31 AM,,,,,,,,,,,,fabric-quality,,,,0,,,,,,Snapshot is a new fabric feature to solve the time and resource inefficiencies in transferring and processing the blocks for bootstrapping a new peer node. ,,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,snapshot-test,To Do,No,,Unset,No,,,"1|i01fsj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snapshot test: snapshot generation,FAB-18181,45919,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,dongming,dongming,21/Aug/20 11:34 PM,11/Jan/21 1:31 AM,28/Oct/23 3:09 AM,11/Jan/21 1:31 AM,,,,,,,,,,,,fabric-quality,,,,0,,,,,,"The purpose of this test is to verify all peers generate the same snapshots atomically.

Test steps:
 * Create a network and submit transactions that include private data
 * Invoke {{SubmitSnapshotRequest}} API on multiple peers
 * Verify that the snapshot generated across peers is exactly same
 * Verify that the snapshot is generated atomically",,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-18180,,,No,,Unset,No,,,"1|i01fsr:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
