Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Python Wrapper: Agent API integration tests (High cases),IS-11,18155,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,gudkov,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,25/Jul/17 6:48 PM,28/Oct/23 2:49 AM,25/Jul/17 6:48 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy41r:",,,,,,LibINDY Sprint 3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Ledger API integration tests (High cases),IS-12,18156,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,20/Jul/17 5:58 PM,28/Oct/23 2:49 AM,20/Jul/17 5:58 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy41j:",,,,,,LibINDY Sprint 3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Pool API integration tests (High cases),IS-13,18157,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,01/Aug/17 5:21 PM,28/Oct/23 2:49 AM,01/Aug/17 5:21 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx20f:",,,,,,LibINDY Sprint 4,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Port demo tests,IS-14,18158,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,27/Jul/17 5:13 PM,28/Oct/23 2:49 AM,27/Jul/17 5:13 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx207:",,,,,,LibINDY Sprint 4,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Signus API,IS-15,18159,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,17/Jul/17 9:01 PM,28/Oct/23 2:49 AM,17/Jul/17 9:01 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy7o7:",,,,,,LibINDY Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Wallet API,IS-16,18160,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,gudkov,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,17/Jul/17 10:44 PM,28/Oct/23 2:49 AM,17/Jul/17 6:32 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy7nz:",,,,,,LibINDY Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Agent API,IS-17,18161,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,gudkov,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,24/Jul/17 7:17 PM,28/Oct/23 2:49 AM,24/Jul/17 7:17 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx21z:",,,,,,LibINDY Sprint 3,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Ledger API,IS-18,18162,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,19/Jul/17 7:45 PM,28/Oct/23 2:49 AM,19/Jul/17 7:45 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx21r:",,,,,,LibINDY Sprint 3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Pool API,IS-19,18163,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,18/Jul/17 7:37 PM,28/Oct/23 2:49 AM,18/Jul/17 7:37 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy7nr:",,,,,,LibINDY Sprint 2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: API definition,IS-20,18164,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,p5n,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,20/Jun/17 12:51 AM,28/Oct/23 2:49 AM,20/Jun/17 12:51 AM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzy44f:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallet API: Integration testing (High cases),IS-21,18165,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,03/Jul/17 9:25 PM,28/Oct/23 2:49 AM,03/Jul/17 9:25 PM,,,,,,,,0,,,,,"Implement High test cases for Wallet API:
 * *sovrin_register_wallet_type*
 * *sovrin_create_wallet*
 * *sovrin_open_wallet*
 * *sovrin_close_wallet*
 * *sovrin_delete_wallet*
 * *sovrin_wallet_set_seq_no_for_value*

High cases (alpha version):
 * Normal cases. Note that there can be multiple execution branches. We need to cover at each branch. Branches examples:
 ** Entity cached in the wallet
 ** Entity should be taken from the ledger
 * Error cases that require an explicit recovering procedure. Examples:
 ** Invalid wallet credentials
 ** No entity found in the wallet
 ** No entity found in the ledger
 ** Transaction doesn't allow for current identity
 ** Unknown crypto
 ** Claim doesn't correspond to scheme, proof request doesn't correspond to claim and etc...
 ** Revocation registry is full and etc...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-45,,,,,,,,,,"1|hzy44n:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DID API: Integration tests (Low cases),IS-22,18166,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,6Months,,,,"Implement Low test cases for DID API.

Low level cases (production version):
 * Cases that hard to test: Io errors, timeouts and etc...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-69,,,,,,,,,,"1|hzy6qf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,esplinr,,,,,,,,,,"27/Aug/18 11:34 PM;esplinr;We are comfortable that our current tests are sufficient, so we won't plan on doing these tests.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signus API: Integration tests (Medium cases),IS-23,18167,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,03/Jul/17 9:22 PM,28/Oct/23 2:49 AM,03/Jul/17 9:22 PM,,,,,,,,0,,,,,"Implement High test cases for Signus API:
 * *sovrin_create_and_store_my_did*
 * *sovrin_replace_keys*
 * *sovrin_store_their_did*
 * *sovrin_sign*
 * *sovrin_verify_signature*

Medium level cases (beta version):
 * Precondition checking:
 ** Invalid handle
 ** Wallet doesn't correspond to pool
 ** Invalid json format
 ** Invalid json structure (missed fields and etc...)
 ** Invalid base58
 ** Invalid crypto keys lenght and format
 ** Invalid crypto primitives (bigints, points)
 ** Invalid complex crypto structures (anoncreds structures mostly)
 ** Invalid responses from 3d parties (Ledger, Agent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-69,,,,,,,,,,"1|hzy45b:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,gudkov,,,,,,,,,,"03/Jul/17 9:22 PM;gudkov;Tests were implemented except encrypt/decrypt method. encrypt/decrypt will be handled by IS-165;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
