Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix duplicated fabric-ca config item,FABC-246,17388,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Highest,Done,baohua,baohua,baohua,02/Jun/17 10:55 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,03/Jun/17 10:18 AM,v1.0.0,,,,,,v1.0.0,,,,,,0,fabric-ca,fabric-ca-client,,,," 

[https://gerrit.hyperledger.org/r/#/c/7741] introduce a duplicated maxenrollments config item into cmd/fabric-ca-client/config.go.

 

```

id:
 name:
 type:
 {color:#ff0000}maxenrollments:{color}
 affiliation:
 {color:#ff0000}maxenrollments: -1{color}
 attributes:
 - name:
 value:

```

 

Need to fix it.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxy9j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"02/Jun/17 11:20 AM;baohua;https://gerrit.hyperledger.org/r/#/c/10053/;;;",,,,,,,,,,,,,,,,,,,
Unable to configure Intermediate CA via CLI,FABC-247,16622,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,skarim,skarim,skarim,11/May/17 11:35 PM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,20/May/17 4:00 AM,,,,,,,v1.0.0,,,,,,0,,,,,,"An intermediate CA acts like a client when contacting the root CA to get it's certificate. There are certain configuration that can be set for an intermediate CA, such as TLS parameters. These parameters are currently missing from the command line and prevent users from correctly configuring an intermediate CA from the command line. 

*Reproduction:*
 # Enable TLS on Root CA
 # Start an Intermediate CA using 'https' ([https://localhost:7054)|https://localhost:7054)/] as the protocol to connect to secure socket on Root CA. This will fail as TLS was not configured for intermediate CA. A flag similar to --intermediate.tls.certfiles is missing from the command line

 ",,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxut3:",,,,,,Sprint 16 - Membership Service,,,,,,,,,,,,,,,,,,,,,,,,skarim,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
Need more robust certificate validation,FABC-248,14324,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,skarim,rennman,rennman,25/Jan/17 1:30 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,17/May/17 4:23 AM,v1.0.0,v1.0.0-alpha1,,,,,v1.0.0,,,,,,0,MembershipServices,security,,,,"At fabric-ca startup, when the server is passed a cert and key, the following tests fail -- certificate checks need to be beefed up.

1) Server should not accept expired CA certificate
        - past end date
        - future start date

     Currently, this is issued in both of the above cases:
     2017/01/18 17:21:44 [ERROR] Certificate expired
     2017/01/18 17:21:44 [WARNING] endpoint 'tcert' is disabled: Failed to initialize TCert handler: Certificate 
     expired
     2017/01/18 17:25:22 [INFO] 127.0.0.1:32822 - ""POST /api/v1/cfssl/enroll"" 200

     but we still use the cert for enrollment
     2017/01/18 17:25:22 [INFO] enrollment information was successfully stored in /root/cop/key.pem and 
     /root/cop/cert.pem

2) Server should not accept CA certificate with incorrect usage (must include at least 'Certificate Sign')
3) Server should not accept CA certificate with basicConstraint CA:false
4) Server should not accept CA RSA cert/key pair of < 2048 bits (this is consistent with the cfssl restriction)
5) Server should not accept CA certificate with non-matching private key
6) Server should gracefully handle the case of an unsupported key type (e.g. DSA)

",,rennman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxglz:",,,,,,Sprint 16 - Membership Service,,,,,,,,,,,,,,,,,,,,,,,,rennman,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
fabric-ca should use base 64 encoding with padding,FABC-249,15058,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,smithbk,smithbk,smithbk,27/Feb/17 4:03 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,11/Mar/17 3:49 AM,,,,,,,,,,,,,0,,,,,,"fabric-ca 64 encodes and decodes w/o padding, but the standard is to use padding.
So we need to change fabric-ca to encode with padding and handle decoding both with and w/o padding.

This problem became apparent when coding the register command for the java SDK.  The standard base 64 encoding was not recognized in the authorization header, so the request failed.",,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx5zj:",,,,,,Sprint 12 - Membership Service,Sprint 13 - Membership Service,,,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Feb/17 4:31 AM;smithbk;https://gerrit.hyperledger.org/r/#/c/6547/;;;",,,,,,,,,,,,,,,,,,,
Revendor cfssl for go 1.9 compatibility,FABC-250,24899,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,,smithbk,smithbk,09/Dec/17 7:20 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,06/Jan/18 4:54 AM,,,,,,,,,,,,,0,,,,,,See https://jira.hyperledger.org/browse/FAB-6003 for details,,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyqj3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/Jan/18 4:54 AM;smithbk;https://gerrit.hyperledger.org/r/#/c/13407/;;;",,,,,,,,,,,,,,,,,,,
New fabric-ca tests fail on vagrant/Windows,FABC-251,21713,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,lehors,lehors,lehors,09/Oct/17 10:29 PM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,21/Oct/17 1:30 AM,v1.0.3,,,,,,v1.1.1,,,,,,0,,,,,," 
{code:java}
$ go test -v
...
2017/10/09 13:22:28 [INFO] Initialized sqlite3 database at /opt/gopath/src/github.com/hyperledger/fabric-ca/testdata/fabric-ca-server.db
--- FAIL: TestCAloadUsersTable (0.25s)
ca_test.go:708: ca.NewCA error: Failed to load identity table: Code: 34 - Configuration Error: Max enrollment in registration request may not be less than -1, but was -10
ca_test.go:748: ca.loadUsersTable error: <nil>
ca_test.go:750: ca.loadUsersTable should have failed due to DB error <nil>
2017/10/09 13:23:40 [DEBUG] Closing server DBs
...
2017/10/09 13:23:40 [DEBUG] Closing server DBs
--- FAIL: TestSRVDefaultDatabase (10.14s)
server_test.go:2487: RemoveAll failed: remove ../testdata/fabric-ca-server.db: text file busy
...
2017/10/09 13:23:41 [DEBUG] Stop: successful stop on port 7054
--- FAIL: TestSRVDefaultAddrPort (1.16s)
server_test.go:2487: RemoveAll failed: remove ../testdata/fabric-ca-server.db: text file busy
server_test.go:2297: Empty bootstrap id: Empty identity name and/or pass not allowed
server_test.go:690: srv.Start err: <nil>
server_test.go:2297: Empty bootstrap id: Empty identity name and/or pass not allowed
server_test.go:706: srv.Start err: TCP listen failed for http://0.0.0.0:7054: listen tcp 0.0.0.0:7054: bind: address already in use
server_test.go:2297: Empty bootstrap id: Empty identity name and/or pass not allowed
server_test.go:726: srv.Start err: TLS listen failed for https://0.0.0.0:7054: listen tcp 0.0.0.0:7054: bind: address already in use
...
2017/10/09 13:23:55 [DEBUG] Stop: successful stop on port 7075
--- FAIL: TestSRVTLSAuthClient (12.70s)
server_test.go:2487: RemoveAll failed: remove ../testdata/fabric-ca-server.db: text file busy
...

{code}
 ","Vagrant 1.9.5 on Windows 7

 ",lehors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABC-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyiuf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lehors,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
fabric-ca-server init error while creating mysql table 'certificates',FABC-252,17238,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,skarim,weichongli,weichongli,30/May/17 10:11 PM,04/Jul/19 8:33 PM,28/Oct/23 2:21 AM,04/Jul/19 8:33 PM,v1.0.0-alpha2,,,,,,v1.0.0,,,,,,0,,,,,,"{color:#24292e}If the server timezone is not GMT, it will cause SQL syntax errors while creating table 'certificates' on mysql server.
{color}",,ChristopherFerris,nyet,skarim,smithbk,weichongli,,,,,,,,,,,,,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx3lb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChristopherFerris,nyet,skarim,smithbk,weichongli,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"01/Jun/17 7:34 PM;ChristopherFerris;[~weichongli] can you please provide a means of reproducing? Thanks.;;;","02/Jun/17 2:33 AM;smithbk;Yes, showing how to reproduce would be most helpful, but if you can show the exact error 1st, that would also help.
How have you configured your server wrt to timestamp format?
This is the code in which we execute SQL.  MySQL requires a non-empty timestamp, so a default value must be provided.
The problem may be related to that somehow.

if _, err := database.Exec(""CREATE TABLE certificates (id VARCHAR(64), serial_number varbinary(128) NOT NULL, authority_key_identifier varbinary(128) NOT NULL, ca_label varbinary(128), status varbinary(128) NOT NULL, reason int, expiry timestamp DEFAULT '1970-01-01 00:00:01', revoked_at timestamp DEFAULT '1970-01-01 00:00:01', pem varbinary(4096) NOT NULL, PRIMARY KEY(serial_number, authority_key_identifier)) DEFAULT CHARSET=utf8 COLLATE utf8_bin""); err != nil {
;;;","04/Jun/17 2:16 PM;weichongli;[~ChristopherFerris] [~smithbk]
 # a linux server, using CST(GMT+8) as timezone.
 # deploy mysql server (with default config)
 # run fabric-ca-server init -c ca-server-config.yaml

{panel:title=ca-server-config.yaml}
......

db:
    type: mysql
    datasource: dbuser:dbpass@tcp(127.0.0.1:3306)/fabric_ca?parseTime=true

......
{panel}
 

 #  error occurred while creating mysql table 'certificates'

 #  so i changed the sql in 'lib/dbutil/dbutil.go:createMySQLTables()' as following, and it works.
{panel:title=new sql:}
CREATE TABLE certificates (id VARCHAR(64), serial_number varbinary(128) NOT NULL, authority_key_identifier varbinary(128) NOT NULL, ca_label varbinary(128), status varbinary(128) NOT NULL, reason int, expiry timestamp DEFAULT *{color:#d04437}0{color}*, revoked_at timestamp DEFAULT *{color:#d04437}0{color}*, pem varbinary(4096) NOT NULL, PRIMARY KEY(serial_number, authority_key_identifier)) DEFAULT CHARSET=utf8 COLLATE utf8_bin"")
{panel}
 ;;;","07/Jun/17 3:09 AM;smithbk;Thanks Wei.  Can you tell us what version of MySQL server you are using?  According to @skarim, the version he was using required some non-default configuration to allow 0 dates, but perhaps they have changed the defaults in a later version of MySQL.;;;","09/Jun/17 4:18 AM;skarim;https://gerrit.hyperledger.org/r/#/c/10369/;;;","12/Jun/17 9:39 PM;weichongli;mariadb-server-5.5.52-1.el7.x86_64(centos 7.3)

[~smithbk];;;","22/May/19 3:34 PM;nyet;{{timestamp DEFAULT 0}} now results in ""*Invalid default value*"" when mysql server is configured with {{NO_ZERO_DATE}};;;","22/May/19 3:43 PM;nyet;[https://dev.mysql.com/doc/refman/5.7/en/sql-mode.html#sqlmode_no_zero_date]

{{NO_ZERO_DATE}} is deprecated as of 2.7.22, so likely strict mode has to be disabled in newer mysql servers, or the schema should be changed to {{timestamp DEFAULT CURRENT_TIMESTAMP}} or {{datetime DEFAULT '1970-01-01 00:00:01'}};;;",,,,,,,,,,,,
CA DBs aren't properly managed and left open,FABC-253,20692,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,lehors,lehors,lehors,08/Sep/17 9:57 PM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,28/Sep/17 3:49 AM,v1.0.2,,,,,,v1.1.0,,,,,,0,,,,,,"The DBs associated with the CA server aren't being properly managed in that they are left open. This leads to various failures exhibited by the unit-tests on Windows where files are locked until they are properly closed or the associated process exits.

A few related bug reports were open against the unit tests but having been looking at this issue for a while I've become convinced that this deserves more careful consideration because trying to fix this on a case by case basis isn't good enough.

Indeed, while this problem can be easily fixed for the most common case by ensuring that the server Stop() function closes its DB(s) there actually are many corner cases that this fails to address. So, for this problem to be properly addressed a general policy on when the DB(s) are to be closed and by whom needs to be developed.

I'm opening this ticket for this issue to be looked at. Unlike the related JIRA tickets that all focus on various unit-tests failing this is meant to highlight the fact that there is a problem with the code itself and not just the tests.",This problem is not platform dependent but the consequences are primarily seen on Windows platforms.,lehors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABC-166,FABC-342,FABC-208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfrj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lehors,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"08/Sep/17 10:19 PM;lehors;The main issue has to do with opening DBs and never explicitly closing them. server.Init() opens the DB (there actually are more than one in case of a mutli-CA server but the problem is the same) and nothing/nobody closes it.

This problem can mostly be addressed by adding a server function to close its DB. The question is who should be responsible for calling this function and when?

server.Stop() can call it but in the case where server.Start() hasn't been called this isn't appropriate (server.Stop() will actually raise an error). So, one would need to call it after calling server.Init() if server.Start() is not called.

[~keithsmith] in a chat exchange ([https://chat.hyperledger.org/channel/fabric-pr-review?msg=CiELHAAL53ZFSA5Tv]) mentioned that Init shouldn't leave the DB open. However, closing it makes every subsequent operation, such as GetUser(), fails because they all assume that the DB is open. Should Init really close the DB then? If so when should it be reopened? When Start is called?

Besides, there are many error cases that have to be dealt with which raises again the question of when the DB should be closed. For instance, should server.Init() close the DB if it's returning an error? What about server.Start()?;;;","09/Sep/17 3:48 AM;lehors;So here are two possible approaches that seem reasonable:

Approach #1:
 * Let Init() open the DB and leave it open unless an error is raised (if any error is returned the DB is closed if it ever were opened).
 * Add a public function called CloseDB() that must be explicitly called if Init() was called and didn't return any error, and Start() is never called.
 * Have Stop() call CloseDB() 

Approach #2:
 * Add a private function called closeDB()
 * Let Init() open the DB and close it before returning.
 * Have Start() reopen the DB and leave it open unless an error is raised ((if any error is returned the DB is closed)
 * Have Stop() call closeDB() 

The advantage of the latter is that it keeps this whole business away from the application. The disadvantage is that it requires closing and reopening the DB(s) (there are several of them in case of a multiCA server).

For what it's worth approach #1 is the easiest to implement because it is closer to how the code works today.;;;","12/Sep/17 4:56 AM;lehors;I investigated both approaches and I'm now leaning towards #2 because it leaves the server API unchanged and keeps this DB management business internal to the server.

This does come at a cost in that the DB is closed and reopened if one explicitly calls Init() and then Start() as described above but this can be avoided in case Start() is called directly. So, all in all, this seems a reasonable trade-off.

 ;;;",,,,,,,,,,,,,,,,,
Missing json tag for attribute on enrollment request,FABC-254,21006,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,smithbk,smithbk,smithbk,27/Sep/17 3:55 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,05/Oct/17 6:00 PM,,,,,,,v1.1.0,,,,,,0,,,,,,"The enrollment request is not recognizing the ""attr_reqs"" field of the enrollment request.
This is because there is no json tag on the struct that is deserialized by the server.",,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyhan:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Sep/17 4:11 AM;smithbk;https://gerrit.hyperledger.org/r/13853;;;",,,,,,,,,,,,,,,,,,,
Identity password is being logged in clear text,FABC-255,15285,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,High,Done,aambati,aambati,aambati,10/Mar/17 4:50 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,14/Mar/17 10:34 PM,,,,,,,,,,,,,0,Security,,,,,"_Pass_ attribute of *_ServerConfigIdentity_* that has password of an identity is logged in clear text, it must be masked",,aambati,,,,,,,,,,,,,,,,,,,,,,288000,288000,,0%,288000,288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxnpb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aambati,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
index out of range error when registering a user,FABC-256,15990,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Highest,Done,aambati,aambati,aambati,26/Apr/17 4:35 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,28/Apr/17 1:35 AM,,,,,,,,,,,,,0,,,,,,"fabric-ca-client register throws ""index out of range"" error when register command is invoked with ""--id.attr foo:bar"" command line option:

aambati@anils-mbp:~/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca$bin/fabric-ca-client register --id.name anil --id.type user --id.affiliation org1 --id.attr foo=bar --id.attr foo1=bar1
2017/04/25 15:10:25 [INFO] User provided config file: /Users/aambati/Blockchain/fabric-ca/server/fabric-ca-client-config.yaml
2017/04/25 15:10:25 Initialize BCCSP [SW]
2017/04/25 15:10:25 [INFO] Configuration file location: /Users/aambati/Blockchain/fabric-ca/server/fabric-ca-client-config.yaml
panic: runtime error: index out of range

goroutine 1 [running]:
panic(0x45a6d60, 0xc420016140)
	/usr/local/Cellar/go/1.7.3/libexec/src/runtime/panic.go:500 +0x1a1
main.processAttributes()
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/cmd/fabric-ca-client/config.go:258 +0x187
main.configInit(0x461f74e, 0x8, 0x8, 0x461c365)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/cmd/fabric-ca-client/config.go:216 +0x323
main.glob..func6(0x4893d40, 0xc420131e00, 0x0, 0xa, 0x0, 0x0)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/cmd/fabric-ca-client/register.go:34 +0x47
github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra.(*Command).execute(0x4893d40, 0xc420131a40, 0xa, 0xa, 0x4893d40, 0xc420131a40)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra/command.go:635 +0x4a3
github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra.(*Command).ExecuteC(0x4893900, 0xc4200200b8, 0x1, 0x0)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra/command.go:734 +0x367
github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra.(*Command).Execute(0x4893900, 0xc42012bf28, 0x400a2db)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/vendor/github.com/spf13/cobra/command.go:692 +0x2b
main.RunMain(0xc42000c0c0, 0xc, 0xc, 0x463c91c, 0x43)
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/cmd/fabric-ca-client/main.go:96 +0x87
main.main()
	/Users/aambati/Blockchain/fabric-ca/src/github.com/hyperledger/fabric-ca/cmd/fabric-ca-client/main.go:83 +0x49

This is happening because of recent change set that changed id.attributes to id.attrs in the client config template. This problem will also happen if the user specified a custom config file with out id.attributes property.",,aambati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxr5j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aambati,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
Inconsistent treatment of executable paths in fabric-ca go tool scripts,FABC-257,19538,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,rennman,rennman,rennman,28/Jul/17 4:44 AM,19/Jul/18 7:04 AM,28/Oct/23 2:21 AM,27/Sep/17 2:04 AM,,,,,,,v1.1.1,,,,,,0,,,,,,"Two of the go tools script files that run as part of the unit tests do not use the absolute path of the executables consistently, resulting in failure on some systems:
{code:java}
./scripts/check_imports
Installing goimports ...
Checking imports ...
./scripts/check_imports: line 13: goimports: command not found

./scripts/check_lint
Installing golint ...
Running lint ...
./scripts/check_lint: line 15: golint: command not found{code}
The check for the exec uses the absolute path:


{code:java}
if [ ! -f $GOPATH/bin/golint ]; then
 echo ""Installing golint ...""
 go get -u github.com/golang/lint/golint
fi{code}
but the invocation does not:
{code:java}
golint $dir/...{code}
Consequently, if $GOPATH/bin is not in the users PATH envar, the scripts fail.

 

This fixes the scripts to user the absolute path in each case.",,rennman,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Sep/17 2:02 AM;rennman;image-2017-09-26-13-02-44-295.png;https://jira.hyperledger.org/secure/attachment/12143/image-2017-09-26-13-02-44-295.png","27/Sep/17 2:03 AM;rennman;image-2017-09-26-13-03-03-158.png;https://jira.hyperledger.org/secure/attachment/12144/image-2017-09-26-13-03-03-158.png",,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9xj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rennman,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26/Sep/17 6:10 AM;smithbk;Allen, pls update status.  Is there a change set?;;;","27/Sep/17 2:04 AM;rennman;Fixed as part of CR 9407, [FAB-3924] Improve test coverage of lib
  
 
 
 
 
 
 ;;;",,,,,,,,,,,,,,,,,,
