Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment
"As a smart contract developer, I want to use a query handler",FABCAG-11,43906,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:46 AM,18/Nov/20 7:43 PM,28/Oct/23 2:26 AM,18/Nov/20 7:43 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to use a query handler 
 *So that* I can access keys

Conceptual APIs to include:
  
|query-by-key-range|
|query-by-partial-key|
|query-from-key|
|query-to-key|
|query-selector (existing rich query)|

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|hzwrnx:4",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:43 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use a state history object and historic state iterator",FABCAG-12,43908,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:50 AM,18/Nov/20 7:43 PM,28/Oct/23 2:26 AM,18/Nov/20 7:43 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to get a state history object and historic state iterator
 *So that* I can get keys, values and transaction ids from it and so that I can iterate through historic states

Conceptual APIs to include:
  
|get-value|
|get-key|
|get-tx-id|
|get-timestamp|
|get-is-delete|
|next-historic-state|
|has-next-historic-state|
|close-iterable |

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|i017fv:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:43 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use fabric-samples and the ledger-api",FABCAG-13,43909,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:50 AM,18/Nov/20 7:44 PM,28/Oct/23 2:26 AM,18/Nov/20 7:44 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to use the fabcar and commercial paper fabric samples and the ledger-api
 *So that* I can learn how to use the ledger-api in my smart contract, by example

*Note: this is dependent on when the majority of major ledger-api stories (i.e. FABCAG-7 to 12) are closed out.*

We may decide to use a working fabcar sample as a milestone for a beta-release. However, both commercial paper and fabcar should be updated to include using the ledger-api before a proper release.

Matthew's notes: Update existing, add in additional and query",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|i017g3:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:44 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use ledger-api docs and tutorials ",FABCAG-14,43910,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:52 AM,18/Nov/20 7:44 PM,28/Oct/23 2:26 AM,18/Nov/20 7:44 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* formal documentation and tutorials regarding the ledger-api
 *So that* I can learn how to use the ledger-api in my smart contract

*Note: this is dependent on when the majority of major ledger-api stories (i.e. FABCAG-7 to 12) are closed out.*

This is different from the API docs, I'm thinking most likely readTheDocs docs updates. We may only choose to have one location for formal documentation and tutorials, but it should provide examples for all languages",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|i017gb:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:44 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to check the performance of my smart contract written using the ledger-api",FABCAG-15,43912,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:53 AM,18/Nov/20 7:44 PM,28/Oct/23 2:26 AM,18/Nov/20 7:44 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to be able to run performance benchmarks against my smart contract written using the ledger-api
 *So that* I can understand it's performance

At the time of writing this we aren't too concerned by regressions as fabric-shim isn't going away or being re-written.

I think this will include updates to caliper.",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|i017gr:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:44 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
Setup integration tests in the CI build,FABCAG-16,44039,Task,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,,awjh-ibm,awjh-ibm,21/Jan/20 6:37 PM,05/Feb/20 8:50 PM,28/Oct/23 2:26 AM,05/Feb/20 8:50 PM,,0,cc-triaged,,,"The fabric-test repo contains a chaincode-integration tool which provides a number of cucumber tests for integration testing a chaincode language implementation.

Work needed:
- Run the tool as part of azure-pipeline build
- Create contracts required by the tool",,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzx33q:s704",,,,Unset,Unset,31st-7th Feb 2020,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigate using GoSec for security dependency auditing,FABCAG-17,44052,Task,Backlog,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Low,,,heatherp,heatherp,22/Jan/20 6:58 PM,18/Nov/20 7:29 PM,28/Oct/23 2:26 AM,,,0,cc-triaged,community-help-wanted,,"[https://github.com/securego/gosec]

I've heard fabric use it too, but I've also heard that it audits all the code of your dependencies too, which might be more strict than we are willing to put up with.

I think it would be good to investigate putting this in as a build step at least",,heatherp,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i017gw:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Error should be clearer when chaincodes fail to start if their contract has no public functions,FABCAG-18,44111,Task,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,awjh-ibm,awjh-ibm,awjh-ibm,23/Jan/20 7:33 PM,28/Jan/20 7:31 PM,28/Oct/23 2:26 AM,28/Jan/20 7:31 PM,,0,cc-triaged,,,"The error message for a chaincode failing to start due to having no public functions is currently:

Invalid type. Expected: array, given: null

An error that occurs in the metadata production. A clearer message is required to let the developer know that they need to have at least one public function on their contract.",,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01843:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorrect information contained in tutorial,FABCAG-19,44141,Bug,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,awjh-ibm,awjh-ibm,awjh-ibm,27/Jan/20 6:45 PM,27/Jan/20 7:51 PM,28/Oct/23 2:26 AM,27/Jan/20 7:51 PM,,0,cc-triaged,,,"The tutorial for contract-api-go contains the following errors:

- Getting started:
   - Full example contract uses an asterix on transaction context in functions

- Using advanced features:
   - Paragraph on GetEvaluateTransactions refers to SimpleChaincode not SimpleContract
   - getMetadata function uses lowercase 'g', other languages do not have case agnostic first characters and use an uppercase 'g'

- Managing objects:
   - Complex contract does not include GetEvaluateTransactions but probably should since we are trying to push people to best practice",,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01897:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata does not indicate which contract in the chaincode is the default,FABCAG-20,44160,Bug,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,awjh-ibm,awjh-ibm,awjh-ibm,28/Jan/20 11:25 PM,03/Feb/20 8:09 PM,28/Oct/23 2:26 AM,30/Jan/20 11:40 PM,,0,cc-triaged,,,The metadata produced does not contain a default: true on the contract in the metadata which is marked as the default in the chaincode,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzx33q:s976",,,,Unset,Unset,24-31st Jan 2020,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update tutorials based on user feedback,FABCAG-21,44167,Task,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,High,Done,awjh-ibm,awjh-ibm,awjh-ibm,29/Jan/20 8:25 PM,03/Feb/20 8:09 PM,28/Oct/23 2:26 AM,30/Jan/20 11:40 PM,,0,cc-triaged,,,Following a user session of the tutorials feedback was recieved. The tutorials should be updated to reflect this feedback.,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzx33q:s974",,,,Unset,Unset,24-31st Jan 2020,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
