Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Network configuration error not reported at correct level,FGJ-40,41792,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Won't Do,,ibmmqmet,ibmmqmet,14/Aug/19 8:12 PM,20/Nov/20 12:49 AM,28/Oct/23 2:21 AM,20/Nov/20 12:49 AM,,,,1,external,sdk-triaged,,"I had a connection.json with some missing components. When trying to access the server, there was a failure. It was only by turning on info level logging that I found the problem:

2019-08-14 01:52:15.016 PDT [INFO] NetworkConfig.reconstructChannel: Processing peer peer0.org2.example.com
2019-08-14 01:52:15.017 PDT [INFO] Unable to load channel configuration from connection profile: Error constructing channel mychannel. Peer peer0.org2.example.com not defined in configuration

 

That message, from GatewayImpl ought to be at least a warning level so I can report it without needing to always have INFO level enabled.",,ibmmqmet,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00v74:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ibmmqmet,lesleyannj,,,,,,,,,,,,,,,,,,,"20/Nov/20 12:49 AM;lesleyannj;Closing - intended to be addressed under new Fabric Gateway work - see https://github.com/hyperledger/fabric-rfcs/pull/32;;;",,,,,,,,,,,,,,,
Duplicate mount points when building the project,FGJ-41,41883,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,,oborovyk,oborovyk,20/Aug/19 1:51 AM,02/Oct/19 6:35 PM,28/Oct/23 2:21 AM,02/Oct/19 6:35 PM,,,,1,,,,"Docker is failing inside  SetupScenarioTest after Starting Fabric
{code:java}
// docker-compose -f src/test/fixtures/docker-compose/docker-compose-tls.yaml -p node up 
WARNING: The DOCKER_IMG_TAG variable is not set. Defaulting to a blank string.
WARNING: The DOCKER_DEBUG variable is not set. Defaulting to a blank string.
WARNING: The THIRDPARTY_IMG_TAG variable is not set. Defaulting to a blank string.
ERROR: Duplicate mount points: [/Users/user/development/fabric-gateway-java/src/test/fixtures/crypto-material:/etc/hyperledger/config:rw, /Users/user/development/fabric-gateway-java/src/test/fixtures/crypto-material:/etc/hyperledger/config:rw]
{code}
System Version: macOS 10.14.6 (18G87)

docker-compose version 1.24.1, build 4667896b

Works fine with docker-compose < 1.20

Docker info
{code:java}
// Client: Docker Engine - Community
 Version:           19.03.1
 API version:       1.40
 Go version:        go1.12.5
 Git commit:        74b1e89
 Built:             Thu Jul 25 21:18:17 2019
 OS/Arch:           darwin/amd64
 Experimental:      falseServer: Docker Engine - Community
 Engine:
  Version:          19.03.1
  API version:      1.40 (minimum version 1.12)
  Go version:       go1.12.5
  Git commit:       74b1e89
  Built:            Thu Jul 25 21:17:52 2019
  OS/Arch:          linux/amd64
  Experimental:     true
 containerd:
  Version:          v1.2.6
  GitCommit:        894b81a4b802e4eb2a91d1ce216b8817763c29fb
 runc:
  Version:          1.0.0-rc8
  GitCommit:        425e105d5a03fabd737a126ad93d62a9eeede87f
 docker-init:
  Version:          0.18.0
  GitCommit:        fec3683{code}",,andrew-coleman,oborovyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00xgr:",,,,Unset,Unset,,,,,Launch mvn install in the project root folder,,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,oborovyk,,,,,,,,dev,main,,,,,,,,,true,"02/Oct/19 6:35 PM;andrew-coleman;resolved by [https://gerrit.hyperledger.org/r/c/fabric-gateway-java/+/33830];;;",,,,,,,,,,,,,,,
Thread is blocked for 3 seconds times eventing peers during each submit,FGJ-43,42125,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Invalid: Works as Expected,,yuriiuhlanov,yuriiuhlanov,30/Aug/19 1:48 AM,20/Nov/20 12:39 AM,28/Oct/23 2:21 AM,20/Nov/20 12:39 AM,,,,1,external,sdk-triaged,,"[here|https://github.com/hyperledger/fabric-gateway-java/blob/master/src/main/java/org/hyperledger/fabric/gateway/impl/NetworkImpl.java#L180] channel shutdown is called with argument force=false that leads to [the thread being blocked for 3 seconds|[https://github.com/hyperledger/fabric-sdk-java/blob/8044bac1bfe9baf9d6360b067e0d6b5445cc953d/src/main/java/org/hyperledger/fabric/sdk/PeerEventServiceClient.java#L142]] each time an eventing peer is shut down.

 

logs:
{code:java}
2019-08-29 12:33:29.880 TRACE 15 --- [pool-5-thread-1] org.hyperledger.fabric.sdk.Channel       : Sending block event 'Channel my-channel eventqueue got block event with block number: 3 for channel: my-channel, from Peer{ id: 19, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP}' to block listener BLOCK_LISTENER_HANDLEa5f477f1-0feb-43c6-9921-8d4ed7c3318eBLOCK_LISTENER_HANDLE
2019-08-29 12:33:29.881 TRACE 15 --- [nio-9090-exec-3] o.h.fabric.sdk.ServiceDiscovery          : Service discovery shutdown.
2019-08-29 12:33:29.881 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Channel       : RemovePeerInternal Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} from channel Channel{id: 14, name: my-channel}
2019-08-29 12:33:29.881 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Channel       : Channel my-channel removing mapping peer Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} to mspid org1MSP
2019-08-29 12:33:29.881 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Peer          : Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} unset Channel{id: 14, name: my-channel}
2019-08-29 12:33:29.881 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Peer          : Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} is shutting down.
2019-08-29 12:33:29.881 TRACE 15 --- [nio-9090-exec-3] o.hyperledger.fabric.sdk.EndorserClient  : EndorserClient{id: 18, channel: my-channel, name:peer1-org1, url: grpcs://peer1-org1:7051} grpc channel isActive: true, isShutdown: false, isTerminated: false, state: READY 
2019-08-29 12:33:29.882 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Peer          : Peer Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} removing endorser client EndorserClient{id: 18, channel: my-channel, name:peer1-org1, url: grpcs://peer1-org1:7051}, isActive: true
2019-08-29 12:33:29.882 TRACE 15 --- [nio-9090-exec-3] o.hyperledger.fabric.sdk.EndorserClient  : EndorserClient{id: 18, channel: my-channel, name:peer1-org1, url: grpcs://peer1-org1:7051} shutdown called force: false, shutdown: false, managedChannel: ManagedChannelOrphanWrapper{delegate=ManagedChannelImpl{logId=25, target=peer1-org1:7051}}
2019-08-29 12:33:29.884 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Peer          : Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} is shutting down PeerEventServiceClient{id: 23, channel: my-channel, peerName: peer1-org1, url: grpcs://peer1-org1:7051}
2019-08-29 12:33:29.884 DEBUG 15 --- [nio-9090-exec-3] o.h.fabric.sdk.PeerEventServiceClient    : PeerEventServiceClient{id: 23, channel: my-channel, peerName: peer1-org1, url: grpcs://peer1-org1:7051} is shutting down.
2019-08-29 12:33:29.884 DEBUG 15 --- [nio-9090-exec-3] o.h.fabric.sdk.PeerEventServiceClient    : DeliverResponse onCompleted PeerEventServiceClient{id: 23, channel: my-channel, peerName: peer1-org1, url: grpcs://peer1-org1:7051} setting done.
2019-08-29 12:33:32.885 DEBUG 15 --- [nio-9090-exec-3] o.h.fabric.sdk.PeerEventServiceClient    : PeerEventServiceClient{id: 23, channel: my-channel, peerName: peer1-org1, url: grpcs://peer1-org1:7051} is down.
2019-08-29 12:33:32.885 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Peer          : Peer{ id: 17, name: peer1-org1, channelName: my-channel, url: grpcs://peer1-org1:7051, mspid: org1MSP} is shut down.
2019-08-29 12:33:35.889 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Orderer       : Shutting down Orderer{id: 15, channelName: my-channel, name:orderer1-org1, url: grpcs://orderer1-org1:7050}
2019-08-29 12:33:35.889 TRACE 15 --- [nio-9090-exec-3] o.hyperledger.fabric.sdk.OrdererClient   : OrdererClient{id: 26, channel: my-channel, name: orderer1-org1, url: grpcs://orderer1-org1:7050} grpc channel isActive: true, isShutdown: false, isTerminated: false, state: READY 
2019-08-29 12:33:35.889 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Orderer       : Channel my-channel removing orderer client Orderer{id: 15, channelName: my-channel, name:orderer1-org1, url: grpcs://orderer1-org1:7050}, isActive: true
2019-08-29 12:33:35.889 TRACE 15 --- [nio-9090-exec-3] o.hyperledger.fabric.sdk.OrdererClient   : OrdererClient{id: 26, channel: my-channel, name: orderer1-org1, url: grpcs://orderer1-org1:7050} shutdown called force: true, shutdown: false, managedChannel: ManagedChannelOrphanWrapper{delegate=ManagedChannelImpl{logId=45, target=orderer1-org1:7050}}
2019-08-29 12:33:35.890 DEBUG 15 --- [nio-9090-exec-3] org.hyperledger.fabric.sdk.Orderer       : Shutting down Orderer{id: 16, channelName: my-channel, name:orderer1-org2, url: grpcs://orderer1-org2:7050}
2019-08-29 12:33:35.890  INFO 15 --- [pool-5-thread-1] org.hyperledger.fabric.sdk.Channel       : Channel my-channel eventThread shutting down. shutdown: true  thread: pool-5-thread-1 
{code}
you can see a jump from 29 to 32 seconds in the middle. The other peer logs were removed for simplicity, but it added another 3 seconds from 32 to 35.

 

 ",,bestbeforetoday,rolivieri,yuriiuhlanov,,,,,,,,,,,,,,,,,,,FGJ-68,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00v6x:i",,,,Unset,Unset,,,,,"1. Run an app with at least one eventing peer.
2. Submit a transaction using Gateway",,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,rolivieri,yuriiuhlanov,,,,,,,,,,,,,,,,,,"19/Sep/19 6:14 PM;bestbeforetoday;If the channel is being shutdown then this suggests that you are closing your Gateway after submitting a transaction. If you want to submit subsequent transactions (as the same identity) then you should be reusing the same Gateway, Network and Contract instances, and not closing the Gateway.;;;","19/Sep/19 11:45 PM;yuriiuhlanov;[~bestbeforetoday] The issue describes a 3-second delay during the channel shutdown and not the reason why anybody wants to do or not do to it. Please check it once again.;;;","20/Sep/19 1:19 AM;bestbeforetoday;Since the channel shutdown should only be happening when the client application is being shut down, a 3 second delay to allow connections to clean themselves up neatly doesn't seem like a show stopper to me. We could change the channel shutdown to be a forced shutdown but this doesn't seem clearly preferable.;;;","24/Sep/19 4:15 PM;yuriiuhlanov;[~bestbeforetoday] Now I get your point. Do you suggest to always keep channels open for each identity that signs transactions in an app?;;;","05/Oct/19 1:59 AM;bestbeforetoday;Yes, I suggest keeping the Gateway for each identity you are connecting with for the lifetime of the session of interaction with the Fabric network.;;;",,,,,,,,,,,
Method not readable - submitTransaction,FGJ-44,42165,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Won't Do,,paranjan,paranjan,03/Sep/19 1:27 AM,12/Nov/19 11:00 PM,28/Oct/23 2:21 AM,12/Nov/19 11:00 PM,,,,0,sdk-triaged,,,"Extracted sendResponseToOrderer() method to improve readability.

CR provided.",,bestbeforetoday,paranjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00z6b:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,paranjan,,,,,,,,,,,,,,,,,,,"03/Sep/19 2:38 AM;paranjan;CR Link: https://gerrit.hyperledger.org/r/c/fabric-gateway-java/+/33339;;;","12/Nov/19 11:00 PM;bestbeforetoday;The supplied code change was not in a form we were happy to merge and there has been no follow-up activity for a while so closing this issue. Feel free to reopen if you want to pursue this change.;;;",,,,,,,,,,,,,,
WalletTest Junit breaking,FGJ-45,42162,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,,paranjan,paranjan,02/Sep/19 7:31 PM,01/Oct/19 11:12 PM,28/Oct/23 2:21 AM,01/Oct/19 11:12 PM,,,,0,,,,"testGet() of WalletTest in fabric-gateway-java fails. I am using windows.

The failure happens as the Assert method is not able to compare strings with newlines.

Comparing certificates with isEqualToNormalizingNewlines() instead of isEqualTo() fixes the problem.

CR provided.

Screenshot of broken test:

 

!image-2019-09-02-16-01-37-063.png!

 ",,andrew-coleman,paranjan,,,,,,,,,,,,,,,,,,,,,,,,"02/Sep/19 7:31 PM;paranjan;image-2019-09-02-16-01-37-063.png;https://jira.hyperledger.org/secure/attachment/17747/image-2019-09-02-16-01-37-063.png",,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00z5n:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,paranjan,,,,,,,,dev,main,,,,,,,,,true,"01/Oct/19 11:12 PM;andrew-coleman;resolved by [https://gerrit.hyperledger.org/r/c/fabric-gateway-java/+/33335];;;",,,,,,,,,,,,,,,
Prepare 1.4 release to maven,FGJ-46,42489,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,andrew-coleman,andrew-coleman,andrew-coleman,25/Sep/19 9:53 PM,03/Oct/19 12:18 AM,28/Oct/23 2:21 AM,03/Oct/19 12:18 AM,,,,0,,,,"Release 1.4.5 of fabric-sdk-java

Release 1.4.0 of fabric-gateway-java",,andrew-coleman,ibmmqmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i010tf:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,ibmmqmet,,,,,,,,,,,,,,,,,,,"03/Oct/19 12:18 AM;andrew-coleman;Released

<dependency>
 <groupId>org.hyperledger.fabric</groupId>
 <artifactId>fabric-gateway-java</artifactId>
 <version>1.4.0</version>
</dependency>;;;",,,,,,,,,,,,,,,
Run the builds on Windows,FGJ-47,42510,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Won't Do,,davidkel,davidkel,26/Sep/19 10:16 PM,09/Oct/19 9:30 PM,28/Oct/23 2:21 AM,09/Oct/19 9:30 PM,,,,0,,,,With the imminent move to azure pipelines there is an opportunity to run the builds against more than just ubuntu/linux on intel. The first thought would be to run the builds on native windows,,davidkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i010wz:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),davidkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move fabric-gateway-java to azure pipelines/github,FGJ-48,42521,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,heatherp,heatherp,27/Sep/19 7:32 PM,27/Nov/19 8:52 PM,28/Oct/23 2:21 AM,27/Nov/19 8:52 PM,v2.0.0,,,0,sdk-triaged,,,"* Migrate from jenkins to azure pipelines for CI
 * Move to Github pull requests for code changes
 * Ensure this move is circulated with maintainers where relevant
 * Move both release-1.4 and master
 * Update any contributing guidelines to explain how to contribute using these tools",,heatherp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-52,,,No,,Unset,No,,,"1|i010zf:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,dev,main,,,,,,,,,true,"27/Nov/19 8:52 PM;heatherp;I'm closing this, because we've done everything in the list above.
What we haven't done is enabled publishing via azure, which I've raised here: https://jira.hyperledger.org/browse/FGJ-64
That should include removing the Jenkinsfile completely, then jenkins/gerrit references can be truly dead;;;",,,,,,,,,,,,,,,
TLS credentials not set for peers found by service discovery,FGJ-49,42566,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Won't Do,,bestbeforetoday,bestbeforetoday,01/Oct/19 11:28 PM,20/Nov/20 12:50 AM,28/Oct/23 2:21 AM,20/Nov/20 12:50 AM,,,,1,sdk-triaged,,,The Gateway needs an option to specify the TLS identity (similar to the Node SDK). The TLS identity certificate and private key should be set as *clientCertBytes* and *clientCertBytes* properties set on created channels using *Channel.setServiceDiscoveryProperties()*.,,bestbeforetoday,dcrough13,lesleyannj,silliman,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0116r:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,dcrough13,lesleyannj,silliman,,,,,,,,,,,,,,,,,"20/Nov/20 12:50 AM;lesleyannj;Closing - intended to be addressed under new Fabric Gateway work - see https://github.com/hyperledger/fabric-rfcs/pull/32;;;",,,,,,,,,,,,,,,
Publish v1.4.0 release of fabric-gateway-java,FGJ-50,42585,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Duplicate,andrew-coleman,andrew-coleman,andrew-coleman,02/Oct/19 7:19 PM,02/Oct/19 11:45 PM,28/Oct/23 2:21 AM,02/Oct/19 11:45 PM,,,,0,,,,,,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i011aj:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
FGJ merge build fails sporadically,FGJ-51,42588,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,bestbeforetoday,andrew-coleman,andrew-coleman,02/Oct/19 9:49 PM,22/Oct/19 6:10 PM,28/Oct/23 2:21 AM,22/Oct/19 6:10 PM,,,,0,,,,"The fabric-gateway-java merge build fails about half the time - repeated remerge often sorts it out.

[https://jenkins.hyperledger.org/view/fabric-gateway-java/job/fabric-gateway-java-merge-x86_64/]

 

It fails with the following:
*13:15:33*  [ERROR] Submit transaction using MSPID_SCOPE_ALLFORTX commit handler  Time elapsed: 160.748 s  <<< FAILURE!*13:15:33*  java.lang.AssertionError: expected null, but was:<org.hyperledger.fabric.gateway.ContractException: transaction returned with failure: Error: MSPID_SCOPE_ALLFORTX does not exist>",,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-52,,,No,,Unset,No,,,"1|i011b7:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
Improve java gateway/sdk testing,FGJ-52,42590,Epic,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,,heatherp,heatherp,02/Oct/19 10:09 PM,27/Nov/19 11:01 PM,28/Oct/23 2:21 AM,27/Nov/19 11:01 PM,v2.0.0,v2.0.0,,0,sdk-triaged,,,"Following from the recent build troubles that have been impacting us recently, we have had an initial session where we have tried to encapsulate current issues and outline possible solutions. Further sessions will involve conversations on everything below, and breaking down larger identified issues.
  
 *As-is Status*
 Builds
 - Unreliable (timeouts)
 - Difficult to determine point of failure (logging issue)
 - Too long to complete
 - Zero confidence in build result
 - Fabric build pulls and runs all sdk tests
  
  
 SDK (node/java)
 - e2e test failures obfuscated
  
  
 *Desired Status*
 Build
 - Reliable fast builds
  
  
 SDK
 - Common isolated testing
 - Focused and fast (to complete) tests",,heatherp,,,,,,,,,,,,,,,,,,,,,,,,FAB-16790,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-10,,Improve java gateway/sdk testing,To Do,No,,Unset,No,,,"1|i011bn:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,,,,,,,,,,,,"27/Nov/19 11:01 PM;heatherp;This epic was primarily to track work and possible improvements as a result of moving to azure pipelines for CI. There are some checkstyle/coverage/publishing issues that are still valid, and they are on the backlog so I've removed them from this epic and we'll get to them in due course, so closing this epic;;;",,,,,,,,,,,,,,,
Provide a subset of java gateway tests for fabric to run,FGJ-53,42592,Test Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Low,Invalid,,heatherp,heatherp,02/Oct/19 10:19 PM,27/Nov/19 10:51 PM,28/Oct/23 2:21 AM,27/Nov/19 10:51 PM,v2.0.0,v2.0.0,,0,sdk-triaged,,,"We need to agree on a subset of our cucumber tests to give to the fabric base repository, replacing the tests it currently runs.

Need to liaise with the integration refactoring going on in fabric currently too",,heatherp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-52,,,No,,Unset,No,,,"1|i011c3:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,,,,,,,,,,,,"05/Nov/19 1:17 AM;heatherp;This will be revisited when I've heard from the fabric test team on their plans to refactor fabric's integration test suite;;;","27/Nov/19 10:50 PM;heatherp;Closing this, because based on what I'm hearing from the interop test team, I don't think we need to provide them with a subset of tests to run. I can revisit it if that changes;;;",,,,,,,,,,,,,,
Add checkstyle to the build,FGJ-54,42594,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,bestbeforetoday,heatherp,heatherp,02/Oct/19 10:23 PM,26/Oct/19 1:16 AM,28/Oct/23 2:21 AM,26/Oct/19 1:16 AM,,,,0,sdk-triaged,,,,,heatherp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-52,,,No,,Unset,No,,,"1|i011cj:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
OrderedBlockEventSource.toString() needs synchronisation,FGJ-55,42686,Bug,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,bestbeforetoday,bestbeforetoday,bestbeforetoday,09/Oct/19 6:16 PM,11/Oct/19 12:29 AM,28/Oct/23 2:21 AM,11/Oct/19 12:29 AM,,,,0,,,,"{noformat}
ScenarioSteps.java:356      java.util.ConcurrentModificationException at java.util.TreeMap$KeySpliterator.forEachRemaining(TreeMap.java:2757) at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) at java.util.stream.ReduceOps$ReduceOp.evaluateSequential(ReduceOps.java:708) at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) at java.util.stream.ReferencePipeline.collect(ReferencePipeline.java:566) at org.hyperledger.fabric.gateway.impl.event.OrderedBlockEventSource.toString(OrderedBlockEventSource.java:102) at java.lang.String.valueOf(String.java:2994) at java.lang.StringBuilder.append(StringBuilder.java:131) at org.hyperledger.fabric.gateway.impl.event.ReplayListenerSession.toString(ReplayListenerSession.java:80) at java.lang.String.valueOf(String.java:2994) at java.lang.StringBuilder.append(StringBuilder.java:131) at java.util.AbstractMap.toString(AbstractMap.java:559) at java.lang.String.valueOf(String.java:2994) at java.lang.StringBuilder.append(StringBuilder.java:131) at org.hyperledger.fabric.gateway.impl.NetworkImpl.toString(NetworkImpl.java:186) at java.lang.String.valueOf(String.java:2994) at java.lang.StringBuilder.append(StringBuilder.java:131) at scenario.ScenarioSteps.getBlockEvent(ScenarioSteps.java:508) at ✽.a block event should be received(classpath:scenario/Events.feature:40){noformat}
 ",,bestbeforetoday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i011tf:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
Use AssertJ in scenario tests,FGJ-56,42692,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Invalid,bestbeforetoday,bestbeforetoday,bestbeforetoday,10/Oct/19 12:43 AM,26/Oct/19 2:03 AM,28/Oct/23 2:21 AM,26/Oct/19 2:03 AM,,,,0,sdk-triaged,,,,,bestbeforetoday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i011ur:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,,,,,,,,,,,,,,,,,,,,"26/Oct/19 2:03 AM;bestbeforetoday;Done.;;;",,,,,,,,,,,,,,,
