Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Revert sync with official couchdb image (FAB-8021) and FAB-10167,FABB-11,31468,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,29/Jun/18 5:48 AM,02/Aug/18 4:02 AM,28/Oct/23 2:20 AM,29/Jun/18 1:11 PM,,,,0,,,,,,,,Revert sync with official couchdb image (-FAB-8021-) and -FAB-10167-. so that we can release 0.4.10 without these changes for v1.2.0.  Then FAB-8021 and FAB-10167 can be re-applied after v1.2.0.,,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzgmf:",,,,,,,,,,,,,,,,,,,,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,"29/Jun/18 7:05 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/23845/;;;",,,,,,,,,,,
add libltdl-dev to baseimage,FABB-12,30749,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Invalid,ChristopherFerris,ChristopherFerris,ChristopherFerris,30/May/18 11:59 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,,,,,0,,,,,,,,libltdl-dev needed for plugins,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzdc7:",,,,,,,,,,,,,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Build] - Release baseimage v0.4.6,FABB-13,27702,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,denyeart,denyeart,14/Feb/18 7:37 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,17/Feb/18 12:05 AM,,,,0,fabric-build,,,,,,,"Release fabric-baseimage v0.4.6

Changes since v0.4.5:

FAB-8264 - Update node.js to 8.9.4

--FAB-7884-- - direct couchdb logs to stderr

--FAB-7707-- - Disable time-based kafka log retention

--FAB-7868-- Upgrade Kafka to version 1.0.0

Once complete, need to tag fabric-baseimage with v0.4.6.",,denyeart,rameshthoomu,,,,,,,,,,,,,,,,FABB-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyxgn:",,,,,,,,,,,,,,,,,,,,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,"14/Feb/18 7:42 PM;denyeart;[~ChristopherFerris] [~greg.haskins];;;","15/Feb/18 1:24 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/17905/;;;",,,,,,,,,,
Utilize fabric-baseimage version 0.3.1 for Hyperledger Fabric Docker image builds,FABB-14,16549,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,harrijk,harrijk,harrijk,11/May/17 12:36 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,28/May/17 1:36 PM,,,,1,build-system,HSBN,quality,,,,,"The most recent version, 0.3.1, of the fabric-baseimage was created and pushed to Docker Hub. 

The following issues were addressed with version 0.3.1:
 # f76795c -FAB-1185- Remove vagrant
 # ea0eef5 -FAB-3265- Update Golang version to v1.7.5 for ppc64le
 # b80e228 -FAB-3340- fix broken link to contributing doc
 # 96771a3 -FAB-3265- Update Golang version to 1.7.5
 # 72eed8c Adding baseimage support for ARM architecture
 # f31feba -FAB-2813- Upgrade Golang for z Systems (Optimized Eliptic Curve Cryptography)

This task will update the *.baseimage-release* file within the Hyperledger Fabric code base. The result of which is Hyperledger Fabric Docker image builds will take advantage of the improved fabric-baseimage.

 

 ",,dinotone,harrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxuif:",,,,,,,,,,,,,,,,,,,,dinotone,harrijk,,,,,,,,,,,,,,,,,,"28/May/17 1:36 PM;harrijk;This change was abandoned due to a duplicate CR containing the same patch.;;;",,,,,,,,,,,
Git ignore the build directory from the fabric-baseimage repo,FABB-15,22454,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Low,Done,jtclark,jtclark,jtclark,17/Oct/17 9:43 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,23/Jan/18 12:54 AM,,,,0,,,,,,,,"When generating the docker images locally, a `build` directory is created. If this directory is not ignored, it could possibly make its way into a commit. This directory should be ignored to ensure that the repo is kept free of 'tech debris'.",,jtclark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyjuf:",,,,,,,,,,,,,,,,,,,,jtclark,,,,,,,,,,,,,,,,,,,"19/Oct/17 1:05 AM;jtclark;Patch has been submitted for review: 

https://gerrit.hyperledger.org/r/14655;;;","23/Jan/18 12:54 AM;jtclark;[https://gerrit.hyperledger.org/r/14655] has been *Merged.*;;;",,,,,,,,,,
Create 0.4.11 baseimage,FABB-16,31149,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,denyeart,denyeart,19/Jun/18 3:05 AM,06/Sep/18 4:26 AM,28/Oct/23 2:20 AM,06/Sep/18 4:26 AM,,,,0,,,,,,,,Create 0.4.11 baseimage to pick up latest node js and CouchDB udpates.,,denyeart,rameshthoomu,,,,,,,,,,,,,,,FABB-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwtlb:",,,,,,,,,,,,,,,,,,,,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,"21/Aug/18 3:07 AM;rameshthoomu;Updated Summary and Description of this Task. The latest baseimage version is 0.4.11 which has latest couchdb and nodejs changes. Will create release CR with Jira task to publish latest baseimage.;;;","21/Aug/18 3:21 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/25711/;;;",,,,,,,,,,
Upgrade to Go 1.9.2,FABB-17,22868,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,divyank,divyank,divyank,27/Oct/17 6:19 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,28/Oct/17 10:42 PM,,,,0,,,,,,,,"This version includes a fix for [https://github.com/golang/go/issues/21373]

and removes the need for this temporary workaround in fabric:

[https://github.com/hyperledger/fabric/blob/11014b659943874eae0cf3b5b18a41b5f1073547/images/buildenv/Dockerfile.in#L8]

 ",,divyank,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzylcn:",,,,,,,,,,,,,,,,,,,,divyank,troyronda,,,,,,,,,,,,,,,,,,"09/Nov/17 6:46 AM;troyronda;Merged in [https://gerrit.hyperledger.org/r/c/14903/]

Needs a tag to produce new docker images at dockerhub.;;;",,,,,,,,,,,
chaincode fails to pull timezone information from GO Time Package,FABB-18,19555,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,mastersingh24,rhegde,rhegde,29/Jul/17 12:25 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,25/Aug/17 12:26 AM,,,,0,,,,,,,,"GO Chaincode fails to get the time zone information which should be available as part of the default GO Time Package.

[https://golang.org/pkg/time/#LoadLocation]

API says $GOROOT/lib/time/zoneinfo.zip not found.

This is one of the difference seen between Hyperledger/Fabric release v/s IBMBlockChain/Fabric Release.

This works with IBMBlockChain/Fabric Release and should also work on Hyperledger/Fabric release.",,mastersingh24,rhegde,,,,,,,,,,,,,,FAB-5210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy9zr:",,,,,,,,,,,,,,,,,,,,mastersingh24,rhegde,,,,,,,,,,,,,,,,,,"01/Aug/17 9:37 PM;mastersingh24;So I figured this out.   In the short term, you may need to use fabric-baseimage rather than fabric-baseos here: [https://github.com/hyperledger/fabric/blob/release/sampleconfig/core.yaml#L333]  (or set
{noformat}
CORE_CHAINCODE_GOLANG_RUNTIME{noformat}
).

To fix this issues, we'll need to install the tzdata package in fabric-baseos (we should probably do it for fabric-baseimage as well).  fabric-baseimage does not have the issue per se as it actually included the GO compiler

 

 

 

 ;;;","01/Aug/17 10:57 PM;mastersingh24;https://gerrit.hyperledger.org/r/12089;;;","02/Aug/17 1:44 AM;rhegde;Why we include GO-Compiler package as part of fabric-base-os in case of IBM release?

Why don't we follow a similar approach for both?;;;","02/Aug/17 5:17 AM;mastersingh24;Let me clarify:

*hyperledger/fabric-baseos* is very minimal and does not include the Go compiler nor did it include the tzdata package

*hyperledger/fabric-baseimage* does include the Go compiler

The suggestion you use *hyperledger/fabric-baseimage* in the near term was based on the fact this is does have the Go compiler (and the *LoadLocation* function will search the system paths and finally will look for *$GOROOT/lib/time/zoneinfo.zip* which is provided with the Go compiler).  I submitted a patch for *hyperledger/fabric-baseos* to add the tzdata package.

 

*ibm-blockchain/fabric-baseos* is derived from *hyperledger/fabric-baseos* but also includes a few extra packages (network utils mainly) which also happen to install the tzdata package;;;",,,,,,,,
Implement release branch strategy for fabric-baseimage repo,FABB-19,31930,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Duplicate,mastersingh24,rameshthoomu,rameshthoomu,17/Jul/18 2:58 AM,16/Mar/19 12:47 AM,28/Oct/23 2:20 AM,16/Mar/19 12:47 AM,,,,0,,,,,,,,"Implement release branch strategy for fabric-baseimage repository. This is very much required to publish seamless fabric-baseimage releases from branches.

The proposed solution:
 # Create a branch for each release

ex: Createa a release branches (0.3.2, 0.4.6, 0.4.10) and start updating code in their respective branches to release another release on top of it.

      2. Point corrsponding baseimages in fabric repo. say, release-1.1 branch points to fabric-baseimage 0.4.6 and subsequent versions will start with new version.",,ChristopherFerris,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Required,Unset,Not Required,,,,,No,,,No,,,"1|hzzisf:",,,,Unset,Not Required,,,,Unset,,,,,,,,,,,ChristopherFerris,denyeart,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start publishing fabric and fabric-cop images for v1,FABB-20,14082,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,smithbk,smithbk,15/Jan/17 7:38 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,21/Jan/17 1:11 PM,,,,0,build-system,,,,,,,I think we need to start publishing the built images for fabric and fabric-cop repos for v1.,,ishihara.shun,rameshthoomu,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxi3j:",,,,,,,,,,,,,,,,,,,,ishihara.shun,rameshthoomu,smithbk,,,,,,,,,,,,,,,,,"21/Jan/17 1:10 PM;rameshthoomu;Publishing cop images to dockerhub account. As part FIT job we verify end-to-end tests and publish v1.0 images to rameshthoomu/fabric-cop-x86_64 dockerhub repository temporarily ;;;",,,,,,,,,,,
[Build] - Release v0.4.5,FABB-21,27001,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,23/Jan/18 8:03 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,23/Jan/18 6:11 PM,,,,0,fabric-build,,,,,,,"Release fabric-baseimage v0.4.5

Changes since v0.4.4:

FAB-7814 - updates JAVA_VERSION to 1.8.0_sr5fp7

FAB-7846 - updates kafka version to 0.10.2.1",,rameshthoomu,,,,,,,,,,,,,,,,FABB-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyuaf:",,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
