Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Update query processor with query error codes,IR-52,35743,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,P.Kotov,P.Kotov,P.Kotov,11/30/18 17:39,4/1/19 20:53,1/18/23 07:01,12/7/18 16:20,,1.0 rc5,,0,,,,"Commands stateful validation errors are now returned as ""error code + query arguments"" pair. Same is to be done for queries validation errors.",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-53,,,No,,,Unset,No,,,1|hzzzhz:4,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stateful response,IR-53,35744,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,P.Kotov,P.Kotov,11/30/18 17:40,8/26/19 15:20,1/18/23 07:00,,,,,0,,,,"Stateful Responses in form of ""error code + query arguments"" must work for commands and queries",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-9,,Stateful response,Done,No,,,Unset,No,,,1|i0010f:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update python examples and refactor BTF,IR-54,35750,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,igor-egorov,igor-egorov,11/30/18 19:48,8/26/19 14:48,1/18/23 07:01,2/2/19 02:10,,1.0 rc5,,0,,,,"All the permissions usage examples should be updated to use new python lib.

Need to update Binary Testing Framework too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hhzi,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"03/Dec/18 7:36 PM;igor-egorov;Also we need to update documentation compiler

 ;;;",18/Dec/18 4:15 PM;neewy;Laptop with the code is broken. Now we are waiting for the repair ;;;,20/Dec/18 4:07 PM;neewy;Possibly after a new year;;;,,,,
Create protocol validator for block,IR-55,35794,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,Kamil_Salakhiev,Kamil_Salakhiev,12/3/18 19:01,4/1/19 20:53,1/18/23 07:01,12/6/18 16:14,,1.0 rc5,,0,,,,"Create protocol validator for blocks, which will check that oneof is set with some of the block's version (we now only have version 1)",,Kamil_Salakhiev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzi6:,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Kamil_Salakhiev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework acceptance with unit tests if possible,IR-56,35828,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,lebdron,muratovv,12/3/18 23:17,8/26/19 20:28,1/18/23 07:00,1/11/19 17:58,,1.0 rc5,,0,,,,"Currently, most of the acceptance tests are doesn't require to be integration tests.

The task is rework the acceptance tests with the corresponding restricted environment.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IS-5,,,No,,,Unset,No,,,1|i002a6:,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,04/Dec/18 4:16 PM;neewy;task should be broken down into specific API calls;;;,06/Dec/18 6:15 PM;neewy;today we discussed this briefly and decided that tests are reviewed manually and marked with TODOs with respect to possibly lower testing level (unit or integration test);;;,"10/Dec/18 6:13 PM;Mikhail_Boldyrev;WIP [doc|https://docs.google.com/document/d/15wc4oO9CV0oOy9jrPn3Qze9XpzyMB5S1rnJce0QhqII/edit?usp=sharing] on tests reworking.

The [TODO's|https://github.com/hyperledger/iroha/compare/dev...MBoldyrev:my-acceptance-tests-kaput].;;;",11/Jan/19 5:58 PM;neewy;Created a task for TODO's review IR-158;;;,,,
Refactor postgres_exectutor & postgres_query_executors tests,IR-57,35829,,Task,In Progress,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,12/3/18 23:29,11/24/22 06:48,1/18/23 07:00,,,,,0,,,,"Currently, _postgres_exectutor_ and _postgres_query_executors_ tests are not so sound. Outcome checks with client API which is not appropriate. This approach doesn't guarantee that some unexpected changes did not happen.

 

The task is to rework _postgres_exectutor_ test with two new ides:
 * the outcome should be checked with internal API. Need to be checked that expected changes happened and unexpected changes didn't happen.
 * each command should be separated in own file for clarification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|hzzzhz:0004,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add regression test for statuses,IR-58,35830,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,12/3/18 23:48,8/26/19 14:49,1/18/23 07:00,,,,,0,,,,"The task is to add a regression test for transaction statuses.

There is a required test which will checks that transaction statuses are working properly for general use cases:
 * commit tx with quorum 1
 * commit MST tx
 * reject tx
 * MST tx from another not
 * a transaction that doesn't appear is committed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IS-5,,,No,,,Unset,No,,,1|i001hz:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe document with transaction status state transition,IR-59,35831,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,neewy,lebdron,muratovv,12/3/18 23:54,8/26/19 20:28,1/18/23 07:00,1/10/19 18:29,,1.0 rc5,,0,,,,"Currently, Iroha has lots of transaction statuses for different situations: consensus, MST, validations and so on. But currently, there is no global rule for state changes, no description of final statuses and so on.

The task is to introduce the document with all statuses and relation between them with an explanation on how they are can be achieved.",,,,,,,,,,,,,,,,,,IR-60,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i002a6:w,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,04/Dec/18 4:10 PM;neewy;Please update this doc instead https://iroha.readthedocs.io/en/latest/core_concepts/glossary.html#transaction-statuses;;;,,,,,,
Introduce architecture changes for status transition automata,IR-60,35832,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,12/4/18 00:02,8/26/19 14:49,1/18/23 07:01,,,,,0,,,,"Currently, some components have _status_bus_ dependency which provides message passing for all statuses in the system. This approach may be a bit misleading because of statuses may be passed not in the expected order.

The task is to introduce the architecture changes  (backbone) for such kind of functionality.",,,,,,,,,,,,,,,IR-59,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i001if:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create network test cases for Torii component,IR-61,35837,,Task,Complete,IR,Iroha,software,ekovalev,,,High,Done,,lebdron,neewy,12/4/18 01:19,3/27/20 18:01,1/18/23 07:00,12/26/18 20:22,,1.0 rc5,,0,,,,"We need to describe black-box test cases related to peer network interaction for soak tests. This task is to talk to maintainers, review client and peer API code and compose set of test cases with respect to vulnerabilities.  ",,,,,,,,,,,,,,,,,,,,,,,,IR-92,IR-93,IR-94,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hhw,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove ReferenceHolder from Shared Model,IR-62,35888,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,P.Kotov,P.Kotov,12/5/18 16:55,4/1/19 20:53,1/18/23 07:01,12/7/18 19:18,,1.0 rc5,,0,,,,"Most of the Shared Model objects does not really need a reference holder; in fact, for now only Transaction is such an object. So, the task is to get rid of ReferenceHolder in:
 * Query
 * TransactionResponse
 * QueryResponse",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i000g4:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove Laziness from Shared Model Objects,IR-63,35889,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,P.Kotov,P.Kotov,12/5/18 18:52,4/1/19 20:53,1/18/23 07:01,12/7/18 19:19,,1.0 rc5,,0,,,,"Most of the shared model objects do not need Lazy fields. The task is to remove them:
 * BatchMeta
 * Commands
 * Common Objects
 * QueryResponses",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i001tb:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrate Coverity Scan,IR-64,35907,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,lebdron,lebdron,neewy,12/6/18 16:04,3/26/20 20:02,1/18/23 07:00,,,,,0,staticanalysis,,,The project should have possibility to perform statical analysis for the C++ code.,,vadimreutskiy,,,,,,,,,,,,,,,,,,,,,IR-15,,,,,,,IR-534,,,,,,,,,,,,,,,,,,,,,,,1|i00ymw:,,,,,,Sprint 1,,,,,,,,,,,,,,,,vadimreutskiy,,,,,,,,,,,,,,,,,,,,,26/Mar/20 8:02 PM;vadimreutskiy;Coverity released support for the needed language version at summer 2019.;;;,,,,,,
Pagination for pending transactions,IR-65,35910,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/6/18 18:17,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-6,,Pagination for pending transactions,Done,No,,,Unset,No,,,1|i001wv:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update structure of the Transaction to one of,IR-66,35911,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,Kamil_Salakhiev,lebdron,neewy,12/6/18 19:12,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,"New schema of the transaction is:

message Transaction1_0 {

// All fields for 1.0 version of the Transaction

}

message Transaction2_0 {

// All fields for 2.0 version of the Transaction

}

message Transaction {

oneof transaction {

Transaction1_0 transaction1_0 = 1;

Transaction2_0 transaction2_0 = 2;

}

}

Current transaction shared model can be on top of Transaction1_0 protobuf object.

Transaction shared model should be serialized to Transaction protobuf object (not Transaction1_0)

Transaction1_0 should be deserialized into Transaction shared model object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzhz:0gr,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update structure of the Query to one of,IR-67,35912,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,Kamil_Salakhiev,lebdron,neewy,12/6/18 19:13,8/26/19 18:23,1/18/23 07:00,,,,,0,,,,"New schema of the Query is:

message Query1_0 {

// All fields for 1.0 version of the Query

}

message Query2_0 {

// All fields for 2.0 version of the Query

}

message Query {

oneof query {

Query1_0 query1_0 = 1;

Query2_0 query2_0 = 2;

}

}

Current Query shared model can be on top of Query1_0 protobuf object.

Query shared model should be serialized to Query protobuf object (not Query1_0)

Query1_0 should be deserialized into Query shared model object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzhz:0gi,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limit queue size in ordering service,IR-68,35913,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/6/18 19:29,8/26/19 14:47,1/18/23 07:01,,,,,0,bugfix,,,"Currently ordering service stores received batches in a queue. If some client will send large transactions faster than OS is able to generate proposals the queue's size will grow unlimitedly.The task is to limit that size. We should decide how it should be done at first (limit amount of elements in queue, limit size or something else).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzwref:004,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation,IR-69,35914,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,SaraG,lebdron,neewy,12/6/18 19:30,7/15/20 17:07,1/18/23 07:00,,,,,0,,,,Tasks for update of iroha.readthedocs.io website and other possible doc sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-8,,Documentation,To Do,No,,,Unset,No,,,1|i001x3:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Describe jsonb fields size limit in documentation,IR-70,35915,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,neewy,lebdron,neewy,12/6/18 19:31,8/26/19 18:23,1/18/23 07:00,1/10/19 18:29,,1.0 rc5,,0,,,,Postgres limits size of jsonb fields to 268435455 bytes (0x0FFFFFFF) and this value can't be changed. This limitation should be noticed in Iroha documentation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|i002a6:u,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactoring,IR-71,35916,,Epic,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/6/18 19:32,8/26/19 22:38,1/18/23 07:00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-10,,Refactoring,To Do,No,,,Unset,No,,,1|i001xb:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework headers in application.hpp,IR-72,35917,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,lebdron,neewy,12/6/18 19:33,8/26/19 18:23,1/18/23 07:00,1/17/19 21:09,,1.0 rc5,,0,,,,"Currently, application.hpp includes lots of implementations' dependencies instead of the interfaces.

The task is to rework includes with only required interfaces. Implementation includes should be in `application.cpp` file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|hzzzhz:0006,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI/CD pipeline,IR-73,35918,,Epic,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,neewy,12/6/18 19:33,8/26/19 18:23,1/18/23 07:00,8/26/19 15:14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-12,,CI/CD pipeline,Done,No,,,Unset,No,,,1|i001xj:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add fuzzing build process to nightly Iroha builds,IR-74,35919,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,saifullin,lebdron,neewy,12/6/18 19:34,8/26/19 18:23,1/18/23 07:00,12/20/18 15:51,,1.0 rc5,,0,fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-73,,,No,,,Unset,No,,,1|hzzzhz:0hg3,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make counter and generator parametrizable in OnDemandOrderingInit,IR-75,35920,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,12/6/18 19:37,4/1/19 20:53,1/18/23 07:01,1/10/19 18:36,,1.0 rc5,,0,,,,"Now ordering gate is initialized with `delay` function which defines the rule of how to set time intervals between rounds if there are no commit. 

The task is to:
 # Make this function pluggable into createGate function
 # Set high boundary for such intervals as 5 second (or any other meaningful value)",,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i002a6:zz,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming - io.grpc.StatusRuntimeException: UNKNOWN: Unexpected error in RPC handling,IR-76,35922,,Bug,Complete,IR,Iroha,software,ekovalev,,,High,Done,,lebdron,neewy,12/6/18 20:07,3/27/20 18:01,1/18/23 07:00,12/26/18 23:21,,1.0 rc5,,0,,,,"Iroha node was launched for soak/longevity tests: txs were sent, and their statuses were read through status streaming. 

After some time we got an exception when tried to get tx status from java:`io.grpc.StatusRuntimeException: UNKNOWN: Unexpected error in RPC handling`

After that I always receive the same status on any stream query. According the (https://github.com/grpc/grpc-java/issues/2624) the problem may be caused by uncaught exception on server side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hg6,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-domain privilege elevation via CreateAccount command,IR-77,35924,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,neewy,12/6/18 20:37,8/26/19 18:23,1/18/23 07:00,1/11/19 17:55,,1.0 rc5,,0,,,,"CreateRole and AppendRole commands do not allow to operate with roles that contain any permissions not owned by transaction creator.

The same check should be performed during CreateAccount command execution.

Let's consider an example. There are two domains. Domain A has default role with all the permissions. Domain B has default role with only can_create_account permission. Thus, any user from domain B can create a user in domain A and get control of the system.

*Acceptance criteria*

It is not possible to create a user in another domain if default domain role contains at least one permission that transaction creator does not have.

The case is covered by a test suite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hgc,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,10/Dec/18 9:14 PM;neewy;Has to be fixed [~igor-egorov] need to confirm;;;,14/Dec/18 10:44 PM;igor-egorov;The issue is still here. Looks like CreateDomain command has the same kind of vulnerability.;;;,,,,,
Genesis block should pass stateless validation,IR-78,35925,,Improvement,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,12/6/18 20:48,8/26/19 14:47,1/18/23 07:01,,,,,0,good-first-issue,,,"When running iroha, any genesis block will be applied without any validation, thus it might fail to run. This improvement is to force stateless validation of genesis block ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,IR-308,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0000000001i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revoke permission command does not respect can_grant permission presence,IR-79,35927,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,P.Kotov,lebdron,neewy,12/6/18 20:53,8/26/19 18:23,1/18/23 07:00,12/17/18 20:47,,1.0 rc5,,0,,,,"Account1 has can_grant permission.
Account1 grants a permission to account2.
Account1 lost can_grant permission.
Account1 still can do revoke permission from account2 [BUG].

Revoke permission command should always check account of transaction creator for can_grant permission presence.

Corresponding test: test/integration/acceptance/revoke_permission_test.cpp GrantPermissionFixture, RevokeWithoutPermission
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hgo,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"13/Dec/18 7:14 PM;P.Kotov;It was decided that this behaviour is not a bug, so the task is about checking that use case and formalizing it;;;",,,,,,
Force peer check that it is launched with the same key as it has in genesis block,IR-80,35928,,Improvement,Closed,IR,Iroha,software,ekovalev,,,High,,,lebdron,neewy,12/6/18 21:04,8/26/19 18:23,1/18/23 07:00,,,,,0,good-first-issue,,,"When peer is launched with a different keypair than the one it is supposed to have, it fails during consensus or synchronization phase. The task is to validate if the peer has exactly the key pair it is supposed to have.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hu,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong response on getAccountAssetTransactions query (a non-existing account or asset),IR-81,35929,,Bug,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,neewy,12/6/18 21:08,8/26/19 14:47,1/18/23 07:01,,,,,0,good-first-issue,,,,"Querying account asset transactions from non-existing account produce TransactionsResponse with zero transactions inside. The same happens when you are querying non-existing asset.That is buggy behavior. The desired behavior is to return ErrorQueryResponse with StatefulFailedErrorResponse inside.

A missing account is an error that should be discovered during query stateful validation. A missing asset is also an error that should be discovered during query stateful validation.

*Acceptance criteria*
C344 and C347 cases (Get account transactions from a non-existing account and Pass a non-existing asset id) inside get_account_asset_txs_test should be enabled and pass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001ii,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add pagination error code to postgres query executor,IR-82,35953,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,P.Kotov,P.Kotov,12/7/18 16:27,4/1/19 20:53,1/18/23 07:01,12/7/18 22:39,,1.0 rc5,,0,,,,"Error code *4* is to be added to stateful error response, when pagination query fails.",,P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hty,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),P.Kotov,,,,,,,,,,,,,,,,,,,,,,,,,,,
