Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Create a ""mychannel"" for user dashboard",CE-439,33273,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,LordGoodman,LordGoodman,28/Aug/18 4:39 PM,30/Aug/18 3:10 PM,28/Oct/23 2:20 AM,30/Aug/18 3:10 PM,,,,,Cello-Agent,Cello-Dashboard,,,,0,,,,,,"Due to the network policy of the Kubernetes, ""mychannel"" can not be created in user dashboard, we need to create ""mychannel"" on back end once the Fabric cluster was created, after then, Fabric cluster hosted by Kubernetes agent could be maintain through user dashboard.",,LordGoodman,,,,,,,,,,,,,,,,,,,,,,CE-438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoiv:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,,,,,,,,,"30/Aug/18 3:10 PM;LordGoodman;https://gerrit.hyperledger.org/r/#/c/25932/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can not install chaincode in User dashboad,CE-440,33304,,Bug,To Do,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,,hightall,LordGoodman,LordGoodman,29/Aug/18 12:28 PM,19/Jul/19 3:56 PM,28/Oct/23 2:20 AM,,,,,,Cello-Dashboard,,,,,0,,,,,,"Currently, The user dashboard is enabled TLS when connect to Fabric cluster, however the Fabric cluster hosted by kubernetes agent deny TLS traffic by default, therefore, when the user dashboard try to connect the cluster hosted by kubernetes agent should disable the TLS protocol.",,LordGoodman,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzonb:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssl error occur when create k8s host,CE-441,33305,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,ritel126,ritel126,29/Aug/18 1:57 PM,31/Aug/18 4:24 PM,28/Oct/23 2:20 AM,31/Aug/18 1:58 PM,v0.8.0,,,,Operator-Dashboard,,,,,0,,,,,,"when create host use k8s host type, if the""Use Ssl verification"" is selected,then a error will occur. and error info is 2018-08-29 08:03:00,066 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(OSError(36, 'File name too long'),)': /api/v1/pods?watch=False",,baohua,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Aug/18 1:44 PM;ritel126;mmexport1535517699603.jpg;https://jira.hyperledger.org/secure/attachment/15754/mmexport1535517699603.jpg",,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzonj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,ritel126,,,,,,,,"31/Aug/18 1:58 PM;baohua;https://gerrit.hyperledger.org/r/#/c/25983/;;;","31/Aug/18 4:24 PM;ritel126;Validate ok，thanks a lot!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are some errors in user-dashboard code,CE-442,33307,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,ritel126,ritel126,29/Aug/18 3:27 PM,14/Feb/19 8:48 PM,28/Oct/23 2:20 AM,14/Feb/19 8:48 PM,,,,,,,,,,0,,,,,,"In the code of /cello/user-dashboard/src/app/service/chain.js ，there are two bugs

async handle_url(chainId, networkConfigId, key, value) {
 const

{ ctx }

= this;
 const number_regex = /[+-]?\d+(\.\d+)?/g;
 let matches = [];
 if (key.startsWith({color:#de350b}'ca_org{color}')) {
 matches = await this.findRegex(number_regex, key);
 const caIndex = parseInt(matches[0]);
 await ctx.model.CaConfig.create(

 

{color:#57d9a3}here the ca_org should be ca-org {color}

 

sequence: peerIndex, }

, updateData,

{ upsert: true, new: true }

);
 } else if {color:#de350b}(key === 'orderer'{color}) {
 await ctx.model.OrdererConfig.create(

{ networkConfig: networkConfigId, url: value, }

);

{color:#57d9a3}here the (key === 'orderer')' should be startsWith( 'orderer'){color}",,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzonz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are some errors in user-dashboard code,CE-443,33308,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,ritel126,ritel126,29/Aug/18 3:41 PM,22/Mar/19 9:55 PM,28/Oct/23 2:20 AM,22/Mar/19 9:55 PM,,,v1.0.0,,User-Dashboard,,,,,0,,,,,,"In the code of  cello/user-dashboard/src/app/service/chain.js ,there are too bugs

In the function handle_url()

async handle_url(chainId, networkConfigId, key, value)

{ const \\{ ctx }

= this;
 const number_regex = /[+-]?\d+(\.\d+)?/g;
 let matches = [];
 if (key.startsWith('{color:#de350b}ca_org{color}')) {
 matches = await this.findRegex(number_regex, key);
 const caIndex = parseInt(matches[0]);
 await ctx.model.CaConfig.create(

{ address: value, sequence: caIndex, networkConfig: networkConfigId, }

);

 

here the ca_org should bu ca-org

 

else if {color:#de350b}(key === 'orderer'){color} {
 await ctx.model.OrdererConfig.create(

{ networkConfig: networkConfigId, url: value, }

);

 

Here the (key === 'orderer') should be (key.startsWith'orderer')",,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoo7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When apply new chain in the user dashboard,the operate dashboard print errors",CE-444,33317,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,ritel126,ritel126,29/Aug/18 9:25 PM,22/Mar/19 9:54 PM,28/Oct/23 2:20 AM,22/Mar/19 9:54 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,"When use the k8s as the worker node. I met an error on operate dashboard when apply new chain in the user dashboard 

 

[2018-08-29 09:59:32,935] INFO [resources.cluster_api] [cluster_api.py:326         cluster_list()] - \{'user_id': '5b7fa8bbef92df0a72f4f14d'}

[2018-08-29 09:59:32,939] ERROR [resources.cluster_api] [cluster_api.py:329         cluster_list()] - []

192.168.0.204 - - [29/Aug/2018 09:59:32] ""GET /api/clusters?user_id=5b7fa8bbef92df0a72f4f14d HTTP/1.1"" 200 200 0.007791

(29966) accepted ('192.168.0.204', 33482)

[2018-08-29 09:59:37,460] INFO [resources.cluster_api] [cluster_api.py:165      cluster_actions()] - cluster_op with action=apply

Traceback (most recent call last):

  File ""/usr/local/lib/python3.6/dist-packages/eventlet/wsgi.py"", line 564, in handle_one_response

    write(b''.join(towrite))

  File ""/usr/local/lib/python3.6/dist-packages/eventlet/wsgi.py"", line 510, in write

    wfile.writelines(towrite)

  File ""/usr/lib/python3.6/socket.py"", line 604, in write

    return self._sock.send(b)

  File ""/usr/local/lib/python3.6/dist-packages/eventlet/greenio/base.py"", line 394, in send

    return self._send_loop(self.fd.send, data, flags)

  File ""/usr/local/lib/python3.6/dist-packages/eventlet/greenio/base.py"", line 381, in _send_loop

    return send_method(data, *args)

BrokenPipeError: [Errno 32] Broken pipe",,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-443,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzopz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix user dashboard local docker build fail,CE-445,33339,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,30/Aug/18 2:09 PM,31/Aug/18 9:22 PM,28/Oct/23 2:20 AM,31/Aug/18 9:22 PM,,,v0.9.0,,,,,,,0,,,,,,"Fix user dashboard local docker build fail, fabric-1.0 not existed.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzot3:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"30/Aug/18 3:02 PM;hightall;https://gerrit.hyperledger.org/r/25962;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable async task support in operator dashboard,CE-446,33341,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,30/Aug/18 3:41 PM,31/Aug/18 11:13 AM,28/Oct/23 2:20 AM,31/Aug/18 11:13 AM,,,v0.9.0,,,,,,,0,,,,,,For long time work move into the async task queue.,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzotj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"31/Aug/18 1:01 AM;hightall;https://gerrit.hyperledger.org/r/#/c/25984/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove redundant code in Kubernetes agent,CE-447,33349,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,,LordGoodman,LordGoodman,30/Aug/18 6:53 PM,31/Aug/18 1:59 PM,28/Oct/23 2:20 AM,31/Aug/18 1:59 PM,,,,,,,,,,0,,,,,,"Currently the ClusterOperation object will restore the ""kube_config"" object from the k8s_param to operate the Fabric cluster creation or deletion, however the restoration will connect the Kubernetes master to list all pods, which is unnecessary since we have a check_health function to do that.",,baohua,LordGoodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzouv:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,LordGoodman,,,,,,,,"31/Aug/18 1:59 PM;baohua;https://gerrit.hyperledger.org/r/#/c/25983/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard-Coded AWS access key id in aws.yml,CE-448,33374,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,ameijer,ameijer,ameijer,31/Aug/18 1:39 AM,05/Sep/18 10:39 AM,28/Oct/23 2:20 AM,05/Sep/18 10:39 AM,,,,,,,,,,0,,,,,,"in /cello/src/agent/ansible/vars/aws.yml, line 6 contains a hard-coded AWS access key id. This is an issue for portability, as well as a (minor) security flaw. We should change this to read the standard AWS env var 'AWS_ACCESS_KEY_ID'",,ameijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoxj:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ameijer,,,,,,,,,"31/Aug/18 10:00 PM;ameijer;https://gerrit.hyperledger.org/r/c/25999/;;;","31/Aug/18 10:02 PM;ameijer;[~tongliofcary] thank you for the review. is this mergeable? What do I need to do to get it into master?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root Persistence Device Misnamed,CE-449,33375,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,ameijer,ameijer,ameijer,31/Aug/18 2:01 AM,06/Sep/18 11:06 PM,28/Oct/23 2:20 AM,06/Sep/18 11:06 PM,,,,,,,,,,0,,,,,,"In cello/src/agent/ansible/roles/cloud_aws/provision/tasks/apply.yml, the aws device name of the root disk is misnamed. xvda is used for external, non root EBS volume mounts. However, this description is describing a root volume on this instance, which by convention is mounted on /dev/sda1. We should fix that to reflect the proper device name.",,ameijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoxr:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ameijer,,,,,,,,,"31/Aug/18 10:03 PM;ameijer;https://gerrit.hyperledger.org/r/c/26000/;;;","31/Aug/18 10:04 PM;ameijer;[~baohua], why was this moved back to in progress? what are my action items to get this into master?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expose peer port 7051 on internal docker network,CE-450,33376,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,ameijer,ameijer,ameijer,31/Aug/18 2:35 AM,06/Sep/18 11:10 PM,28/Oct/23 2:20 AM,06/Sep/18 11:10 PM,,,,,,,,,,0,,,,,,We should enhance the docker compose files in Cello to allow peers to be addressed from within the docker network so they can be accessed by e.g. proxy containers running on the same host.,,ameijer,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoxz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ameijer,baohua,,,,,,,,"31/Aug/18 9:25 PM;baohua;https://gerrit.hyperledger.org/r/#/c/26001/;;;","31/Aug/18 10:11 PM;ameijer;[~baohua] thanks for the review. the commit line has been updated as per your suggestion.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allow for composer setup/installation to be optional,CE-451,33377,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,ameijer,ameijer,ameijer,31/Aug/18 2:51 AM,05/Sep/18 10:39 AM,28/Oct/23 2:20 AM,05/Sep/18 10:39 AM,,,,,,,,,,0,,,,,,"For some use cases of cello, composer is not necessary to be installed. This calls for the addition of a capability to make composer installation controllable by a switch (defaults to installing composer) so that it can be disabled by those who do not wish to install it",,ameijer,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzoy7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ameijer,baohua,,,,,,,,"31/Aug/18 9:58 PM;ameijer;[~baohua] updated accordingly, and the branch has been updated;;;","05/Sep/18 10:39 AM;baohua;https://gerrit.hyperledger.org/r/#/c/26002/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove nfs service from master service compose file,CE-452,33391,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,31/Aug/18 11:44 AM,31/Aug/18 5:04 PM,28/Oct/23 2:20 AM,31/Aug/18 5:04 PM,,,v0.9.0,,,,,,,0,,,,,,"When restart/stop master service will not stop nfs service, and ignore nfs service down. developer can stop nfs service manually.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp13:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"31/Aug/18 12:04 PM;hightall;https://gerrit.hyperledger.org/r/26013;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When apply new chain in the dashboard,createTunnel return failed.",CE-453,33395,,Bug,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,hightall,ritel126,ritel126,31/Aug/18 4:42 PM,22/Mar/19 9:37 PM,28/Oct/23 2:20 AM,22/Mar/19 9:37 PM,,,v1.0.0,,User-Dashboard,,,,,0,,,,,,"First I finish create host on k8s system and create chains on the operate dashboard successfully.Then if I apply new chain on the user dashboard, these errors will print. I followed the errors and find that these errors will occure when I call the createchannel function. please confirm it.thank you very much!

 

2018-08-31 13:10:18.463 CST [common/configtx/tool] main -> INFO 001 Loading configuration

2018-08-31 13:10:18.473 CST [common/configtx/tool] doOutputChannelCreateTx -> INFO 002 Generating new channel configtx

2018-08-31 13:10:18.474 CST [common/configtx/tool] doOutputChannelCreateTx -> INFO 003 Writing new channel tx

E0831 13:10:18.522053177   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

error: [Orderer.js]: sendBroadcast - on error: ""Error: 14 UNAVAILABLE: Connect Failed\n    at createStatusError (/var/www/node_modules/grpc/src/client.js:64:15)\n    at ClientDuplexStream._emitStatusIfDone (/var/www/node_modules/grpc/src/client.js:270:19)\n    at ClientDuplexStream._readsDone (/var/www/node_modules/grpc/src/client.js:236:8)\n    at readCallback (/var/www/node_modules/grpc/src/client.js:296:12)""

2018-08-31 13:10:18,529 ERROR 22684 SERVICE_UNAVAILABLE

E0831 13:10:19.529615707   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:19.555470771   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

error: [Orderer.js]: sendDeliver - on error code 14: ""Error: 14 UNAVAILABLE: Connect Failed\n    at createStatusError (/var/www/node_modules/grpc/src/client.js:64:15)\n    at ClientDuplexStream._emitStatusIfDone (/var/www/node_modules/grpc/src/client.js:270:19)\n    at ClientDuplexStream._readsDone (/var/www/node_modules/grpc/src/client.js:236:8)\n    at readCallback (/var/www/node_modules/grpc/src/client.js:296:12)""

2018-08-31 13:10:19,556 ERROR 22684 nodejs.unhandledRejectionError: SERVICE_UNAVAILABLE

    at ClientDuplexStream.<anonymous> (/var/www/node_modules/fabric-client/lib/Orderer.js:268:23)

    at emitOne (events.js:116:13)

    at ClientDuplexStream.emit (events.js:211:7)

    at ClientDuplexStream._emitStatusIfDone (/var/www/node_modules/grpc/src/client.js:271:12)

    at ClientDuplexStream._readsDone (/var/www/node_modules/grpc/src/client.js:236:8)

    at readCallback (/var/www/node_modules/grpc/src/client.js:296:12)

name: 'unhandledRejectionError'

pid: 22684

hostname: x02620-Standard-PC-i440FX-PIIX-1996

 

E0831 13:10:20.557612027   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:21.434122817   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:22.417681126   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:24.333175732   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:24.652333937   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:27.766245952   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:29.058648056   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:34.972681035   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:36.212229378   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:47.452315291   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.

E0831 13:10:48.610260410   22684 ssl_transport_security.cc:979] Handshake failed with fatal error SSL_ERROR_SSL: error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number.",,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31/Aug/18 5:03 PM;ritel126;IMG_20180831_160033.jpg;https://jira.hyperledger.org/secure/attachment/15762/IMG_20180831_160033.jpg",,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp1z:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some parameters are not given value in the function of generateNetwork.,CE-454,33400,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,hightall,ritel126,ritel126,31/Aug/18 6:44 PM,22/Mar/19 9:38 PM,28/Oct/23 2:20 AM,22/Mar/19 9:38 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,"In the user-dashboard codes of file app/service/chain.js, Some paramters of the function generateNetwork work with no values. Which include peerConfig.grpc and peerConfig.event and is mark red below.

 

async generateNetwork(chainId)

{     const \\{ ctx }

= this;

    const chain = await ctx.model.Chain.findOne(\{ _id: chainId });

    const networkConfig = await ctx.model.NetworkConfig.findOne(\{ chain });

    const orgConfigs = await ctx.model.OrgConfig.find(\{ networkConfig }).sort('sequence');

    const ordererConfig = await ctx.model.OrdererConfig.findOne(\{ networkConfig });

    const network = {

      orderer: {

        url: `grpcs://${ordererConfig.url}`,

        'server-hostname': ordererConfig.serverHostName,

        tls_cacerts: '/var/www/app/lib/fabric/fixtures/channel/crypto-config/ordererOrganizations/example.com/orderers/orderer.example.com/tls/ca.crt',

      },

    };

    for (const index in orgConfigs)

{       const orgConfig = orgConfigs[index];       const caConfig = await ctx.model.CaConfig.findOne(\\{ networkConfig, sequence: orgConfig.sequence }

);

      const peerConfigs = await ctx.model.PeerConfig.find(\{ networkConfig, orgConfig }).sort('sequence');

      const peers = {};

      for (const peerIndex in peerConfigs) {

        const peerConfig = peerConfigs[peerIndex];

        peers[`peer${peerConfig.sequence + 1}`] = {

{color:#de350b}          requests: `grpcs://${peerConfig.grpc}`,{color}

{color:#de350b}          events: `grpcs://${peerConfig.event}`,{color}

          'server-hostname': `peer$\{peerConfig.seq",,ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzp2v:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ritel126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
