Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add Zap logger to fabric-chaincode-evm,FABCE-17,27261,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,guoger,guoger,31/Jan/18 6:25 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,06/Dec/18 5:08 PM,,0,evm,," 

Logger should be added to fabproxy as well.",,denyeart,guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzyv87:",,,,Unset,Unset,,,,,,,,,,,,,,denyeart,guoger,MHBauer,swetharepakula,,,,,,,,,,,,,"09/Oct/18 11:01 PM;denyeart;[~guoger] Is this still planned for v1.3 release of fabric-chaincode-evm?  Please update Fix Version as needed...;;;","30/Nov/18 9:02 AM;MHBauer;attempt being made in https://gerrit.hyperledger.org/r/#/c/27653/;;;",,,,,,,,,,,,,,,,,,,,
`net_version` should return a 53 bit or less quantity,FABCE-18,41329,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,19/Jul/19 10:08 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,23/Jul/19 8:12 AM,,0,,,Truffle requires that the version should both be a quantity and less than 53 bits.,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00um4:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"19/Jul/19 10:10 PM;swetharepakula;https://gerrit.hyperledger.org/r/c/fabric-chaincode-evm/+/32408;;;",,,,,,,,,,,,,,,,,,,,,
Upgrade to Burrow 0.24.2,FABCE-19,37729,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,16/Feb/19 7:46 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,29/Mar/19 2:03 AM,,0,,,"There is bug in the STATICCALL opcode in the Burrow EVM v0.23.3.

We should cherry-pick this commit into our vendored version of Burrow so that we have the fix and we do not need to wait for a release of Burrow with the fix to come out.

[https://github.com/hyperledger/burrow/commit/b4ca985925f71406230de48a5b8e9c3a233fc751]

*Update:* Burrow has made a new release that contains the static call fix as well as other changes to the EVM. However Burrow has had to patch its tendermint dependency in vendor because of a licensing issue. Upgrade the burrow dependency instead of patching our current vendored Burrow code.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00c3b:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"26/Feb/19 8:43 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29565/;;;",,,,,,,,,,,,,,,,,,,,,
Run a Jenkins job nightly for fabric-chaincode-evm,FABCE-20,36453,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,03/Jan/19 5:05 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,We want to run a job for fabric-chaincode-evm test suite nightly that is done against fabric master to be aware of compatibility issues,,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i004rr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"09/Jan/19 4:06 AM;MHBauer;this would mean a bypass for the check on the fabric version in the integration tests.

 

Is this also going to be set up to notify us on failure? post to fabric-cahincode-evm channel in chat?;;;",,,,,,,,,,,,,,,,,,,,,
Update Dep version to 0.5.0,FABCE-21,36166,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,swetharepakula,swetharepakula,15/Dec/18 1:00 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,28/Mar/19 8:06 AM,,0,,,fabric-chaincode-evm should be updated to start using dep 0.5.0.,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-41,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i0036f:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"21/Feb/19 3:33 PM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/28352/;;;",,,,,,,,,,,,,,,,,,,,,
Add customized logger per incoming request,FABCE-22,37782,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,19/Feb/19 8:19 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,1,,,We should wrap the http handlers used to handle requests with one that will add a logger to the request and generate a request id. The logger should have the request id as well as the requested method.,,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00ccv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"19/Feb/19 8:53 AM;MHBauer;This should be doable in a generic http handler, that shoves the logger into request context at the same time it generates an ID for the logger to use.

 

Once we're in codec world, we have no ability to change the http.request.

 

The master branch of gorilla has the ability to intercept and modify the request, but it is unreleased, and would be a non-tag dependency on a specific revision.;;;","19/Feb/19 1:47 PM;swetharepakula;We can add a wrapper around the handlers here: https://github.com/hyperledger/fabric-chaincode-evm/blob/master/fab3/fab3.go#L50-L51;;;",,,,,,,,,,,,,,,,,,,,
update readme,FABCE-23,29733,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,ChristopherFerris,guoger,guoger,27/Apr/18 2:00 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,07/Jul/18 5:16 AM,,0,,,Add instructions to build project in readme,,ChristopherFerris,guoger,TiantianGao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzz7nb:",,,,Unset,Unset,,,,,,,,,,,,,,ChristopherFerris,guoger,TiantianGao,,,,,,,,,,,,,,"22/Jun/18 2:13 AM;ChristopherFerris;https://gerrit.hyperledger.org/r/23457;;;",,,,,,,,,,,,,,,,,,,,,
make clean should call gotools-clean,FABCE-24,42193,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,05/Sep/19 7:22 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,21/Sep/19 3:15 AM,,0,,,"current makefile setup leaves around the hidden .build directory.

gotools.mk has a gotools-clean target for us to use.

move the current clean target below the loading of the gotools.mk and then have it depend upon the existing target.",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00zbf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"05/Sep/19 7:36 AM;MHBauer;https://gerrit.hyperledger.org/r/c/fabric-chaincode-evm/+/33374;;;",,,,,,,,,,,,,,,,,,,,,
GetBlockByNumber should return GasLimit,FABCE-25,39417,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,swetharepakula,swetharepakula,20/Apr/19 4:27 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,21/Sep/19 3:16 AM,,0,,,"GetBlockByNumber does not return the gas limit in the output. Web3.py is failing without this field

 Investigation necessary: Why does web3.py look for this field?

Suggested Work: Since gas limit does not play a role in Fabric, set the limit to 0.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00ll3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"21/Sep/19 3:16 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/33362/];;;","21/Sep/19 3:16 AM;swetharepakula;Marking this as done, but investigation still necessary to look into why web3.py uses this field.;;;",,,,,,,,,,,,,,,,,,,,
Switch references of fabproxy to fab3,FABCE-26,36310,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,lehors,swetharepakula,swetharepakula,20/Dec/18 2:09 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,26/Jan/19 7:48 AM,,0,,,,,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i003zz:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"26/Jan/19 7:26 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/28590/;;;",,,,,,,,,,,,,,,,,,,,,
Add transaction logs to eth_getTransactionReceipt output,FABCE-27,38816,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,28/Mar/19 7:24 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,Return the transaction logs in the transaction receipt output.,,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00i53:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"04/Sep/19 8:10 AM;MHBauer;Not sure what this issue refers to. We've been putting the contents of logs into the receipt return value since before this issue was created.

https://github.com/hyperledger/fabric-chaincode-evm/blame/d6291d8e98ec15265bebf36935c2c59f5670e16a/fab3/ethservice.go#L260;;;","05/Sep/19 8:02 AM;MHBauer;Need to confirm that they show up in remix output. Possibly also check truffle.;;;",,,,,,,,,,,,,,,,,,,,
Improve logging in Fab3 main,FABCE-28,37781,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,19/Feb/19 7:17 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,28/Feb/19 6:46 AM,,1,,,"We should fix the logging in Fab3
 # The Starting log message should occur after Fab3 has been started
 # We should have a log message that indicates that fab3 has been signaled to be shut down.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00ccn:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"19/Feb/19 8:58 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29369/;;;",,,,,,,,,,,,,,,,,,,,,
Pin evm chaincode to a Fabric release,FABCE-29,35796,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,guoger,guoger,03/Dec/18 7:08 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,06/Dec/18 1:57 PM,,0,,,"it should be a Fabric release, instead of {{master}}

also, integration test builds fabric components with code on [fixed path|https://github.com/hyperledger/fabric/blob/b350b2697908ffcd85c9d1224f69c41393a3aafc/integration/nwo/components.go#L32-L61], which requires existence of fabric repo. we could take care of the version of that as well.",,guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i001an:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,"05/Dec/18 7:40 AM;MHBauer;Is this changing the Gopkg.toml reference to use 1.3.0 as fabric version?  -Good news is that we already seem to be at 1.3.0 tag.- 
_I was looking at the wrong thing. Sorry._

 

we can't change the fabric code, but we ought to be able to build out of the vendor directory. Not sure how to swap out that fixed path code from the link.;;;","05/Dec/18 10:35 AM;swetharepakula;We can use what is vendor. We have to manually copy the files into the gopath before running the integration tests, but that causes issues when people have a different local copy of fabric. ;;;","06/Dec/18 1:57 PM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/27978/;;;",,,,,,,,,,,,,,,,,,,
Cleanup Test Eventuallys and Extend Timeouts,FABCE-30,36580,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,swetharepakula,swetharepakula,09/Jan/19 5:35 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,29/Mar/19 1:57 AM,,0,,,"Some timeouts are too short for some dev machines, so lets extend some timeouts, particularly when waiting for web3 tests to complete.

 

Eventually by default polls every 10 ms, when we are waiting for more than a second, this polling interval is excessive, lets reduce it accordingly to the timeout set on the Eventually.",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i005jj:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"09/Jan/19 7:20 AM;MHBauer;We can add either specific polling intervals to tests, or utilize the SetDefaultEventually and SetDefaultPollingEventually functions to somewhat more globally toggle the timeouts.;;;","09/Jan/19 7:34 AM;MHBauer;https://gerrit.hyperledger.org/r/28566;;;","18/Jan/19 5:49 AM;MHBauer;I think we need to end up with a policy of always fully specifying the timeouts and polling interval, as it's otherwise at the mercy of anybody in the call stack whimsically setting the defaults to some other value.;;;",,,,,,,,,,,,,,,,,,,
missing err checks in fab3 integration tests,FABCE-31,37669,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,14/Feb/19 6:41 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,21/Feb/19 3:32 PM,,0,,,"I think this would help debug some of the nil pointer dereferences we're seeing in the test environment.

 

alternately, we can refactor the calls to sendRPCRequest to do more checking internally, and return some better value.",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00bs7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"21/Feb/19 3:32 PM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29294/;;;",,,,,,,,,,,,,,,,,,,,,
`net_version` should return a quantity,FABCE-32,40856,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Jul/19 12:48 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,19/Jul/19 10:06 PM,,0,help-wanted,,"Truffle requires the return value of `net_version` to be a quantity.

Until FAB-14351 has been completed we should return the hex encoding of `fabric-evm`.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-143,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00swk:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"07/Jul/19 4:02 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32204/];;;",,,,,,,,,,,,,,,,,,,,,
Bump burrow/evm version,FABCE-33,35789,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Low,Done,MHBauer,guoger,guoger,03/Dec/18 5:34 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,05/Feb/19 4:53 AM,,0,,,"Bump burrow/evm pkg version

 

Burrow Version 0.23.3:

1. EVM vm now needs an Interface object which can be created by wrapping the existing statemanager in the Burrow State([https://github.com/hyperledger/burrow/blob/v0.23.3/execution/evm/state.go#L61-L67]) and Cache([https://github.com/hyperledger/burrow/blob/v0.23.3/execution/evm/state.go#L69-L71]) objects.

NewState, linked above, takes in a state.ReaderWriter object which is the type of our Statemanager.

 

2. StateManager needs to change object types from account.Address to crytpo.Address

 

3.  evmcc needs to change object types from account.Address to crypto.Address

 

4. EventSink is a new event interface necessary for vm.Call: [https://github.com/hyperledger/burrow/blob/v0.23.3/execution/evm/event_sink.go#L8-L11]
We need to switch eventmanager to implement the EventSink interface.

 

5. fab3 needs to switch to using exec.LogEvent as the type instead of events.EventDataLog
Note: We may want to create an intermediary event type so that fab3 does not need to be updated every time burrow changes its interface ",,guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i0019b:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,"09/Jan/19 4:10 AM;MHBauer;for 5, we created a type, and are json marchalling that.;;;","11/Jan/19 10:15 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/28596/]

https://gerrit.hyperledger.org/r/#/c/28597/;;;",,,,,,,,,,,,,,,,,,,,
Remove scripts/goListFiles.sh,FABCE-34,42954,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,23/Oct/19 2:51 AM,21/Jan/20 6:18 AM,28/Oct/23 2:24 AM,21/Jan/20 6:18 AM,,1,,,"The script goListFiles.sh is not used anywhere, so lets remove it from the repository.",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i012sr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"12/Nov/19 11:27 AM;swetharepakula;https://github.com/hyperledger/fabric-chaincode-evm/pull/20;;;","21/Jan/20 6:18 AM;MHBauer;merged and gone.;;;",,,,,,,,,,,,,,,,,,,,
clean up linters,FABCE-35,42485,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,25/Sep/19 8:23 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,01/Oct/19 2:47 AM,,0,,,"goimports and gofmt do the same thing

go vet is intelligent and successfully ignores vendor on it's own

go lint is not run at all

we're building everything multiple times and avoiding use of the cache.",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i010sj:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"26/Sep/19 6:01 AM;MHBauer;https://github.com/hyperledger/fabric-chaincode-evm/pull/13;;;",,,,,,,,,,,,,,,,,,,,,
azp verify-build step should run `make basic-checks` instead of `make checks`,FABCE-36,42484,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Invalid,MHBauer,MHBauer,MHBauer,25/Sep/19 6:43 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,25/Sep/19 6:44 AM,,0,,,"`make checks` runs the unit-tests, which is handled by the unit-test step.",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i010sb:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"25/Sep/19 6:44 AM;MHBauer;never mind, I'm a dope. not sure where I saw that.;;;",,,,,,,,,,,,,,,,,,,,,
ginkgo By clause should not print out during default test run,FABCE-37,37085,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Lowest,Done,MHBauer,MHBauer,MHBauer,24/Jan/19 3:37 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,26/Jan/19 7:48 AM,,0,,,"Running unit-tests
[1548267883] Statemanager Suite - 15/15 specs ••••••••••••••• SUCCESS! 1.414627ms PASS
[1548267883] EVMCC Suite - 16/16 specs •••••••••••••••• SUCCESS! 57.722589ms PASS
STEP: that match case exactly, in camelCase starting with a lowercase letter
[1548267883] Fabproxy Main Suite - 54/54 specs •••••••••••••••••••••••••••••••••••••••••••••••••••••• SUCCESS! 258.65154ms PASS

 

**STEP: that match case exactly, in camelCase starting with a lowercase letter**

should not be getting printed.",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i008mf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"24/Jan/19 3:39 AM;MHBauer;https://gerrit.hyperledger.org/r/#/c/28930/;;;",,,,,,,,,,,,,,,,,,,,,
update fabric-sdk-go dependency,FABCE-38,39262,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,12/Apr/19 5:19 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,26/Apr/19 4:27 AM,,0,,,,,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00kqf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"26/Apr/19 4:27 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/30909/];;;",,,,,,,,,,,,,,,,,,,,,
build fabric-chaincode-evm proxy binary,FABCE-39,35724,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,30/Nov/18 8:58 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,05/Dec/18 11:13 AM,,0,,,Make sure the program compiles to an executable to provide signal.,,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i000w7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"30/Nov/18 9:00 AM;MHBauer;resolved by https://gerrit.hyperledger.org/r/27827;;;",,,,,,,,,,,,,,,,,,,,,
Add gasPrice and value fields to fabric evm transactions,FABCE-40,40857,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Jul/19 12:50 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,04/Jul/19 5:07 PM,,0,help-wanted,,"Truffle requires the fields gasPrice and value fields to be show in evm transactions. 

In the Fabric-EVM gasPrice should always be returned as 0 and the value field (amount of wei transferred) should always be 0.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00sws:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"02/Jul/19 3:30 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32148/];;;",,,,,,,,,,,,,,,,,,,,,
